Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;1
8;3
9;3
10;1
11;3
12;3
13;3
14;4
15;1
16;1
17;3
18;3
19;3
20;3
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;3
29;3
30;3
31;3
32;3
33;3
34;1
35;4
36;4
37;1
38;3
39;3
40;3
41;1
42;3
43;3
44;3
45;3
46;3
47;3
48;3
49;3
50;3
51;4
52;4
53;1
54;3
55;3
56;3
57;1
58;3
59;3
60;3
61;3
62;3
63;3
64;3
65;3
66;3
67;3
68;3
69;1
70;3
71;3
72;1
73;4
74;4
75;1
76;1
77;3
78;3
79;3
80;3
81;3
82;3
83;3
84;3
85;3
86;3
87;1
88;1
89;3
90;3
91;3
92;3
93;4
94;4
95;1
96;3
97;3
98;1
99;3
100;3
101;3
102;3
103;4
104;4
105;1
106;3
107;3
108;3
109;1
110;3
111;3
112;3
113;3
114;3
115;3
116;4
117;4
118;4
119;1
120;3
121;3
122;3
123;1
124;3
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;3
134;1
135;1
136;3
137;3
138;3
139;3
140;4
141;4
142;1
143;3
144;3
145;3
146;1
147;3
148;3
149;3
150;3
151;3
152;3
153;3
154;3
155;3
156;3
157;3
158;1
159;3
160;3
161;1
162;4
163;4
164;1
165;1
166;3
167;3
168;3
169;3
170;3
171;3
172;3
173;3
174;3
175;3
176;1
177;1
178;3
179;3
180;3
181;3
182;4
183;4
184;1
185;3
186;3
187;1
188;3
189;3
190;3
191;3
192;4
193;4
194;1
195;3
196;3
197;3
198;1
199;3
200;3
201;3
202;3
203;3
204;3
205;4
206;4
207;4
208;1
209;3
210;3
211;3
212;1
213;3
214;3
215;3
216;3
217;3
218;3
219;3
220;3
221;3
222;3
223;1
224;1
225;3
226;3
227;3
228;3
229;4
230;4
231;1
232;3
233;3
234;3
235;1
236;3
237;3
238;3
239;3
240;3
241;3
242;3
243;3
244;3
245;3
246;3
247;1
248;3
249;3
250;1
251;4
252;4
253;1
254;1
255;3
256;3
257;3
258;3
259;3
260;3
261;3
262;3
263;3
264;3
265;1
266;1
267;3
268;3
269;3
270;3
271;4
272;4
273;1
274;3
275;3
276;1
277;3
278;3
279;3
280;3
281;4
282;4
283;1
284;3
285;3
286;3
287;1
288;3
289;3
290;3
291;3
292;3
293;3
294;4
295;4
296;4
297;1
298;3
299;3
300;-1.83255e-06
