Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.397773,-0.270184,0.423451,-0.505792,0.472707,-0.327054,-0.0600636,-0.519281,0.0285357,0.535598,-0.280775,-0.508984;-6.06386,-0.954294,-2.86572,0.214105
1;0.490108,-0.270184,0.246454,-0.505792,0.825836,-0.0636404,-0.374939,-0.729605,0.35485,0.535598,-0.188382,-0.317719;-5.84032,-1.28934,0.939653,0.922659
2;0.104618,-0.270184,0.688752,-0.505792,0.635885,-0.2073,-0.374939,-0.140071,0.35485,0.535598,-0.149883,-0.230805;-3.85415,-1.11471,-2.05965,0.289334
3;0.275303,-0.270184,0.710043,-0.505792,0.829558,0.457546,-0.374939,-0.448353,0.35485,0.535598,-0.256283,-0.461103;-6.53897,-0.86539,-0.67425,0.341844
4;-0.639768,-0.582287,0.87757,-0.779803,0.806163,0.743423,-0.710315,-0.230627,0.68016,0.305441,-0.290894,-0.279764;-4.42275,-1.32282,-2.69002,-0.665943
5;-0.650037,-0.582287,0.960531,-0.779803,0.930991,0.822079,-0.788999,-0.780181,0.841117,0.305441,-0.327991,-0.366873;-6.50899,-1.27283,-3.2494,-0.611484
6;-0.82049,-0.223431,0.932712,-0.695336,0.734363,0.71762,-0.508827,-0.516801,0.929119,0.757396,-0.554561,-0.315022;-6.33606,-0.649873,-4.9157,-1.61521
7;-0.922823,-0.424686,0.949241,-0.513808,0.0198536,0.348853,-0.796063,-0.941931,0.633292,0.212506,-0.531482,-0.851794;-6.12058,-0.894224,-6.52134,0.230199
8;-0.48766,-0.506461,0.770551,-0.352428,0.880149,0.452673,-0.648066,-0.87376,0.738209,0.432458,-0.20077,-0.71432;-7.27321,-0.424884,-3.74791,-0.302937
9;-0.663167,-0.506461,0.848031,-0.352428,0.673288,0.563597,-0.581935,-0.745654,0.781875,0.432458,-0.213068,-0.728929;-6.42323,-0.124316,-4.09523,-0.64931
10;-0.804264,-0.0644524,0.669908,-0.0799104,0.876967,0.100975,-0.351939,-0.936892,0.569771,0.460738,-0.424823,-0.84365;-9.24824,-0.0613264,-6.88837,-0.772371
11;-0.210039,-0.270184,0.7278,-0.505792,0.941502,0.120521,-0.112431,-0.858637,0.109788,0.535598,-0.11149,-0.141377;-7.43685,-1.07429,-1.93167,-0.249483
12;-0.201629,-0.270184,0.502786,-0.505792,0.812711,0.537287,-0.374939,-0.641961,0.35485,0.535598,-0.12603,-0.175494;-5.34746,-0.817272,-0.375975,-0.395915
13;-0.799282,-0.490476,0.852569,-0.44929,0.162881,0.273646,-0.637737,-0.587622,0.698341,0.506014,-0.675048,-0.584955;-5.81483,-1.26962,-6.21335,-0.327281
14;-0.251902,-0.506461,0.848228,-0.352428,0.585078,0.16294,-0.622668,-0.845247,0.773875,0.432458,-0.263912,-0.783517;-6.71524,-0.503241,-4.05364,0.228097
15;-0.335567,-0.506461,0.854012,-0.352428,0.755822,0.587652,-0.581935,-0.637621,0.781875,0.432458,-0.218191,-0.734851;-6.51264,-0.225626,-3.14835,-0.339606
16;-0.814805,-0.0644524,0.66834,-0.0799104,0.880097,0.103393,-0.351939,-0.889945,0.569771,0.460738,-0.441363,-0.857022;-9.22651,-0.0691198,-6.98116,-0.789105
17;-0.203044,-0.270184,0.724769,-0.505792,0.942946,0.0977067,-0.112431,-0.861072,0.109788,0.535598,-0.120219,-0.161891;-7.52839,-1.08016,-2.00398,-0.211694
18;-0.165087,-0.270184,0.495397,-0.505792,0.81906,0.526203,-0.374939,-0.638302,0.35485,0.535598,-0.125578,-0.174439;-5.3467,-0.835953,-0.264339,-0.350275
