Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;1
9;3
10;4
11;1
12;3
13;0
14;4
15;1
16;3
17;3
18;1
19;3
20;3
21;4
22;1
23;3
24;0
25;4
26;1
27;3
28;0
29;4
30;1
31;3
32;0
33;4
34;1
35;3
36;0
37;4
38;1
39;3
40;0
41;4
42;1
43;3
44;0
45;4
46;1
47;3
48;0
49;4
50;1
51;3
52;0
53;4
54;1
55;3
56;0
57;4
58;1
59;3
60;0
61;4
62;1
63;3
64;0
65;4
66;1
67;3
68;0
69;4
70;1
71;3
72;0
73;4
74;1
75;3
76;3
77;1
78;3
79;3
80;4
81;1
82;3
83;0
84;4
85;1
86;3
87;0
88;4
89;1
90;3
91;0
92;4
93;1
94;3
95;0
96;4
97;1
98;3
99;0
100;4
101;1
102;3
103;3
104;1
105;3
106;3
107;4
108;1
109;3
110;0
111;4
112;1
113;3
114;0
115;4
116;1
117;3
118;0
119;4
120;1
121;3
122;0
123;4
124;1
125;3
126;0
127;4
128;1
129;3
130;0
131;4
132;1
133;3
134;0
135;4
136;1
137;3
138;0
139;4
140;1
141;3
142;0
143;4
144;1
145;3
146;0
147;4
148;1
149;3
150;0
151;4
152;1
153;3
154;0
155;4
156;1
157;3
158;0
159;4
160;1
161;3
162;3
163;1
164;3
165;3
166;4
167;1
168;3
169;0
170;4
171;1
172;3
173;0
174;4
175;1
176;3
177;0
178;4
179;1
180;3
181;0
182;4
183;1
184;3
185;0
186;4
187;1
188;3
189;3
190;1
191;3
192;3
193;4
194;1
195;3
196;0
197;4
198;1
199;3
200;0
201;4
202;1
203;3
204;0
205;4
206;1
207;3
208;0
209;4
210;1
211;3
212;0
213;4
214;1
215;3
216;0
217;4
218;1
219;3
220;0
221;4
222;1
223;3
224;0
225;4
226;1
227;3
228;0
229;4
230;1
231;3
232;0
233;4
234;1
235;3
236;0
237;4
238;1
239;3
240;0
241;4
242;1
243;3
244;0
245;4
246;1
247;3
248;3
249;1
250;3
251;3
252;4
253;1
254;3
255;0
256;4
257;1
258;3
259;0
260;4
261;1
262;3
263;0
264;4
265;1
266;3
267;0
268;4
269;1
270;3
271;0
272;4
273;1
274;3
275;3
276;1
277;3
278;3
279;4
280;1
281;3
282;0
283;4
284;1
285;3
286;0
287;4
288;1
289;3
290;0
291;4
292;1
293;3
294;0
295;4
296;1
297;3
298;0
299;4
300;-1.83255e-06
