Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.491811,-0.301864,-0.34555,0.413679,-0.0369385,-0.259752,-0.530013,0.121449,0.279715,0.350094,0.150374,-0.298018;-1.46034,1.1608,-1.21816,1.76567
1;-0.491811,-0.504133,-0.34555,0.742988,0.0860851,-0.255208,-0.530013,-0.0693033,0.387343,0.493634,0.105826,-0.298018;-1.73224,1.19535,-2.52122,1.73658
2;-0.491811,-0.448879,-0.34555,0.742988,0.182352,-0.348392,-0.530013,-0.0126918,0.428782,0.491311,-0.19483,-0.298018;-1.79369,1.01033,-2.37185,1.59044
3;-0.491811,-0.445232,-0.34555,0.742988,0.182352,-0.483221,-0.530013,0.354097,0.428124,0.53753,-0.168127,-0.298018;-2.17073,1.48895,-2.36968,1.47797
4;-0.491811,-0.514937,-0.34555,0.742988,0.182352,-0.588585,-0.530013,0.32401,0.441113,0.599053,-0.233086,-0.298018;-2.32574,1.43733,-2.31106,1.55372
5;-0.491811,-0.598073,-0.34555,0.742988,0.182352,-0.580576,-0.530013,0.395945,0.458119,0.64271,-0.345344,-0.298018;-2.54488,1.29492,-2.49678,1.53065
6;-0.491811,-0.650291,-0.34555,0.742988,0.182352,-0.599535,-0.530013,0.509285,0.469987,0.639527,-0.431647,-0.298018;-2.73544,1.25034,-2.60791,1.49373
7;-0.654152,-0.82183,-0.234728,0.46737,0.642634,-0.323493,-0.830364,0.669282,0.714476,0.807215,-0.65736,0.192652;-3.02098,0.238141,-2.22987,1.50478
8;-0.654152,-0.945448,-0.234728,0.328251,0.591863,-0.790529,-0.830364,0.799359,0.741754,0.731844,-0.864435,0.192652;-3.41135,0.192718,-1.30555,1.71507
9;-0.800556,-0.93905,0.00429848,-0.425247,0.771223,-0.0247375,-0.965261,0.967632,0.723624,0.897498,-0.544008,-0.101831;-3.63946,-0.616753,0.463812,1.68879
10;-0.912172,-0.984387,-0.280617,-0.580251,0.838833,0.204285,-0.938373,0.977346,0.912379,0.869033,-0.85652,0.389637;-3.30094,-1.47455,0.357897,0.935246
11;-0.951569,-0.972047,-0.66245,-0.322728,0.74143,-0.372207,-0.972304,0.990236,0.968094,0.820727,-0.612874,0.721677;-3.22271,-0.385811,0.0759666,0.932284
12;-0.951569,-0.942186,-0.66245,0.232355,0.774059,-0.248547,-0.972304,0.981918,0.967026,0.913472,0.0399978,0.721677;-3.18359,0.982294,-1.87699,0.905241
