Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;4
9;0
10;3
11;4
12;0
13;3
14;3
15;3
16;3
17;2
18;3
19;3
20;2
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;3
29;3
30;4
31;0
32;3
33;2
34;0
35;3
36;3
37;3
38;3
39;3
40;3
41;3
42;3
43;3
44;4
45;0
46;3
47;4
48;0
49;3
50;3
51;2
52;3
53;3
54;3
55;3
56;3
57;3
58;3
59;3
60;3
61;4
62;0
63;3
64;4
65;0
66;3
67;3
68;2
69;3
70;3
71;3
72;3
73;3
74;3
75;3
76;3
77;3
78;4
79;0
80;3
81;4
82;0
83;3
84;3
85;2
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;4
96;0
97;3
98;4
99;0
100;3
101;3
102;2
103;3
104;3
105;3
106;3
107;3
108;3
109;3
110;3
111;3
112;4
113;0
114;3
115;4
116;0
117;3
118;3
119;2
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;4
130;0
131;3
132;4
133;0
134;3
135;3
136;2
137;3
138;3
139;3
140;3
141;3
142;3
143;3
144;3
145;3
146;4
147;0
148;3
149;4
150;0
151;3
152;3
153;2
154;3
155;3
156;3
157;3
158;3
159;3
160;3
161;3
162;3
163;4
164;0
165;3
166;4
167;0
168;3
169;3
170;2
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;3
179;3
180;4
181;0
182;3
183;4
184;0
185;3
186;3
187;2
188;3
189;3
190;3
191;3
192;3
193;3
194;3
195;3
196;3
197;4
198;0
199;3
200;4
201;0
202;3
203;3
204;2
205;3
206;3
207;3
208;3
209;3
210;3
211;3
212;3
213;3
214;4
215;0
216;3
217;4
218;0
219;3
220;3
221;2
222;3
223;3
224;3
225;3
226;3
227;3
228;3
229;3
230;3
231;4
232;0
233;3
234;4
235;0
236;3
237;3
238;2
239;3
240;3
241;3
242;3
243;3
244;3
245;3
246;3
247;3
248;4
249;0
250;3
251;4
252;0
253;3
254;3
255;2
256;3
257;3
258;3
259;3
260;3
261;3
262;3
263;3
264;3
265;4
266;0
267;3
268;4
269;0
270;3
271;3
272;2
273;3
274;3
275;3
276;3
277;3
278;3
279;3
280;3
281;3
282;4
283;0
284;3
285;4
286;0
287;3
288;3
289;2
290;3
291;3
292;3
293;3
294;3
295;3
296;3
297;3
298;3
299;4
300;0
