Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.361176,-0.12622,-0.0981731,0.202444,0.294392,0.397477,0.247681,-0.0185614,0.0387973,0.0120297,0.345569,-0.316328;2.77455,3.05065,1.40864,1.90684
1;0.367829,-0.00722164,-0.640858,0.202444,0.222337,0.441268,0.366886,0.374879,-0.487154,-0.099089,0.472002,-0.221778;1.54528,3.3124,-0.749751,3.53112
2;0.366204,-0.0429659,-0.600897,0.202444,0.374309,0.744056,0.25475,0.0108342,-0.484908,-0.139278,0.484934,-0.264986;2.02854,4.77072,-1.21561,3.72159
3;0.369629,-0.0266395,-0.756255,0.202444,0.390871,0.49163,0.289328,0.0107739,-0.725374,-0.143366,0.568557,-0.25211;1.9421,3.79712,-1.90686,4.69541
4;0.370001,-0.0315067,-0.645723,0.202444,0.401316,0.505177,0.273622,-0.162586,-0.594418,-0.169671,0.499549,-0.258002;1.91865,3.89033,-1.59261,4.53765
5;-0.171686,0.0409024,-0.703561,0.49932,0.522904,0.389897,0.583385,-0.183731,-0.260402,0.397532,0.0323276,0.239347;2.54471,1.51548,0.532205,4.798
6;0.302956,-0.860107,0.448301,-0.12545,-0.523378,0.169704,0.404731,-0.16919,-0.185673,0.234423,0.328059,0.28003;2.33041,-4.78382,0.765722,1.2871
7;-0.167576,-0.622482,0.435164,0.130097,-0.415603,0.527184,0.924784,-0.0970708,0.25568,0.0170587,0.0882896,0.0304142;-0.667802,-4.69422,4.01737,0.406498
8;0.351721,-0.137526,-0.458798,0.202444,-0.0375916,0.315526,0.717919,-0.00691554,-0.207536,-0.0164415,0.509698,-0.0529507;0.166928,0.0639627,1.43399,3.13217
9;0.360324,-0.106459,-0.390268,0.202444,0.242259,0.479926,0.377065,0.198555,-0.238855,-0.151179,0.447248,-0.217624;1.28771,3.29915,0.302112,2.66102
10;0.366654,-0.0445344,-0.61792,0.202444,0.372191,0.634396,0.348885,0.184974,-0.522258,-0.131441,0.496177,-0.229019;1.74496,4.24892,-1.0059,3.65942
11;0.393783,-0.541782,-0.350504,-0.209149,0.194399,0.745553,0.368977,-0.158734,-0.831034,-0.541973,0.657308,-0.607054;0.607687,2.05515,-1.91712,3.5739
12;-0.149339,-0.374323,-0.739153,0.130097,0.429184,0.58476,0.858734,-0.446073,-0.634892,-0.0888867,0.299599,-0.114005;0.0148916,-0.172705,0.00205946,5.253
13;-0.334603,-0.811448,-0.333555,-0.296279,0.612702,0.403786,0.575751,-0.839301,-0.806821,-0.00336226,0.281781,0.354298;1.76053,-2.02604,-1.36859,6.36559
14;0.179403,-0.844433,0.376163,-0.391514,0.545751,-0.560423,0.663347,-0.741825,-0.891355,0.516706,0.546087,0.737154;4.86221,-6.72045,-0.279225,5.79182
15;0.177714,-0.881235,0.920085,-0.391514,0.102298,-0.432282,0.682207,-0.438986,-0.422687,0.451512,0.238783,0.731465;4.11739,-7.77626,1.09962,3.29507
16;0.20273,-0.908929,0.900029,-0.570697,-0.193254,0.337196,0.666272,-0.533014,-0.347752,-0.503166,0.398301,-0.077335;-0.0554014,-4.96111,0.829798,2.19047
17;0.195333,-0.838274,-0.016879,-0.570697,0.600416,0.269111,0.682054,-0.471617,-0.727316,-0.540584,0.614643,-0.113493;0.0905241,-0.670961,-0.417962,4.6542
18;0.215145,-0.834161,7.8555e-05,-0.570697,0.644654,0.375014,0.64056,-0.664983,-0.875754,-0.588096,0.598157,-0.140327;0.327699,-0.411171,-1.35502,5.16275
19;-0.329607,-0.808019,-0.201131,-0.296279,0.737955,0.233369,0.813246,-0.765836,-0.781889,-0.0993182,0.206277,0.348137;0.975097,-2.7002,-0.654012,6.21139
20;0.114218,-0.95504,0.585853,-0.509748,0.0424372,-0.289923,0.695656,-0.775121,-0.498894,0.151978,0.312057,0.69938;2.1844,-7.19575,0.278531,4.53367
21;0.551948,-0.960091,0.916706,-0.585335,-0.0639592,-0.709449,0.603354,0.233092,0.0276965,0.59702,0.473741,0.88185;4.32346,-6.73269,3.13857,1.28608
22;-0.345967,-0.906585,0.943556,-0.296279,-0.237289,0.850248,0.853287,0.0182491,0.420612,-0.0594526,-0.203216,0.386843;-0.225792,-4.13844,3.81312,-0.171687
23;0.355787,-0.266645,-0.362039,0.202444,-0.11293,0.378179,0.83371,-0.0739742,-0.56243,0.0774119,0.595445,-0.0555478;0.644666,-1.9162,0.639568,3.38096
24;0.358614,-0.105487,-0.434924,0.202444,0.0906777,0.432789,0.48656,-0.057764,-0.251343,-0.178081,0.466237,-0.169659;0.508285,1.995,0.361065,3.21904
25;0.363229,-0.0626281,-0.559489,0.202444,0.394352,0.425384,0.347993,0.174247,-0.412122,-0.137455,0.482446,-0.229374;1.67132,3.8357,-0.425051,3.49315
26;0.37008,-0.0400971,-0.597788,0.202444,0.380668,0.621863,0.308039,0.0615519,-0.5528,-0.14258,0.480267,-0.244988;1.9242,4.19556,-1.3088,3.90636
27;0.39397,-0.5375,-0.356459,-0.209149,0.206744,0.672692,0.364965,-0.177221,-0.828914,-0.538339,0.654573,-0.608134;0.644787,1.9046,-1.88673,3.68094
28;-0.149025,-0.373972,-0.711577,0.130097,0.428199,0.57001,0.857555,-0.444653,-0.59584,-0.0880116,0.273989,-0.115637;0.025769,-0.173436,0.127459,5.14725
29;-0.334626,-0.811237,-0.324384,-0.296279,0.612299,0.400527,0.575506,-0.83042,-0.801547,0.00489673,0.276572,0.35418;1.80985,-2.05217,-1.33707,6.3293
30;0.179393,-0.84442,0.378333,-0.391514,0.540315,-0.554067,0.663224,-0.740071,-0.890651,0.517937,0.545211,0.737117;4.86348,-6.72819,-0.280535,5.77758
31;0.177577,-0.881232,0.91928,-0.391514,0.101151,-0.430773,0.6822,-0.438572,-0.424933,0.451737,0.241077,0.731463;4.11718,-7.78204,1.0948,3.29789
32;0.202702,-0.908929,0.899794,-0.570697,-0.193457,0.338062,0.66627,-0.534311,-0.348403,-0.503719,0.398788,-0.0773362;-0.0580873,-4.96086,0.826376,2.19348
33;0.195328,-0.838274,-0.0175862,-0.570697,0.60075,0.267806,0.682054,-0.472016,-0.727651,-0.540695,0.614849,-0.113493;0.0897105,-0.672805,-0.418779,4.65775
34;0.215154,-0.834161,0.0011416,-0.570697,0.644715,0.374653,0.64056,-0.665125,-0.875508,-0.58814,0.597836,-0.140327;0.32888,-0.413572,-1.35398,5.16127
35;0.216246,-0.831046,-0.114053,-0.570697,0.671391,0.163693,0.638018,-0.711693,-0.902874,-0.584539,0.623491,-0.141883;0.243889,-0.77788,-1.37541,5.64473
36;-0.328986,-0.807815,-0.0333074,-0.296279,0.73716,0.186604,0.812142,-0.773562,-0.697326,-0.107401,0.127641,0.34708;1.10282,-2.95342,-0.376122,5.85826
37;0.114197,-0.955005,0.609622,-0.509748,0.0501808,-0.313569,0.695546,-0.748534,-0.463664,0.176652,0.2958,0.69934;2.3133,-7.22879,0.462559,4.40232
38;0.552088,-0.96009,0.919723,-0.585335,-0.0871697,-0.695545,0.60333,0.257642,0.0457277,0.600383,0.466687,0.881847;4.29049,-6.73271,3.19404,1.18804
39;-0.3465,-0.906585,0.942299,-0.296279,-0.240292,0.857578,0.853287,0.031771,0.421553,-0.0571854,-0.198105,0.386842;-0.225383,-4.12152,3.83243,-0.202797
40;0.355718,-0.266645,-0.367221,0.202444,-0.115049,0.392534,0.83371,-0.0738423,-0.565987,0.0757733,0.597254,-0.0555479;0.630953,-1.8771,0.614822,3.38375
