Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.523869,0.507551,-0.0133037,-0.516781,0.044192,-0.21403,0.00885172,-0.239284,-0.500735,-0.521577,0.355465,0.0390079,0.2547,-0.0824205,0.478415,-0.226638,0.0536151,0.306161,0.399427,-0.493755;0.0178808,0.235959,-0.000948172,0.177517
1;0.528021,0.337664,0.235173,-0.760215,0.285737,0.246477,-0.246577,-0.415151,-0.204681,-0.79266,0.35971,0.386987,-0.676925,-0.408,0.728024,-0.477533,-0.375383,0.241991,0.278183,-0.616391;0.831786,-0.522882,-4.16916,0.767029
2;0.563944,0.804825,0.184501,-0.699755,0.117807,0.249965,-0.36941,-0.21176,-0.301919,-0.80845,0.231796,0.182415,-0.390299,-0.14925,0.665156,-0.58502,-0.396816,0.446108,0.569102,-0.71628;0.752537,-0.134535,-3.33488,1.19768
3;0.543069,0.705476,0.341058,-0.726011,0.182771,0.279869,-0.339469,-0.371748,-0.0619676,-0.857872,0.166961,0.375035,-0.673641,-0.280753,0.79904,-0.590748,-0.413763,0.438752,0.582812,-0.670513;1.33539,-0.430174,-4.62328,1.47822
4;0.562744,0.803879,0.335676,-0.665508,0.18019,0.262554,-0.40233,-0.308955,-0.0502427,-0.83813,0.182922,0.278002,-0.444045,-0.137962,0.803993,-0.608296,-0.386489,0.541442,0.585789,-0.72992;0.895054,-0.347607,-3.9332,1.36219
5;0.55291,0.726845,0.408707,-0.6653,0.203335,0.278878,-0.404589,-0.31927,-0.0476946,-0.855888,0.149311,0.380947,-0.505939,-0.168615,0.805054,-0.601355,-0.385685,0.547394,0.570234,-0.722628;1.14611,-0.387579,-4.31131,1.46766
6;0.563338,0.74982,0.412796,-0.663919,0.175007,0.270738,-0.405073,-0.295353,-0.0610003,-0.851643,0.148096,0.355539,-0.439719,-0.0900585,0.799453,-0.607602,-0.384869,0.599645,0.56811,-0.725264;0.982304,-0.382964,-4.34583,1.43134
7;0.560781,0.725174,0.447962,-0.669333,0.177727,0.279369,-0.402519,-0.323913,-0.0628154,-0.855069,0.147836,0.409552,-0.464105,-0.0972168,0.798677,-0.606116,-0.387638,0.605992,0.568108,-0.719951;1.05993,-0.406697,-4.48461,1.47856
8;0.834805,0.882166,0.76201,-0.879102,0.612306,0.312239,-0.643872,-0.165903,-0.394476,-0.93656,0.194474,0.756147,-0.404789,-0.12893,0.721445,-0.196081,-0.205875,0.795746,0.782441,-0.340536;1.22744,0.669104,-4.08979,1.35401
9;0.849619,0.870954,0.820313,-0.914373,0.587816,0.514165,-0.618571,0.118119,-0.229074,-0.821705,0.0641698,0.830033,-0.712131,0.486386,0.810064,-0.23911,-0.260434,0.899271,0.702364,-0.195963;0.294488,0.828731,-8.29669,1.39766
10;0.661411,0.905772,0.886639,-0.916494,0.856669,0.22925,-0.767328,0.542187,-0.742316,-0.965019,-0.135702,0.941219,-0.608762,0.886782,0.0950306,0.0429248,-0.42062,0.97339,0.850984,-0.744193;0.552549,2.26503,-7.65764,2.38819
11;0.670515,0.889402,0.899048,-0.937082,0.836484,0.0647936,-0.554102,0.738834,-0.679463,-0.986426,-0.214944,0.954016,-0.798758,0.911491,0.24067,-0.0364798,-0.289145,0.980988,0.889358,-0.468992;0.585625,2.36149,-9.91521,2.45785
12;0.67155,0.917691,0.900244,-0.937042,0.744324,0.0729059,-0.60666,0.72808,-0.661342,-0.976345,-0.100749,0.95618,-0.752569,0.879024,0.276841,-0.0483258,-0.334348,0.983075,0.85816,-0.501991;0.377318,2.25841,-9.38085,2.16935
13;0.669921,0.663499,0.550707,-0.830626,0.507899,-0.0552745,-0.201462,0.328644,-0.503888,-0.870323,-0.34403,0.939359,-0.709067,0.72291,0.748478,0.332732,-0.768106,0.926255,0.882087,-0.326724;1.35171,1.82814,-10.611,2.50302
14;0.617551,0.571381,0.613078,-0.913072,0.576844,-0.465669,-0.328459,0.0205837,-0.289233,-0.949535,0.372,0.932744,0.0265038,0.661081,0.707816,0.248586,-0.634995,0.754747,0.936292,-0.528022;-1.45869,1.48731,-5.08981,0.893133
15;0.240482,-0.27676,-0.0826672,-0.464113,0.460232,-0.14105,-0.100162,0.0425896,-0.1325,-0.752535,-0.247098,0.751925,-0.520405,0.577349,0.843367,-0.144231,-0.844812,0.664819,0.848861,-0.864103;0.213692,0.847386,-9.3742,2.83626
16;0.21526,0.160989,-0.155878,-0.412043,0.0487022,-0.44593,-0.172596,0.104314,-0.205331,-0.878731,-0.1261,0.545395,0.552877,-0.0910319,0.815884,-0.0360194,-0.854673,0.0414153,0.89983,-0.903892;0.617685,0.347682,-0.216817,1.29022
17;0.635243,-0.260747,-0.157327,-0.766308,0.706576,-0.433236,-0.460464,-0.108179,-0.476739,-0.96374,-0.119384,0.594174,0.175655,-0.310137,0.766418,0.379958,-0.79332,0.316083,0.953571,-0.722513;0.72749,0.833919,-2.02431,1.21742
18;0.609846,0.319325,0.436487,-0.902145,0.858583,0.227191,-0.473485,0.603999,-0.70763,-0.971879,-0.661588,0.875583,0.00141478,0.483401,0.636707,0.480292,-0.813474,0.68139,0.974497,-0.867511;1.85226,1.76434,-6.23228,2.64425
19;0.467773,0.66064,0.364549,-0.942255,0.722245,0.240296,-0.412343,0.320695,-0.401163,-0.99699,-0.0788131,0.978215,0.154579,0.944216,0.636567,0.680714,-0.302269,0.811242,0.946369,-0.881029;0.0240682,1.76005,-5.03841,1.80638
20;0.479486,0.584246,0.45375,-0.919889,0.857429,0.117339,-0.412279,0.262064,-0.421213,-0.997338,-0.0453225,0.985512,-0.173776,0.956339,0.619356,0.673173,-0.169446,0.755946,0.86409,-0.90116;0.0310386,2.02733,-6.47704,1.82694
