Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.314063,0.076014,-0.15682,0.352835,0.502887,0.364372,-0.382875,-0.325958,0.507616,-0.0499623;0.911625,-6.02288,0.860941,3.35571
1;0.35956,0.135423,-0.15682,0.394845,0.502887,0.364372,-0.435013,-0.32794,0.427617,-0.0499623;0.82005,-6.42157,0.924246,3.18649
2;0.372468,0.141944,-0.15682,0.400445,0.502887,0.364372,-0.435358,-0.32794,0.411124,-0.0499623;0.804311,-6.51159,0.927717,3.14434
3;0.374179,0.145512,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.409296,-0.0499623;0.804533,-6.54607,0.928443,3.14039
4;0.37419,0.145774,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408295,-0.0499623;0.803775,-6.54743,0.928298,3.13879
5;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408222,-0.0499623;0.803712,-6.54738,0.928284,3.13868
6;0.568576,0.518482,-0.0335583,-0.0565355,0.0368163,0.713404,-0.672369,-0.47221,0.666228,0.0807912;1.88871,-10.0011,0.545502,3.37828
7;0.390598,0.374856,-0.0335583,-0.0263511,0.0368163,0.713404,-0.699114,-0.467685,0.628439,0.0807912;1.71744,-8.02375,0.513659,3.38149
8;0.661113,0.837754,0.0379364,0.107063,-0.541841,0.792076,-0.430335,-0.00972147,0.413339,0.164182;1.07575,-14.8222,0.427369,0.534436
9;-0.0903923,0.691346,-0.123071,0.524585,0.516669,0.918013,0.336368,-0.334571,0.495872,-0.690953;0.912374,-11.7555,0.688679,2.70902
10;0.497233,0.755443,-0.103995,0.687951,0.479013,0.782623,0.00521027,0.0862835,0.344726,-0.341423;0.465201,-15.2801,1.27184,1.41333
11;0.558764,0.777537,-0.103995,0.709564,0.479013,0.782623,0.0435729,0.101671,0.333898,-0.341423;0.445224,-15.8963,1.27972,1.26897
12;0.395391,0.37956,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.241672,-0.0499623;0.853671,-8.83561,0.82736,2.8433
13;0.358052,0.162134,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340549,-0.0499623;0.762937,-6.55023,0.910246,3.06289
14;0.277315,0.596032,0.0663659,0.555261,0.469126,0.527088,0.0914267,0.212299,0.238403,-0.552082;-0.00959683,-10.9795,1.62507,1.644
15;0.301484,0.700081,0.0663659,0.506857,0.469126,0.527088,0.275389,0.190904,0.203501,-0.552082;0.114645,-12.5643,1.46774,1.49694
16;0.497596,0.86954,0.188727,0.0541493,-0.00738011,0.799876,-0.0703647,0.0208789,0.494337,-0.454534;1.06049,-13.3669,1.15253,1.98718
17;-0.110542,0.717984,-0.123071,0.4905,0.516669,0.918013,0.420908,-0.358749,0.542066,-0.690953;1.03459,-12.1964,0.601963,2.79474
18;0.488074,0.758939,-0.103995,0.682228,0.479013,0.782623,1.18634e-05,0.0862835,0.336794,-0.341423;0.463854,-15.244,1.27027,1.42044
19;0.557365,0.775721,-0.103995,0.709893,0.479013,0.782623,0.0435729,0.101671,0.332852,-0.341423;0.442885,-15.8753,1.27903,1.26751
20;0.395489,0.379471,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.242248,-0.0499623;0.854154,-8.83574,0.827476,2.84417
21;0.358052,0.162148,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340576,-0.0499623;0.762966,-6.55037,0.910254,3.06293
22;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403614,-0.0499623;0.795781,-6.47249,0.925287,3.13319
23;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
24;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
25;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
26;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
27;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
28;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
29;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
30;0.341054,0.486363,-0.318982,-0.00606388,0.00386718,0.708801,-0.214592,-0.702227,0.401543,0.111536;1.83836,-10.9818,-0.523522,2.76274
31;0.140284,0.42468,-0.318982,-0.0342166,0.00386718,0.708801,-0.311792,-0.698573,0.227164,0.111536;1.63555,-9.16588,-0.547843,2.73227
32;0.365618,0.673019,-0.203096,-0.464197,-0.471862,0.884687,-0.585184,-0.776661,0.55282,0.238303;2.52087,-11.0825,-0.79286,3.07131
33;0.492675,0.100219,-0.515076,-0.214756,-0.544958,0.939765,-0.739616,-0.423436,0.427329,-0.33237;1.17982,-5.78883,-0.627597,2.46612
34;0.811216,0.0710832,-0.500736,0.159409,-0.579204,0.837246,-0.830894,-0.00477074,0.329124,0.147502;0.605267,-9.40441,-0.26863,0.658832
35;0.857578,0.212063,-0.500736,0.170737,-0.579204,0.837246,-0.82508,0.0165425,0.344064,0.147502;0.65786,-10.8504,-0.208955,0.601501
36;0.630888,0.50345,-0.565182,0.670453,-0.125644,0.955726,-0.039378,0.1703,0.186469,-0.653945;-0.22611,-13.7087,0.246442,0.105807
37;-0.174243,0.605929,-0.243274,0.76724,0.796189,0.787221,0.695851,-0.208797,-0.00986529,-0.75339;0.126889,-12.2065,0.622544,1.71693
38;-0.107127,0.667416,-0.243274,0.725794,0.796189,0.787221,0.659836,-0.213018,0.113033,-0.75339;0.318585,-12.8978,0.675102,1.98953
39;-0.12164,0.660285,-0.243274,0.727961,0.796189,0.787221,0.659323,-0.213018,0.0925373,-0.75339;0.292339,-12.7652,0.668286,1.96135
40;-0.120883,0.659378,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0949186,-0.75339;0.294128,-12.7626,0.668724,1.96473
41;-0.120872,0.659447,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0952216,-0.75339;0.294425,-12.7635,0.668803,1.9652
42;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951984,-0.75339;0.294405,-12.7635,0.668799,1.96516
43;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
44;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
45;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
46;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
47;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
48;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
49;0.129926,0.839441,-0.123071,0.416643,0.516669,0.918013,0.416169,-0.370259,0.434915,-0.690953;1.13244,-13.9358,0.606071,2.64908
50;-0.0442944,0.900952,-0.287727,0.0443299,0.0224865,0.96921,0.570621,-0.724529,0.427048,-0.596549;1.7191,-13.7884,-0.690178,2.58899
51;0.315677,0.857479,-0.269904,0.366074,-0.0275857,0.914599,0.154553,-0.414035,0.197445,-0.19131;1.09473,-15.4964,-0.204088,1.11138
52;0.423599,0.869736,-0.269904,0.411126,-0.0275857,0.914599,0.160752,-0.399011,0.219814,-0.19131;1.07571,-16.1146,-0.147822,0.989168
53;-0.00758712,0.788681,-0.123071,0.467786,0.516669,0.918013,0.308853,-0.348519,0.364473,-0.690953;0.927955,-12.5858,0.678409,2.60063
54;0.481911,0.749757,-0.103995,0.689796,0.479013,0.782623,0.00221135,0.0862835,0.315511,-0.341423;0.431774,-15.1388,1.26509,1.3748
55;0.559214,0.776552,-0.103995,0.709754,0.479013,0.782623,0.0435729,0.101671,0.3356,-0.341423;0.446145,-15.8914,1.28003,1.27114
56;0.395448,0.379669,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.241984,-0.0499623;0.854002,-8.837,0.827458,2.84376
57;0.358052,0.162142,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340517,-0.0499623;0.762912,-6.55027,0.910241,3.06283
58;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403616,-0.0499623;0.795783,-6.4725,0.925287,3.1332
59;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
60;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
61;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
62;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
63;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
64;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
