Passo;A  o
0;0
1;3
2;3
3;3
4;3
5;2
6;3
7;3
8;3
9;4
10;2
11;3
12;3
13;3
14;3
15;0
16;0
17;0
18;0
19;3
20;2
21;3
22;3
23;3
24;4
25;2
26;3
27;3
28;3
29;3
30;3
31;3
32;3
33;3
34;4
35;2
36;3
37;3
38;3
39;3
40;3
41;3
42;4
43;2
44;3
45;3
46;3
47;3
48;0
49;0
50;0
51;0
52;3
53;2
54;3
55;3
56;3
57;4
58;2
59;3
60;3
61;3
62;3
63;0
64;0
65;0
66;0
67;3
68;2
69;3
70;3
71;3
72;4
73;2
74;3
75;3
76;3
77;3
78;3
79;3
80;3
81;3
82;4
83;2
84;3
85;3
86;3
87;3
88;3
89;3
90;4
91;2
92;3
93;3
94;3
95;3
96;0
97;0
98;0
99;0
100;3
101;2
102;3
103;3
104;3
105;4
106;2
107;3
108;3
109;3
110;3
111;0
112;0
113;0
114;0
115;3
116;2
117;3
118;3
119;3
120;4
121;2
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;4
131;2
132;3
133;3
134;3
135;3
136;3
137;3
138;4
139;2
140;3
141;3
142;3
143;3
144;0
145;0
146;0
147;0
148;3
149;2
150;3
151;3
152;3
153;4
154;2
155;3
156;3
157;3
158;3
159;0
160;0
161;0
162;0
163;3
164;2
165;3
166;3
167;3
168;4
169;2
170;3
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;4
179;2
180;3
181;3
182;3
183;3
184;3
185;3
186;4
187;2
188;3
189;3
190;3
191;3
192;0
193;0
194;0
195;0
196;3
197;2
198;3
199;3
200;3
201;4
202;2
203;3
204;3
205;3
206;3
207;0
208;0
209;0
210;0
211;3
212;2
213;3
214;3
215;3
216;4
217;2
218;3
219;3
220;3
221;3
222;3
223;3
224;3
225;3
226;4
227;2
228;3
229;3
230;3
231;3
232;3
233;3
234;4
235;2
236;3
237;3
238;3
239;3
240;0
241;0
242;0
243;0
244;3
245;2
246;3
247;3
248;3
249;4
250;2
251;3
252;3
253;3
254;3
255;0
256;0
257;0
258;0
259;3
260;2
261;3
262;3
263;3
264;4
265;2
266;3
267;3
268;3
269;3
270;3
271;3
272;3
273;3
274;4
275;2
276;3
277;3
278;3
279;3
280;3
281;3
282;4
283;2
284;3
285;3
286;3
287;3
288;0
289;0
290;0
291;0
292;3
293;2
294;3
295;3
296;3
297;4
298;2
299;3
300;0
