Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.249247,-0.404025,0.200146,0.477121,0.0108704,0.0973465,0.151554,-0.480357,-0.0973999,0.0184898;-0.265014,-0.349562,-0.452375,2.05963
1;-0.249247,-0.404025,0.200146,0.513815,0.0598391,0.201944,0.102636,-0.480357,-0.0973999,-0.00898359;-0.325657,-0.3415,-0.385536,2.24648
2;-0.249247,-0.404025,0.200146,0.513815,0.0598391,0.201944,0.102636,-0.480357,-0.0973999,-0.00898359;-0.325657,-0.3415,-0.385536,2.24648
3;-0.249247,-0.404025,0.200146,0.513815,0.0598391,0.201944,0.102636,-0.480357,-0.0973999,-0.00898359;-0.325657,-0.3415,-0.385536,2.24648
4;-0.249247,-0.404025,0.200146,0.513815,0.0598391,0.201944,0.102636,-0.480357,-0.0973999,-0.00898359;-0.325657,-0.3415,-0.385536,2.24648
5;-0.249247,-0.404025,0.200146,0.513815,0.0598391,0.201944,0.102636,-0.480357,-0.0973999,-0.00898359;-0.325657,-0.3415,-0.385536,2.24648
6;-0.372201,-0.616351,0.0734851,0.644621,0.0954281,0.152815,0.0530736,-0.698143,-0.526471,-0.0804986;-1.73142,0.304421,0.885922,1.86632
7;-0.372201,-0.616351,0.0734851,0.626268,0.302031,0.203955,0.0285832,-0.698143,-0.526471,-0.0632009;-1.4813,0.190432,1.12778,1.70903
8;-0.588677,-0.971581,-0.221753,0.296023,0.0255496,0.461509,0.444464,-0.97412,-0.642929,0.530747;-4.08,-3.61117,1.93394,0.702906
9;0.00536536,-0.753705,-0.0429371,0.517435,0.0431595,0.226885,0.0832343,-0.696101,-0.08783,-0.00420958;-0.450972,0.121951,-0.220329,1.91617
10;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
11;-0.130255,-0.854373,-0.170548,0.672029,-0.197848,-0.074955,0.150917,-0.833629,-0.519458,-0.10011;-1.84541,1.26598,0.492353,1.46844
12;-0.130255,-0.854373,-0.170548,0.654663,0.016827,-0.0168174,0.124372,-0.833629,-0.519458,-0.0827387;-1.59335,1.14349,0.745281,1.3154
13;-0.588677,-0.971581,-0.221753,0.241002,0.0220208,0.375888,0.48236,-0.97412,-0.642929,0.554382;-3.95544,-3.68485,1.95962,0.471871
14;0.00536536,-0.753705,-0.0429371,0.517435,0.0431595,0.226885,0.0832343,-0.696101,-0.08783,-0.00420958;-0.450972,0.121951,-0.220329,1.91617
15;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
16;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
17;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
18;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
19;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
20;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
21;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
22;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
23;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
24;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
25;0.00536536,-0.753705,-0.0429371,0.548543,-0.231999,-0.0243543,0.199253,-0.696101,-0.08783,-0.0287492;-0.464494,0.634759,-0.731649,1.83663
