Passo;A  o
0;0
1;3
2;3
3;3
4;3
5;0
6;3
7;3
8;4
9;4
10;0
11;0
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;3
20;3
21;3
22;3
23;4
24;0
25;3
26;4
27;0
28;0
29;3
30;3
31;3
32;3
33;3
34;3
35;3
36;3
37;3
38;3
39;3
40;3
41;3
42;4
43;0
44;0
45;3
46;3
47;3
48;3
49;3
50;3
51;3
52;3
53;3
54;3
55;3
56;3
57;4
58;0
59;0
60;3
61;3
62;4
63;0
64;0
65;3
66;3
67;3
68;3
69;3
70;3
71;3
72;3
73;3
74;3
75;3
76;0
77;3
78;3
79;4
80;4
81;0
82;0
83;3
84;3
85;3
86;3
87;3
88;3
89;3
90;3
91;3
92;4
93;0
94;0
95;3
96;3
97;3
98;3
99;3
100;3
101;3
102;3
103;3
104;4
105;0
106;3
107;4
108;0
109;0
110;3
111;3
112;3
113;3
114;3
115;3
116;3
117;3
118;3
119;3
120;3
121;0
122;3
123;4
124;0
125;3
126;4
127;0
128;0
129;3
130;3
131;3
132;3
133;3
134;3
135;3
136;3
137;3
138;3
139;3
140;4
141;0
142;3
143;4
144;0
145;3
146;4
147;0
148;0
149;3
150;3
151;3
152;3
153;3
154;3
155;3
156;3
157;3
158;3
159;3
160;0
161;3
162;4
163;0
164;3
165;4
166;0
167;0
168;3
169;3
170;3
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;3
179;4
180;0
181;3
182;4
183;0
184;3
185;4
186;0
187;0
188;3
189;3
190;3
191;3
192;3
193;3
194;3
195;3
196;3
197;3
198;3
199;0
200;3
201;4
202;0
203;3
204;4
205;0
206;0
207;3
208;3
209;3
210;3
211;3
212;3
213;3
214;3
215;3
216;3
217;3
218;4
219;0
220;3
221;4
222;0
223;3
224;4
225;0
226;0
227;3
228;3
229;3
230;3
231;3
232;3
233;3
234;3
235;3
236;3
237;3
238;0
239;3
240;4
241;0
242;3
243;4
244;0
245;0
246;3
247;3
248;3
249;3
250;3
251;3
252;3
253;3
254;3
255;3
256;3
257;4
258;0
259;3
260;4
261;0
262;3
263;4
264;0
265;0
266;3
267;3
268;3
269;3
270;3
271;3
272;3
273;3
274;3
275;3
276;3
277;0
278;3
279;4
280;0
281;3
282;4
283;0
284;0
285;3
286;3
287;3
288;3
289;3
290;3
291;3
292;3
293;3
294;3
295;3
296;4
297;0
298;3
299;4
300;-1.83255e-06
