Passo;A  o
0;2
1;3
2;3
3;3
4;3
5;4
6;0
7;3
8;4
9;2
10;3
11;3
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;3
20;3
21;3
22;2
23;3
24;3
25;4
26;2
27;2
28;3
29;3
30;4
31;0
32;4
33;0
34;2
35;3
36;3
37;4
38;2
39;2
40;3
41;3
42;4
43;0
44;4
45;0
46;2
47;3
48;3
49;4
50;2
51;2
52;3
53;3
54;4
55;0
56;4
57;0
58;2
59;3
60;3
61;4
62;2
63;2
64;3
65;3
66;4
67;0
68;4
69;0
70;2
71;3
72;3
73;4
74;2
75;2
76;3
77;3
78;4
79;0
80;4
81;0
82;2
83;3
84;3
85;4
86;2
87;2
88;3
89;3
90;4
91;0
92;4
93;0
94;2
95;3
96;3
97;4
98;2
99;2
100;3
101;3
102;4
103;0
104;4
105;0
106;2
107;3
108;3
109;4
110;2
111;2
112;3
113;3
114;4
115;0
116;4
117;0
118;2
119;3
120;3
121;4
122;2
123;2
124;3
125;3
126;4
127;0
128;4
129;0
130;2
131;3
132;3
133;4
134;2
135;2
136;3
137;3
138;4
139;0
140;4
141;0
142;2
143;3
144;3
145;4
146;2
147;2
148;3
149;3
150;4
151;0
152;4
153;0
154;2
155;3
156;3
157;4
158;2
159;2
160;3
161;3
162;4
163;0
164;4
165;0
166;2
167;3
168;3
169;4
170;2
171;2
172;3
173;3
174;4
175;0
176;4
177;0
178;2
179;3
180;3
181;4
182;2
183;2
184;3
185;3
186;4
187;0
188;4
189;0
190;2
191;3
192;3
193;4
194;2
195;2
196;3
197;3
198;4
199;0
200;4
201;0
202;2
203;3
204;3
205;4
206;2
207;2
208;3
209;3
210;4
211;0
212;4
213;0
214;2
215;3
216;3
217;4
218;2
219;2
220;3
221;3
222;4
223;0
224;4
225;0
226;2
227;3
228;3
229;4
230;2
231;2
232;3
233;3
234;4
235;0
236;4
237;0
238;2
239;3
240;3
241;4
242;2
243;2
244;3
245;3
246;4
247;0
248;4
249;0
250;2
251;3
252;3
253;4
254;2
255;2
256;3
257;3
258;4
259;0
260;4
261;0
262;2
263;3
264;3
265;4
266;2
267;2
268;3
269;3
270;4
271;0
272;4
273;0
274;2
275;3
276;3
277;4
278;2
279;2
280;3
281;3
282;4
283;0
284;4
285;0
286;2
287;3
288;3
289;4
290;2
291;2
292;3
293;3
294;4
295;0
296;4
297;0
298;2
299;3
300;-1.83255e-06
