Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.521912,0.415355,0.467488,-0.0283199,0.300556,0.160925,0.257125,0.137875,0.390829,0.499254,0.0125198,0.154143;-5.15573,-1.1374,-1.22324,1.2185
1;0.516201,0.415355,0.435055,-0.118161,0.682569,0.173436,0.415019,0.137875,0.090705,0.392803,0.682191,0.611126;-3.18277,0.120526,-4.0803,1.43072
2;0.497779,0.415355,0.324694,-0.279273,0.679496,0.698138,0.584126,0.137875,0.0830955,0.0202084,0.703247,0.531553;-3.25226,0.278236,-4.60213,1.15844
3;0.463593,0.415355,0.104753,-0.2832,0.669418,0.709067,0.582922,0.137875,0.0528166,0.0887394,0.352315,0.176008;-4.19976,-1.03305,-3.48907,1.63937
4;0.462742,0.415355,0.0991633,-0.29873,0.650048,0.48119,0.578954,0.137875,0.319422,0.376707,0.42677,0.248759;-3.69666,-1.45582,-2.95264,1.74995
5;0.459366,0.415355,0.0769985,-0.157409,0.649554,0.537813,0.571249,0.137875,0.428142,0.321527,0.683796,0.518586;-3.05604,-0.44771,-2.73091,1.44896
6;0.618288,-0.111562,0.00954369,-0.291594,0.505533,0.638608,0.797267,-0.01517,0.0359248,-0.278646,0.794962,0.448312;-0.608755,1.16105,-5.81534,0.859344
7;0.654226,-0.0700848,0.534132,0.455436,0.757082,0.629102,0.749278,0.362078,0.0972637,-0.313158,0.314134,-0.336369;-4.70837,-1.0831,-4.28236,0.907854
8;0.75687,-0.0700848,0.931611,0.25918,0.772061,0.240794,0.807851,0.362078,-0.471476,0.33995,0.379895,-0.369964;-4.70107,-1.95872,-6.77047,2.00821
9;0.808052,-0.55411,0.806616,-0.250525,0.723043,0.200962,0.917295,0.221607,-0.805431,-0.00332614,0.923793,0.298297;-0.905184,0.97001,-11.1816,1.13874
10;0.917875,-0.0835754,-0.503546,0.451461,0.945944,0.240898,0.94956,0.288358,-0.91884,-0.490009,0.23762,-0.0434767;-4.03959,0.318146,-5.63596,2.69065
11;0.96736,-0.490066,0.421583,0.253159,0.964533,-0.614923,0.947611,0.546297,-0.223659,0.226018,-0.407977,-0.319964;-6.28857,-1.92815,-5.54101,1.45599
12;0.963652,-0.490066,0.16291,0.606121,0.967833,-0.881063,0.948727,0.546297,-0.752183,0.437321,0.496458,0.434028;-3.44302,0.611621,-7.21365,2.26785
13;0.969991,-0.490066,0.586347,0.385582,0.967597,-0.422476,0.948923,0.546297,-0.534379,-0.18064,0.681594,0.604297;-3.11986,2.01703,-8.83441,0.764696
14;0.90972,-0.262097,0.733854,-0.0528377,0.888965,0.476384,0.952474,-0.258242,-0.673282,-0.625859,0.591475,-0.520684;-0.464115,-0.325948,-8.82373,1.488
15;0.926052,-0.0835754,-0.263335,0.60923,0.955701,-0.0956172,0.958401,0.288358,-0.942391,0.169981,-0.477625,-0.626701;-6.82904,-2.3142,-3.18283,3.39006
16;0.978577,-0.773905,0.249593,0.561821,0.945003,-0.706327,0.941382,0.182131,0.0192107,0.601679,0.514351,0.513861;-1.82569,0.831536,-4.8972,1.09025
17;0.978015,-0.773905,0.184642,0.923285,0.950369,0.139071,0.940654,0.182131,-0.364769,-0.281985,0.816943,0.781087;-1.96659,3.73353,-5.42509,0.186155
18;0.960678,-0.617364,0.935955,0.503511,0.910472,0.380231,0.93486,0.0520431,-0.320642,-0.394091,0.388369,-0.410954;-2.69017,0.0127259,-6.99076,0.512582
19;0.950677,-0.617364,0.800704,0.520633,0.907448,-0.0402414,0.931804,0.0520431,-0.843019,0.54656,0.234479,-0.509057;-3.4125,-1.57647,-6.7266,2.25257
20;0.95113,-0.617364,0.80937,0.277052,0.90566,-0.195902,0.931567,0.0520431,-0.594891,0.603248,0.906971,0.450123;-1.06834,0.983893,-8.22255,1.46528
21;0.944292,-0.617364,0.649728,0.399899,0.905742,0.456501,0.931426,0.0520431,-0.585872,-0.129895,0.919537,0.498953;-1.49278,2.43094,-7.88228,0.59051
22;0.872424,0.278205,0.842146,0.46316,0.922508,0.702591,0.880737,-0.109849,-0.416669,-0.251632,0.375878,-0.454529;-4.1275,-0.909183,-4.474,1.82782
23;0.876532,0.278205,0.86666,0.215869,0.911019,0.303614,0.882952,-0.109849,-0.612423,0.512999,0.234209,-0.555157;-4.39983,-2.60526,-4.90701,2.95499
24;0.859739,0.278205,0.745965,0.109188,0.911717,0.166294,0.881438,-0.109849,-0.397973,0.574189,0.853159,0.221009;-2.16626,-0.553797,-5.81526,2.5092
25;0.851861,0.278205,0.66978,0.225834,0.908829,0.666356,0.881531,-0.109849,-0.253133,-0.0169684,0.874236,0.28469;-2.46088,0.649016,-5.25332,1.60149
26;0.860454,0.278205,0.752255,0.301309,0.907443,0.67823,0.881148,-0.109849,-0.396287,-0.071876,0.500171,-0.349419;-3.53136,-1.08766,-4.98799,2.08836
27;0.865767,0.278205,0.795668,0.226731,0.908954,0.4147,0.880963,-0.109849,-0.489752,0.443004,0.441888,-0.401853;-3.71001,-2.11189,-5.00849,2.78597
28;0.860519,0.278205,0.752815,0.176498,0.909876,0.363884,0.881164,-0.109849,-0.353935,0.478682,0.824895,0.145811;-2.49998,-0.584203,-5.44601,2.37337
29;0.856877,0.278205,0.719768,0.249118,0.908965,0.649887,0.881287,-0.109849,-0.297175,0.0479742,0.83985,0.18441;-2.61199,0.289617,-5.28622,1.76466
30;0.862114,0.278205,0.766432,0.278707,0.908328,0.65868,0.881166,-0.109849,-0.420929,0.0146557,0.563174,-0.284475;-3.37346,-1.02938,-5.19717,2.16664
31;0.864196,0.278205,0.783427,0.213592,0.909243,0.466856,0.881081,-0.109849,-0.474355,0.396796,0.53139,-0.318166;-3.43784,-1.80117,-5.22082,2.68882
32;0.859575,0.278205,0.744509,0.184844,0.909604,0.440917,0.881203,-0.109849,-0.35866,0.42104,0.803909,0.0951714;-2.61037,-0.64174,-5.41557,2.35069
33;0.857488,0.278205,0.725504,0.246633,0.9088,0.63725,0.881251,-0.109849,-0.310474,0.0915147,0.815268,0.121819;-2.66939,0.0226973,-5.28902,1.88338
34;0.861938,0.278205,0.764953,0.271819,0.908435,0.644134,0.881144,-0.109849,-0.411273,0.0686362,0.602014,-0.239377;-3.26707,-0.990535,-5.22523,2.19697
35;0.863714,0.278205,0.779571,0.21875,0.909212,0.497496,0.881095,-0.109849,-0.455368,0.363463,0.581793,-0.263217;-3.30244,-1.58002,-5.27352,2.60172
