Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.507035,0.13291,0.0743756,0.523988,0.425243,-0.523032,-0.501585,0.327716,0.362879,-0.474311,-0.390224,0.12733,-0.157283,-0.461506,0.0276118,0.506778,0.123406,0.408431,-0.0428958,0.0569494,-0.446469,-0.100461,-0.217434,0.328731,0.525204,-0.370403,0.433531,-0.1673,0.0554074,-0.145832,-0.463575,0.420533,0.16244,0.132436,-0.517797,-0.444666,0.475577,0.169223,0.217251,0.475121,-0.218601,-0.324734,0.428151,0.0277783,0.313864,-0.0664081,0.113088,0.481418,0.0464344,-0.476841;2.77176,-1.36393,-0.697082,5.91887
1;-0.670623,0.283733,0.0287404,0.313635,0.314573,-0.655206,-0.46375,0.401487,0.782709,-0.484272,-0.303436,0.516628,-0.332298,-0.355383,0.0937724,0.0933663,0.248309,0.43083,0.14397,-0.0470553,-0.548945,-0.0144157,-0.0508699,0.393355,0.394399,-0.463339,0.381668,-0.239443,0.232007,-0.121724,-0.228343,0.57924,0.0535766,-0.0117041,-0.605143,-0.392579,0.310053,0.134231,0.00278412,0.570743,0.255241,-0.416152,0.494786,-0.122839,0.107659,-0.0299274,-0.294008,0.523894,-0.0450097,-0.680325;-1.35397,-2.62452,0.864563,6.84054
2;-0.619781,0.366162,0.152423,0.0635333,0.11023,-0.691166,-0.502146,0.506529,0.778811,-0.488463,-0.25041,0.625336,-0.47632,-0.549865,-0.0776613,-0.0136891,0.204465,0.48193,0.1912,0.152544,-0.576082,-0.00166106,-0.374789,0.295905,0.263881,-0.449177,0.369334,-0.269704,0.408258,-0.185609,-0.36478,0.340173,0.132342,-0.0852253,-0.63093,-0.483146,0.342872,0.256879,-0.212333,0.615252,0.238582,-0.775429,-0.0165227,-0.16219,0.302407,-0.0964218,-0.285715,0.492216,0.105287,-0.740642;-4.71558,-2.68171,1.44346,3.83509
3;-0.569495,0.245028,-0.0408228,0.0508682,0.0242096,-0.480138,-0.489589,0.529973,0.802281,-0.691061,-0.324297,0.67276,-0.406529,-0.559295,-0.0608474,-0.0583013,0.0732764,0.386547,0.246313,0.352598,-0.535653,0.109733,-0.282525,0.268493,0.285192,-0.380393,0.529997,-0.291491,0.287288,-0.281767,-0.34292,0.385615,-0.0391768,-0.132051,-0.603096,-0.546022,0.646296,0.385716,-0.248883,0.741923,0.235682,-0.753201,0.155107,-0.329102,0.34874,0.031439,-0.212694,0.512994,-0.0681871,-0.80209;-5.50446,-1.09435,-0.334974,5.65413
4;-0.618176,0.0623336,0.0295326,0.054947,0.249615,-0.515839,-0.409673,0.56799,0.741621,-0.625546,-0.278363,0.663189,-0.378815,-0.548092,-0.170446,0.0380508,-0.0106406,0.287845,0.378131,0.372765,-0.625163,0.197059,-0.242538,0.370186,0.256305,-0.375829,0.39289,-0.305899,0.288713,-0.343231,-0.213535,0.404963,0.0807703,-0.15427,-0.612433,-0.559623,0.583925,0.351862,-0.255523,0.682274,0.321522,-0.746817,0.108265,-0.307331,0.474403,0.158563,-0.201875,0.424756,-0.0575835,-0.792688;-6.08991,-2.22596,1.00723,4.95799
5;-0.577804,0.0489852,0.0561585,0.0460384,0.438522,-0.392103,-0.397077,0.600107,0.638217,-0.644947,-0.38531,0.686017,-0.464981,-0.629188,-0.254765,-0.00508211,0.0526145,0.267136,0.332439,0.146017,-0.609287,0.165526,-0.145494,0.276505,0.274907,-0.318725,0.329814,-0.325102,0.294149,-0.292227,-0.248459,0.381836,0.0835942,-0.0852005,-0.62775,-0.538909,0.651381,0.237376,-0.224187,0.677465,0.237061,-0.805763,0.0253085,-0.348444,0.51074,0.171161,-0.160249,0.476042,-0.0505237,-0.788781;-5.5895,-1.05593,0.635407,5.72497
6;-0.204666,-0.404233,-0.260205,0.0728403,0.466304,-0.49608,-0.760051,0.291571,0.530149,-0.56136,-0.24242,0.782101,-0.656979,-0.192297,-0.395614,0.121227,-0.276642,0.41186,-0.0491675,-0.390036,-0.803966,0.611076,0.0998047,0.685623,0.683678,-0.492607,0.239406,-0.603566,-0.0235065,0.132424,-0.596872,0.725093,-0.254322,0.190799,-0.464531,-0.613563,0.657205,0.403869,-0.232148,0.326218,0.508777,-0.920579,-0.287661,0.229909,0.701233,0.270944,0.435607,0.371724,0.500524,-0.608062;-8.71845,-2.54251,4.6087,3.71201
7;-0.72098,0.487581,-0.162747,0.117692,0.811652,-0.0852808,-0.481745,0.355603,0.678421,-0.7282,-0.540109,0.870476,-0.266637,-0.78682,0.324947,0.318281,-0.107072,0.605789,-0.0788506,-0.311945,-0.433606,0.184539,0.121243,0.272479,0.511113,-0.629457,0.112573,-0.162169,0.256387,-0.57142,-0.311031,0.316148,0.296127,0.0316434,-0.700264,-0.46639,0.789031,0.0971012,-0.080819,0.689891,0.258962,-0.845869,-0.117312,0.0990486,0.588042,-0.30676,-0.176971,0.321975,0.157281,-0.868858;2.43814,0.800921,-2.72968,7.87916
8;-0.556423,0.499677,0.164434,-0.244851,-0.289268,-0.661909,-0.269874,0.413669,0.686293,-0.737656,-0.547991,0.746067,-0.143818,-0.600245,-0.065922,-0.340385,-0.216589,0.572706,-0.0230794,-0.447132,-0.575499,0.0120933,-0.301345,0.0504552,0.335528,-0.16179,0.306266,-0.381526,0.257124,-0.368911,-0.133609,0.396306,0.275261,-0.2782,-0.547383,-0.535032,0.533458,-0.291687,-0.164289,0.677541,0.0460175,-0.855564,0.0873222,-0.0234556,0.499159,-0.260663,-0.163859,0.591416,0.178732,-0.749727;-1.73189,2.41517,0.330609,2.11027
9;-0.751288,0.0893867,-0.0918941,0.0315304,0.303507,0.102728,-0.624869,0.293658,0.646465,-0.803437,-0.523958,0.819597,0.16965,-0.614529,0.233559,0.0851232,-0.263673,0.317434,0.311289,0.427405,-0.785749,-0.197722,0.159662,0.325936,-0.126572,0.111633,0.557828,-0.720906,0.110396,-0.405855,-0.408766,0.565307,-0.405083,-0.0456649,-0.361184,-0.659962,0.472456,0.0844165,-0.60711,0.927733,0.51451,-0.344552,0.0338876,0.0182932,0.493122,-0.0573389,-0.103149,0.721272,0.0361267,-0.896411;-3.2462,-0.535579,-2.75204,5.0241
10;-0.730584,-0.558442,0.116741,0.074609,0.334917,-0.186658,-0.635133,0.361146,0.672934,-0.779491,-0.434812,0.581369,-0.114763,-0.773778,-0.164139,0.148087,-0.471303,-0.152675,0.695877,-0.123715,-0.813934,-0.198597,0.393342,0.560783,-0.0986965,-0.0135038,0.752389,-0.730185,0.147363,-0.707652,-0.483249,0.374087,0.0632913,0.0838542,-0.361428,-0.690424,0.423996,-0.554242,-0.581444,0.853593,0.675199,-0.351424,-0.461007,0.388323,0.697056,0.465395,-0.614205,0.447117,-0.144428,-0.901292;-3.10554,-0.822251,-0.0140826,2.4262
11;-0.541753,-0.6047,0.391519,0.515751,0.755645,0.260669,-0.930845,-0.374473,0.295626,-0.712044,0.128697,0.586749,-0.321617,-0.754586,0.383678,0.823219,-0.822235,-0.314457,0.243744,-0.809965,-0.883596,0.00340608,0.631395,0.928207,0.599109,0.100248,0.894988,-0.885686,0.0319466,-0.676789,-0.888142,0.605546,-0.161174,0.585827,-0.571713,-0.845407,0.839591,-0.435553,-0.265828,0.316736,0.937777,-0.903858,-0.78858,0.781813,0.745342,0.406493,-0.392148,0.808137,0.335391,-0.927027;-2.47238,2.38714,0.187959,5.96525
12;-0.658367,-0.294994,0.304384,0.132895,0.739254,0.0488366,-0.937673,-0.718453,0.497203,-0.683584,-0.357371,0.793329,0.34036,-0.794523,0.831919,0.970671,-0.949847,0.239911,-0.123313,-0.918299,-0.661185,0.417077,0.836812,0.980224,0.48149,-0.50019,0.844328,-0.95118,-0.315985,-0.945547,-0.937551,0.515088,-0.370517,0.476934,-0.449932,-0.511295,0.634561,-0.661598,0.0575883,-0.121449,0.959702,-0.96463,-0.714285,0.954583,0.46231,0.00189243,-0.0802578,0.481889,0.409214,-0.938798;2.91385,5.36445,-3.67706,2.93313
13;-0.866287,-0.615701,0.588749,0.228372,-0.154667,-0.611765,-0.92223,-0.412225,0.744663,-0.832483,0.0509537,0.970434,-0.229003,-0.844086,0.93398,0.861951,-0.918128,-0.401219,-0.254848,-0.907399,-0.933299,-0.0863149,0.251996,0.919127,0.923899,-0.00867027,0.70407,-0.815222,-0.277146,-0.939515,-0.962306,0.0408823,0.489609,0.310275,-0.276467,-0.845459,0.624408,-0.699005,0.328303,0.692618,0.904142,-0.946535,-0.887949,0.916848,0.706628,-0.465976,-0.556293,0.625717,0.509134,-0.844069;-2.11962,5.23675,-1.07777,4.62618
14;-0.545065,0.638623,-0.119492,0.216604,0.513487,-0.474044,-0.782278,-0.432616,0.44756,-0.843668,-0.0998892,0.292226,-0.327387,-0.880602,0.851736,0.891987,-0.207408,0.804539,-0.0728576,-0.595385,-0.458187,0.31809,0.778503,0.904272,0.718859,-0.23282,0.824005,-0.871073,0.028435,-0.710141,-0.523261,0.157122,-0.386966,0.763194,-0.817565,0.0919582,0.743939,0.283643,0.407752,-0.446114,0.798258,-0.904183,-0.545859,0.835239,-0.108575,-0.169836,-0.46713,0.755177,0.205722,-0.860157;2.56405,3.22703,0.168787,3.79317
15;-0.722963,0.261168,0.0634162,0.40194,-0.226307,-0.906995,-0.828346,0.112022,0.946313,-0.889394,0.0189952,0.824512,-0.808518,-0.798617,0.870018,0.798034,-0.670265,0.373389,0.468566,-0.80726,-0.822051,0.570649,0.00672825,0.844729,0.873259,0.0157994,-0.108442,-0.733729,-0.153421,-0.899092,-0.823703,-0.540363,0.56038,0.449799,-0.751853,-0.260215,0.708131,-0.225319,0.789782,-0.154425,0.604022,-0.947573,-0.70389,0.680599,-0.248438,-0.377572,-0.430404,0.418892,0.360883,-0.809036;-1.84751,1.64806,8.43778,4.63127
16;-0.733141,-0.452685,0.158322,-0.269151,-0.0479463,-0.831861,-0.941214,-0.358711,0.868189,-0.756397,-0.629099,0.976054,-0.243122,-0.764878,0.869661,0.941157,-0.948972,-0.34715,0.187572,-0.152609,-0.882341,0.772995,0.223433,0.874099,0.620716,-0.685865,-0.468002,-0.926074,-0.816912,-0.885466,-0.97977,0.182126,-0.441573,0.0358715,0.184692,-0.403476,0.547832,0.285939,0.07295,0.674679,0.703817,-0.952261,0.0431782,0.638521,-0.105991,-0.398997,0.421623,0.668762,0.181006,-0.930699;-3.49223,5.51955,0.447731,5.10724
17;0.125254,-0.58069,0.804606,-0.431324,0.920989,-0.833025,-0.92893,-0.259854,0.849889,-0.507838,-0.873051,0.991358,-0.212579,-0.915159,0.871154,0.973473,-0.708344,-0.168463,0.82207,-0.441681,-0.824495,-0.0330482,-0.217718,0.915619,0.337987,-0.274354,-0.228328,-0.970427,-0.751833,-0.889454,-0.944539,-0.182508,-0.501399,0.693285,-0.476347,-0.402176,0.16537,-0.145722,0.335036,-0.00225635,0.319118,-0.91387,-0.507199,0.815355,-0.386967,0.192073,-0.00297148,0.245409,-0.343361,-0.890059;-4.34202,0.21498,7.06616,-3.69888
18;-0.00274376,-0.724036,0.296186,-0.528162,0.223489,-0.872417,-0.856373,-0.210595,0.39642,-0.705041,-0.669429,0.956654,-0.56628,-0.501628,0.716301,0.920249,-0.616548,0.417972,0.15399,-0.328754,-0.836047,0.24776,-0.801367,0.785831,0.0166784,-0.506052,0.460525,-0.949551,-0.772637,-0.872568,-0.901871,0.763082,-0.855765,0.480178,0.348737,-0.0551887,-0.0477399,-0.106699,-0.515919,0.662645,0.642673,-0.647287,0.338627,0.891215,0.559178,0.20494,0.399654,-0.0505969,0.128818,-0.877768;-8.02199,-0.388825,0.907611,3.29645
