Passo;A  o
0;3
1;2
2;3
3;3
4;3
5;3
6;4
7;0
8;3
9;0
10;3
11;2
12;3
13;2
14;3
15;2
16;3
17;2
18;2
19;3
20;2
21;3
22;2
23;3
24;2
25;2
26;3
27;2
28;3
29;2
30;3
31;2
32;2
33;3
34;2
35;3
36;2
37;3
38;2
39;2
40;3
41;2
42;3
43;2
44;3
45;2
46;2
47;3
48;2
49;3
50;2
51;3
52;2
53;2
54;3
55;2
56;3
57;3
58;3
59;4
60;0
61;2
62;3
63;3
64;0
65;3
66;2
67;3
68;2
69;3
70;3
71;3
72;2
73;0
74;3
75;0
76;3
77;2
78;3
79;2
80;3
81;4
82;0
83;2
84;3
85;3
86;0
87;3
88;2
89;3
90;2
91;3
92;3
93;3
94;2
95;0
96;3
97;0
98;3
99;2
100;3
101;2
102;3
103;0
104;2
105;3
106;0
107;3
108;2
109;3
110;2
111;3
112;3
113;4
114;0
115;2
116;3
117;3
118;0
119;3
120;2
121;3
122;2
123;3
124;3
125;3
126;2
127;0
128;3
129;0
130;3
131;2
132;3
133;2
134;3
135;4
136;0
137;2
138;3
139;3
140;0
141;3
142;2
143;3
144;2
145;3
146;3
147;3
148;2
149;0
150;3
151;0
152;3
153;2
154;3
155;2
156;3
157;0
158;2
159;3
160;0
161;3
162;2
163;3
164;2
165;3
166;3
167;4
168;0
169;2
170;3
171;3
172;0
173;3
174;2
175;3
176;2
177;3
178;3
179;3
180;2
181;0
182;3
183;0
184;3
185;2
186;3
187;2
188;3
189;4
190;0
191;2
192;3
193;3
194;0
195;3
196;2
197;3
198;2
199;3
200;3
201;3
202;2
203;0
204;3
205;0
206;3
207;2
208;3
209;2
210;3
211;0
212;2
213;3
214;3
215;0
216;3
217;2
218;3
219;2
220;3
221;3
222;3
223;2
224;0
225;3
226;0
227;3
228;2
229;3
230;2
231;3
232;0
233;2
234;3
235;0
236;3
237;2
238;3
239;2
240;3
241;3
242;4
243;0
244;2
245;3
246;3
247;0
248;3
249;2
250;3
251;2
252;3
253;3
254;3
255;2
256;0
257;3
258;0
259;3
260;2
261;3
262;2
263;3
264;4
265;0
266;2
267;3
268;3
269;0
270;3
271;2
272;3
273;2
274;3
275;3
276;3
277;2
278;0
279;3
280;0
281;3
282;2
283;3
284;2
285;3
286;0
287;2
288;3
289;0
290;3
291;2
292;3
293;2
294;3
295;3
296;4
297;0
298;2
299;3
300;0
