Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.215675,0.3618,-0.25361,0.399256,-0.00226842,-0.13993,-0.460973,0.139407,-0.439219,0.200642,-0.259286,-0.369065;-0.971953,-5.95537,-0.586844,-0.682357
1;0.181255,0.3618,-0.0605259,0.399256,-0.00226842,-0.13993,-0.693176,0.136906,-0.166823,0.412328,0.0725338,-0.731325;0.116983,-8.35899,-0.308824,0.248775
2;0.306195,0.3618,-0.304837,0.399256,-0.00226842,-0.13993,-0.835312,0.134266,-0.0629438,0.13654,0.438476,-0.764041;-1.4516,-9.10293,0.0634843,0.461636
3;-0.165509,-0.139552,-0.272527,0.689763,0.235739,-0.294239,-0.762213,-0.426323,-0.517442,-0.0862149,0.0300978,-0.661713;-1.89727,-4.99139,-0.665093,-0.42019
4;-0.518576,-0.139552,0.0332994,0.689763,0.235739,-0.294239,-0.703841,-0.424004,-0.74883,0.296212,-0.0971655,-0.63649;-0.375803,-4.32378,-1.02454,-0.595132
5;-0.0232903,0.160411,0.203965,0.309487,0.373016,0.175898,-0.637911,0.352311,-0.0128734,0.317374,0.268523,-0.83619;-0.281672,-6.81728,-1.03892,0.866671
6;-0.22044,-0.343113,0.237679,0.631987,0.561107,0.0153992,-0.632813,-0.22239,-0.112618,0.11689,0.0872753,-0.527744;-0.539377,-3.01303,-2.10712,0.811933
7;-0.284923,0.21066,0.208491,0.441713,0.837547,0.347434,-0.481747,-0.311078,-0.0575437,0.51362,0.348636,-0.107328;-0.319416,-4.65933,-2.7032,0.287588
8;-0.100796,0.618772,-0.227107,0.734333,0.724726,0.283079,-0.376938,-0.655264,0.136163,-0.0649636,0.578758,0.287602;-2.1765,-6.54438,-2.12622,-0.0940016
9;0.0547352,0.618772,-0.386313,0.734333,0.724726,0.283079,0.0449425,-0.651048,-0.133813,-0.276531,-0.0436295,0.129426;-2.26639,-5.83751,-1.52058,-1.27913
10;0.112412,0.618772,0.0693099,0.734333,0.724726,0.283079,-0.0574041,-0.649497,-0.315172,0.273539,-0.0491094,0.366681;-0.058783,-5.3935,-2.53956,-0.993648
11;0.525025,0.625072,0.000451875,0.0495768,0.748868,0.481449,0.0421576,0.263859,-0.0262908,0.535537,-0.0701928,-0.233427;-0.144265,-6.27375,-1.78423,-0.479305
12;0.316388,0.3618,-0.202641,0.399256,-0.00226842,-0.13993,-0.659511,0.132728,-0.309029,0.322268,0.124734,-0.438791;-0.66725,-7.50073,-0.589396,-0.033466
13;0.205905,0.3618,-0.340661,0.399256,-0.00226842,-0.13993,-0.733033,0.135389,-0.0810717,0.0898011,0.194361,-0.78804;-1.41535,-8.67392,0.126315,0.178573
14;0.324951,0.3618,-0.386934,0.399256,-0.00226842,-0.13993,-0.8339,0.138288,-0.0456145,0.026874,0.312236,-0.837855;-1.75969,-9.21018,0.224444,0.312894
15;0.341218,0.3618,-0.460941,0.399256,-0.00226842,-0.13993,-0.843646,0.139072,0.00271179,-0.0798804,0.312644,-0.868599;-2.15605,-9.33004,0.352773,0.308753
16;0.351157,0.3618,-0.461188,0.399256,-0.00226842,-0.13993,-0.846192,0.140402,0.00771112,-0.0802483,0.276355,-0.881323;-2.11513,-9.35227,0.351716,0.294524
17;0.554868,0.564497,-0.757185,0.372083,0.26575,0.0274009,-0.946049,-0.104574,-0.0849623,-0.333581,0.516384,-0.931271;-3.8647,-11.0547,0.60077,-0.413495
18;0.540054,0.160411,-0.257325,0.309487,0.373016,0.175898,-0.719227,0.3593,0.2968,-0.221447,0.0128193,-0.957007;-2.07962,-7.68275,-0.591624,0.788418
19;-0.17783,-0.343113,0.412181,0.631987,0.561107,0.0153992,-0.641696,-0.215872,-0.0709747,0.335836,-0.138092,-0.736506;0.762318,-3.59524,-2.0995,0.902747
20;-0.213039,0.21066,0.366411,0.441713,0.837547,0.347434,-0.631577,-0.313588,-0.0492449,0.648137,0.571802,-0.00638982;0.107493,-4.90546,-3.07302,0.687716
21;0.115221,0.754562,-0.726229,0.719275,0.831224,0.429504,-0.70145,-0.774899,0.109071,-0.513045,0.736187,-0.0151329;-4.66899,-9.20975,-1.3229,-0.660675
22;0.477766,0.754562,-0.780502,0.719275,0.831224,0.429504,-0.593443,-0.768936,-0.156347,-0.614765,0.174996,-0.63751;-4.17907,-10.7471,-0.299879,-1.58928
23;0.562517,0.160411,-0.00166687,0.309487,0.373016,0.175898,-0.538967,0.362408,-0.279895,0.134367,-0.384072,-0.937605;-0.478123,-6.86593,-0.848841,-0.154977
24;0.299105,0.160411,0.402557,0.309487,0.373016,0.175898,-0.757392,0.354111,0.398156,0.537971,0.343842,-0.805389;1.00461,-7.57089,-1.51534,1.8549
25;-0.231176,-0.343113,0.182534,0.631987,0.561107,0.0153992,-0.638859,-0.225053,-0.0568144,0.0490609,0.191872,-0.510467;-0.913139,-3.0578,-2.03373,0.908765
26;-0.290743,0.21066,0.130698,0.441713,0.837547,0.347434,-0.461182,-0.310299,-0.056489,0.440417,0.301259,-0.146141;-0.625817,-4.6753,-2.5563,0.166003
27;-0.086665,0.618772,-0.192407,0.734333,0.724726,0.283079,-0.395287,-0.654733,0.127348,-0.0220729,0.569445,0.258675;-1.97573,-6.67768,-2.13879,-0.0704352
28;0.065322,0.618772,-0.380225,0.734333,0.724726,0.283079,0.0125512,-0.651362,-0.125162,-0.268711,0.00341145,0.135568;-2.28883,-5.92734,-1.54698,-1.21241
29;0.110184,0.618772,0.0333656,0.734333,0.724726,0.283079,-0.0533726,-0.649554,-0.301852,0.233617,-0.0491286,0.34629;-0.226657,-5.44206,-2.46161,-1.01533
30;0.530429,0.625072,0.000466591,0.0495768,0.748868,0.481449,0.0310895,0.26433,-0.0281843,0.535549,-0.0783097,-0.251339;-0.135573,-6.34364,-1.76754,-0.483904
31;0.322296,0.3618,-0.19667,0.399256,-0.00226842,-0.13993,-0.668247,0.132728,-0.304131,0.328851,0.138004,-0.446246;-0.644415,-7.55959,-0.586095,-0.00761512
32;0.208525,0.3618,-0.349618,0.399256,-0.00226842,-0.13993,-0.736532,0.135307,-0.0770713,0.0778476,0.203481,-0.789401;-1.47263,-8.69296,0.140414,0.182537
33;0.325398,0.3618,-0.39286,0.399256,-0.00226842,-0.13993,-0.83365,0.138437,-0.0440586,0.0186051,0.306794,-0.840375;-1.78725,-9.21152,0.233397,0.305029
34;0.342036,0.3618,-0.457651,0.399256,-0.00226842,-0.13993,-0.843879,0.139175,0.00269349,-0.0749735,0.309958,-0.869453;-2.13321,-9.33269,0.348186,0.310834
35;0.351432,0.3618,-0.459566,0.399256,-0.00226842,-0.13993,-0.846637,0.140341,0.00788554,-0.0778274,0.279616,-0.880908;-2.10833,-9.35564,0.350088,0.298932
36;0.554762,0.564497,-0.75825,0.372083,0.26575,0.0274009,-0.946053,-0.104604,-0.0847984,-0.336207,0.5172,-0.931187;-3.87411,-11.0546,0.602882,-0.414143
37;0.540032,0.160411,-0.257909,0.309487,0.373016,0.175898,-0.718978,0.359329,0.296784,-0.222151,0.0112079,-0.957063;-2.08124,-7.68084,-0.591435,0.786646
38;-0.17781,-0.343113,0.413205,0.631987,0.561107,0.0153992,-0.641656,-0.215864,-0.0710698,0.337133,-0.138457,-0.736577;0.768357,-3.59542,-2.10078,0.903441
39;-0.213014,0.21066,0.366654,0.441713,0.837547,0.347434,-0.631745,-0.313603,-0.049258,0.648329,0.572352,-0.005717;0.107683,-4.90422,-3.0743,0.688447
40;-0.137584,0.618772,-0.382129,0.734333,0.724726,0.283079,-0.31895,-0.656239,0.201687,-0.261765,0.580631,0.262518;-2.96435,-6.46875,-1.85072,-0.192187
41;0.0639163,0.618772,-0.387533,0.734333,0.724726,0.283079,0.0560571,-0.649605,-0.160571,-0.2781,-0.139804,0.081931;-2.17248,-5.87996,-1.47032,-1.39305
42;0.129602,0.618772,0.142142,0.734333,0.724726,0.283079,-0.0983023,-0.649485,-0.318936,0.352181,-0.0142877,0.374064;0.25996,-5.50534,-2.65624,-0.880389
43;0.523058,0.625072,-0.0262229,0.0495768,0.748868,0.481449,0.0354128,0.262929,-0.0074444,0.512627,-0.0295226,-0.222883;-0.302642,-6.2865,-1.7637,-0.446668
44;0.312898,0.3618,-0.232326,0.399256,-0.00226842,-0.13993,-0.65208,0.133014,-0.306762,0.288823,0.103571,-0.456609;-0.79178,-7.5128,-0.528161,-0.0804619
45;0.273267,0.160411,0.05301,0.309487,0.373016,0.175898,-0.534584,0.352393,0.313771,0.124646,0.0545528,-0.859849;-0.506165,-6.96414,-0.92116,1.05736
46;-0.212156,-0.343113,0.385291,0.631987,0.561107,0.0153992,-0.625745,-0.220061,-0.159287,0.301831,-0.0082428,-0.53313;0.34274,-2.9729,-2.31189,0.834631
47;-0.283104,0.21066,0.277323,0.441713,0.837547,0.347434,-0.508705,-0.313198,-0.0592832,0.574548,0.443779,-0.00978171;-0.140982,-4.50652,-2.92097,0.438732
48;-0.136119,0.618772,-0.295002,0.734333,0.724726,0.283079,-0.310993,-0.655705,0.146986,-0.15022,0.553213,0.306128;-2.50203,-6.30522,-2.02796,-0.198019
49;0.0479487,0.618772,-0.369536,0.734333,0.724726,0.283079,0.0752878,-0.650424,-0.163804,-0.254996,-0.107437,0.142141;-2.12379,-5.68012,-1.56088,-1.36081
