Passo;A  o
0;3
1;0
2;3
3;3
4;3
5;3
6;3
7;3
8;0
9;4
10;0
11;3
12;4
13;2
14;3
15;2
16;3
17;0
18;3
19;3
20;3
21;3
22;0
23;3
24;0
25;4
26;0
27;3
28;4
29;2
30;3
31;2
32;3
33;0
34;4
35;0
36;3
37;0
38;4
39;0
40;3
41;4
42;2
43;3
44;2
45;3
46;0
47;4
48;0
49;3
50;0
51;4
52;0
53;3
54;4
55;2
56;3
57;2
58;3
59;0
60;4
61;0
62;3
63;0
64;4
65;0
66;3
67;4
68;2
69;3
70;2
71;3
72;0
73;4
74;0
75;3
76;0
77;4
78;0
79;3
80;4
81;2
82;3
83;2
84;3
85;0
86;4
87;0
88;3
89;0
90;4
91;0
92;3
93;4
94;2
95;3
96;2
97;3
98;0
99;4
100;0
101;3
102;0
103;4
104;0
105;3
106;4
107;2
108;3
109;2
110;3
111;0
112;4
113;0
114;3
115;0
116;4
117;0
118;3
119;4
120;2
121;3
122;2
123;3
124;0
125;4
126;0
127;3
128;0
129;4
130;0
131;3
132;4
133;2
134;3
135;2
136;3
137;0
138;4
139;0
140;3
141;0
142;4
143;0
144;3
145;4
146;2
147;3
148;2
149;3
150;0
151;4
152;0
153;3
154;0
155;4
156;0
157;3
158;4
159;2
160;3
161;2
162;3
163;0
164;4
165;0
166;3
167;0
168;4
169;0
170;3
171;4
172;2
173;3
174;2
175;3
176;0
177;4
178;0
179;3
180;0
181;4
182;0
183;3
184;4
185;2
186;3
187;2
188;3
189;0
190;4
191;0
192;3
193;0
194;4
195;0
196;3
197;4
198;2
199;3
200;2
201;3
202;0
203;4
204;0
205;3
206;0
207;4
208;0
209;3
210;4
211;2
212;3
213;2
214;3
215;0
216;4
217;0
218;3
219;0
220;4
221;0
222;3
223;4
224;2
225;3
226;2
227;3
228;0
229;4
230;0
231;3
232;0
233;4
234;0
235;3
236;4
237;2
238;3
239;2
240;3
241;0
242;4
243;0
244;3
245;0
246;4
247;0
248;3
249;4
250;2
251;3
252;2
253;3
254;0
255;4
256;0
257;3
258;0
259;4
260;0
261;3
262;4
263;2
264;3
265;2
266;3
267;0
268;4
269;0
270;3
271;0
272;4
273;0
274;3
275;4
276;2
277;3
278;2
279;3
280;0
281;4
282;0
283;3
284;0
285;4
286;0
287;3
288;4
289;2
290;3
291;2
292;3
293;0
294;4
295;0
296;3
297;0
298;4
299;0
300;0
