Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.387111,-0.388278,0.287158,-0.531105,-0.46949,-0.12224,0.00773644,-0.365498,-0.387136,0.213191,-0.373613,-0.517659,-0.43396,0.217178,0.336261,0.295459,-0.0943217,0.246898,-0.291208,0.201826,-0.0305369,0.533505,0.264332,0.031421,0.0298678,0.465004,-0.150709,-0.262409,-0.35352,0.348538,0.446212,0.42946,0.174342,-0.181977,0.059925,0.472403,-0.161585,0.262017,-0.223226,0.204894,0.516237,-0.148738,0.0798152,-0.432974,0.326875,0.51769,-0.00712799,0.208244,-0.442157,-0.327218;1.02215,1.53262,-0.466166,0.356645
1;0.348974,-0.292536,0.807541,-0.489316,-0.325906,-0.308413,0.454724,-0.435819,-0.328457,0.412363,-0.765399,-0.120104,-0.5084,0.199302,0.561571,0.394881,0.232717,0.108561,-0.28973,-0.0624738,-0.10304,0.103363,0.256241,0.189978,0.316953,0.51217,0.354163,-0.413224,-0.300188,0.745577,0.352674,0.387923,0.0561837,-0.408846,-0.033206,0.485272,-0.447802,-0.244473,0.30889,0.481965,0.50786,-0.44802,-0.142998,-0.574449,0.355737,0.768055,0.538767,0.285187,-0.205552,-0.263007;-1.509,1.18276,-3.17805,2.69526
2;0.339732,-0.467309,0.835182,-0.541182,-0.715215,-0.417554,0.486999,-0.40196,-0.258206,0.603708,-0.834707,-0.0899786,-0.58025,0.264028,0.551099,0.365558,0.413588,0.00565807,-0.265783,0.249596,-0.177899,-0.0769933,0.487816,0.174917,0.00624131,0.736915,0.359093,-0.275802,-0.431214,0.67452,0.295795,0.28466,0.155389,-0.40626,-0.196393,0.45606,0.0399881,-0.383139,0.5692,0.734579,0.346385,-0.523751,-0.113693,-0.395136,0.524564,0.752598,0.772021,0.360437,-0.142372,-0.169952;-3.19825,-1.08062,-3.89682,4.44072
3;0.342424,-0.494156,0.904781,-0.375065,-0.828976,-0.276198,0.529902,-0.416281,-0.298163,0.712959,-0.845326,-0.022229,-0.532194,0.324858,0.613787,0.263542,0.292295,-0.109343,-0.131902,0.232666,-0.190955,-0.181362,0.575994,0.146824,-0.162631,0.825701,0.285872,-0.328919,-0.266054,0.657283,0.343807,0.368588,0.216606,-0.610811,-0.306501,0.326536,0.271653,-0.487031,0.537173,0.723336,0.338897,-0.59212,-0.0691942,-0.375307,0.583868,0.784204,0.821883,0.368602,0.213229,-0.218691;-3.66473,-2.0315,-4.4249,4.36382
4;0.539559,-0.108898,0.922333,0.190859,-0.605937,-0.143452,0.0335897,-0.293274,0.0248008,0.237053,-0.95039,0.563272,-0.6011,0.662872,0.684259,0.189042,0.151114,-0.548088,-0.404322,-0.351995,-0.593252,-0.484827,0.835265,-0.43871,-0.690632,0.756054,0.226658,0.373212,-0.619963,0.856031,0.186804,0.613198,-0.0536917,-0.842045,-0.533918,0.120445,0.491911,-0.639166,0.840648,0.633851,0.240464,-0.727855,-0.521117,0.0929432,0.474141,0.578609,0.802807,0.705012,0.273991,-0.281767;-4.20576,-3.337,-4.25538,2.3945
5;0.507525,-0.15508,0.840289,0.279209,-0.599603,-0.143984,-0.2687,-0.0495428,0.159394,-0.0540656,-0.940441,0.175626,-0.421443,0.69905,0.121602,0.244962,0.0985882,-0.725395,-0.27046,-0.0729197,-0.606369,-0.702265,0.812652,-0.360526,-0.810485,0.868219,0.0513012,-0.0876021,-0.636371,0.606526,0.474631,0.64,-0.304503,-0.727988,-0.726398,-0.340425,0.662721,-0.555725,0.653547,0.415869,0.606811,-0.161355,-0.424418,0.476985,0.254673,0.738246,0.822511,0.681008,0.429183,-0.250078;-4.13015,-2.8296,-1.51059,3.18169
6;0.341854,-0.575292,0.762345,0.514782,-0.319508,-0.048684,-0.76769,-0.104534,-0.382697,-0.0531774,-0.976614,-0.171979,-0.190284,0.461098,0.186882,0.291455,0.00121277,-0.528703,-0.504827,-0.243477,-0.225948,-0.92023,0.695322,-0.200972,-0.927041,0.918121,-0.312078,0.234976,-0.838839,0.318458,0.63834,0.746792,-0.495514,-0.556843,-0.645438,-0.196528,0.651904,-0.784118,0.264781,0.655352,0.554227,-0.614054,-0.73348,0.575613,0.112327,0.88341,0.865346,0.736124,0.596342,0.236383;-4.45862,-1.83361,0.458208,2.83927
7;-0.23005,-0.118208,0.648054,0.773323,0.272736,0.246089,-0.934225,-0.617913,-0.338557,0.432353,-0.975128,-0.340589,-0.352211,0.0331642,0.620701,-0.218937,0.505206,-0.731198,-0.0431943,-0.71407,-0.336959,-0.963107,0.457597,-0.434365,-0.951792,0.871461,-0.0626385,0.136709,-0.940664,0.263155,0.209319,0.526494,-0.672461,-0.193243,-0.513892,-0.38066,0.63009,-0.936411,0.290904,0.864625,0.921658,-0.321445,-0.623166,0.81347,-0.0248439,0.951244,0.595562,0.841518,0.79458,-0.20094;-5.06144,-3.18088,-2.67586,1.22643
8;0.232898,-0.400538,0.423767,0.868306,0.729482,-0.253906,-0.880801,-0.777757,-0.620635,0.521571,-0.977753,-0.490305,-0.158615,-0.00793567,0.347471,0.579557,0.430125,-0.648786,-0.387541,0.0878702,-0.608338,-0.991547,-0.202888,-0.11109,-0.979801,0.755421,-0.184083,0.43311,-0.95496,0.227726,0.365409,0.474653,-0.237949,-0.306356,-0.334228,-0.0305895,0.604421,-0.917559,0.802437,0.941378,0.905968,0.320493,-0.609813,0.347121,-0.232429,0.778972,-0.0624857,0.569265,0.832292,-0.129348;-3.07694,-2.25385,-1.2194,-0.704521
9;0.187628,-0.320489,0.459252,0.878488,0.584477,-0.0115112,-0.834964,-0.738114,-0.717587,0.307559,-0.960105,-0.391461,-0.499438,-0.110396,0.259441,0.489751,0.471832,-0.469918,-0.695656,0.249192,-0.60866,-0.993701,-0.551277,-0.0295217,-0.920862,0.853377,0.0484744,0.594141,-0.981487,0.587295,0.396365,0.523038,0.130954,-0.814845,-0.683528,-0.0390797,0.1216,-0.923892,0.841053,0.816721,0.940381,0.174866,-0.679664,0.02874,-0.418512,0.708265,-0.21343,0.662453,0.857197,0.297371;-2.45539,-0.94911,-0.73641,-1.25388
10;0.277641,-0.677863,0.722055,-0.0508819,-0.801585,-0.31377,-0.499555,-0.154536,-0.315006,0.339234,-0.838288,-0.457304,-0.199222,0.390283,-0.276225,0.143567,0.493356,-0.466542,-0.475723,0.749202,-0.214404,-0.926669,-0.00268294,0.159701,-0.651382,0.820224,0.178605,-0.186698,-0.838517,0.78265,0.0743911,0.734635,0.265603,-0.609048,-0.640026,-0.17438,0.773459,-0.668999,0.639746,-0.0844138,0.847903,-0.255123,-0.301464,-0.388006,0.0131967,0.47059,0.869354,-0.0766563,0.579893,0.523177;-1.98264,-2.26762,-1.28932,4.79884
11;0.311008,-0.597649,0.621298,-0.167206,-0.959707,-0.430227,-0.112859,0.184932,-0.465382,0.615009,-0.783354,-0.401769,0.0481397,0.445194,0.398282,0.013634,0.457192,0.0144094,-0.34086,0.239756,-0.191628,-0.60591,0.5774,0.044577,-0.691853,0.823945,0.0521276,0.00328627,-0.779457,0.547063,0.505242,0.616808,0.2655,-0.802571,-0.386012,0.285059,0.821028,-0.54192,0.481067,0.588769,0.661436,-0.768416,-0.147352,-0.119738,0.148435,0.726689,0.880104,-0.130106,0.340842,0.104423;-2.31433,-2.58465,-3.25095,3.31323
12;0.514622,-0.185741,0.923729,0.39088,-0.710708,-0.219112,-0.346162,-0.135674,-0.163229,0.176433,-0.961131,0.50888,-0.287194,0.678487,0.714498,0.191125,0.271462,-0.30508,-0.393919,-0.62217,-0.585364,-0.682291,0.83836,-0.451728,-0.70387,0.693932,0.314356,0.2217,-0.770122,0.895071,0.26341,0.726797,-0.236628,-0.856825,-0.6793,0.267894,0.647557,-0.644774,0.86449,0.523172,0.413502,-0.548879,-0.593491,0.415204,-0.121049,0.614289,0.756102,0.673175,0.458593,-0.279869;-4.27247,-1.73435,-4.58357,0.341803
13;0.507952,-0.166877,0.878422,0.266425,-0.537491,-0.19609,-0.444288,0.0425186,0.116055,-0.0719947,-0.954754,0.0236514,-0.20312,0.719236,0.0275095,0.537257,0.142993,-0.743956,-0.262131,-0.318017,-0.607692,-0.756003,0.806245,-0.363512,-0.811469,0.853553,0.215417,-0.201251,-0.773214,0.73407,0.479122,0.74155,-0.255265,-0.600424,-0.737813,-0.0483227,0.736323,-0.493707,0.757447,0.39983,0.680785,-0.157982,-0.501498,0.5753,-0.0476669,0.751878,0.82435,0.582434,0.384428,0.0537752;-4.07476,-0.969505,-1.66151,2.43066
14;0.348034,-0.538036,0.794133,0.510742,-0.450729,-0.0769205,-0.754541,-0.140217,-0.442605,0.0449236,-0.978312,-0.249707,-0.0684421,0.463924,0.214814,0.29327,0.0551076,-0.484333,-0.507185,-0.38451,-0.228595,-0.926174,0.684454,-0.270917,-0.906955,0.921878,-0.0934568,0.11115,-0.926814,0.308264,0.655544,0.854295,-0.478422,-0.513445,-0.579973,-0.0540999,0.69934,-0.783513,0.395055,0.694752,0.549844,-0.570453,-0.747114,0.638541,-0.0121915,0.890551,0.871506,0.684453,0.627656,0.340405;-4.89256,-1.1812,-0.371447,2.46871
15;-0.22839,-0.103796,0.742574,0.782401,0.224253,0.26362,-0.925238,-0.626906,-0.363972,0.459252,-0.978367,-0.293395,-0.357186,0.0137886,0.597355,-0.197508,0.521592,-0.7018,-0.0504609,-0.766186,-0.337252,-0.965739,0.45645,-0.453533,-0.943605,0.886163,0.0335274,0.113211,-0.95223,0.326991,0.235631,0.633076,-0.703193,-0.14784,-0.503902,-0.277489,0.667474,-0.938535,0.463198,0.877385,0.915613,-0.290606,-0.644484,0.825602,-0.0559364,0.95448,0.555059,0.853103,0.819424,-0.135057;-5.62617,-2.96165,-2.77109,0.827887
