Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;0
7;3
8;3
9;3
10;3
11;2
12;3
13;3
14;3
15;4
16;0
17;2
18;0
19;3
20;3
21;3
22;4
23;2
24;2
25;3
26;3
27;3
28;4
29;0
30;2
31;0
32;3
33;3
34;3
35;4
36;2
37;2
38;3
39;3
40;3
41;4
42;0
43;2
44;0
45;3
46;3
47;3
48;4
49;2
50;2
51;3
52;3
53;3
54;4
55;0
56;2
57;0
58;3
59;3
60;3
61;4
62;2
63;2
64;3
65;3
66;3
67;4
68;0
69;2
70;0
71;3
72;3
73;3
74;4
75;2
76;2
77;3
78;3
79;3
80;4
81;0
82;2
83;0
84;3
85;3
86;3
87;4
88;2
89;2
90;3
91;3
92;3
93;4
94;0
95;2
96;0
97;3
98;3
99;3
100;4
101;2
102;2
103;3
104;3
105;3
106;4
107;0
108;2
109;0
110;3
111;3
112;3
113;4
114;2
115;2
116;3
117;3
118;3
119;4
120;0
121;2
122;0
123;3
124;3
125;3
126;4
127;2
128;2
129;3
130;3
131;3
132;4
133;0
134;2
135;0
136;3
137;3
138;3
139;4
140;2
141;2
142;3
143;3
144;3
145;4
146;0
147;2
148;0
149;3
150;3
151;3
152;4
153;2
154;2
155;3
156;3
157;3
158;4
159;0
160;2
161;0
162;3
163;3
164;3
165;4
166;2
167;2
168;3
169;3
170;3
171;4
172;0
173;2
174;0
175;3
176;3
177;3
178;4
179;2
180;2
181;3
182;3
183;3
184;4
185;0
186;2
187;0
188;3
189;3
190;3
191;4
192;2
193;2
194;3
195;3
196;3
197;4
198;0
199;2
200;0
201;3
202;3
203;3
204;4
205;2
206;2
207;3
208;3
209;3
210;4
211;0
212;2
213;0
214;3
215;3
216;3
217;4
218;2
219;2
220;3
221;3
222;3
223;4
224;0
225;2
226;0
227;3
228;3
229;3
230;4
231;2
232;2
233;3
234;3
235;3
236;4
237;0
238;2
239;0
240;3
241;3
242;3
243;4
244;2
245;2
246;3
247;3
248;3
249;4
250;0
251;2
252;0
253;3
254;3
255;3
256;4
257;2
258;2
259;3
260;3
261;3
262;4
263;0
264;2
265;0
266;3
267;3
268;3
269;4
270;2
271;2
272;3
273;3
274;3
275;4
276;0
277;2
278;0
279;3
280;3
281;3
282;4
283;2
284;2
285;3
286;3
287;3
288;4
289;0
290;2
291;0
292;3
293;3
294;3
295;4
296;2
297;2
298;3
299;3
300;0
