Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.314063,0.076014,-0.15682,0.352835,0.502887,0.364372,-0.382875,-0.325958,0.507616,-0.0499623;-2.60824,-2.69494,-0.453036,1.54382
1;0.35956,0.135423,-0.15682,0.394845,0.502887,0.364372,-0.435013,-0.32794,0.427617,-0.0499623;-3.03654,-2.75082,-0.342047,1.52838
2;0.372468,0.141944,-0.15682,0.400445,0.502887,0.364372,-0.435358,-0.32794,0.411124,-0.0499623;-3.20978,-2.82151,-0.321121,1.52352
3;0.374179,0.145512,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.409296,-0.0499623;-3.22609,-2.83653,-0.316839,1.52266
4;0.37419,0.145774,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408295,-0.0499623;-3.22934,-2.83313,-0.315934,1.52247
5;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408222,-0.0499623;-3.2296,-2.83285,-0.315879,1.52246
6;0.568576,0.518482,-0.0335583,-0.0565355,0.0368163,0.713404,-0.672369,-0.47221,0.666228,0.0807912;-3.18331,-8.68951,0.509557,1.96744
7;0.390598,0.374856,-0.0335583,-0.0263511,0.0368163,0.713404,-0.699114,-0.467685,0.628439,0.0807912;-1.85108,-6.46649,0.366776,1.93429
8;0.661113,0.837754,0.0379364,0.107063,-0.541841,0.792076,-0.430335,-0.00972147,0.413339,0.164182;-3.45887,-10.357,1.35308,0.741829
9;0.0980888,0.567433,0.0663659,0.554641,0.469126,0.527088,0.127487,0.221364,0.110548,-0.552082;-3.36383,2.10526,0.552173,0.878897
10;0.121286,0.784403,-0.123071,0.471095,0.516669,0.918013,0.467168,-0.362518,0.570884,-0.690953;-7.71976,-4.27942,0.805858,1.51399
11;0.482811,0.775615,-0.103995,0.67906,0.479013,0.782623,-0.0007986,0.0862835,0.316808,-0.341423;-6.73496,-4.0078,0.768238,0.791961
12;0.55659,0.774915,-0.103995,0.709945,0.479013,0.782623,0.0435729,0.101671,0.327847,-0.341423;-7.56934,-4.85068,0.784586,0.740566
13;0.395505,0.379386,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.242503,-0.0499623;-4.18091,-3.18732,-0.0382837,1.41012
14;0.358052,0.16215,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340601,-0.0499623;-3.26485,-2.43032,-0.260784,1.51815
15;0.277315,0.596032,0.0663659,0.555261,0.469126,0.527088,0.0914267,0.212299,0.238398,-0.552082;-4.33231,-0.117583,0.556646,0.981408
16;0.301484,0.700081,0.0663659,0.506857,0.469126,0.527088,0.275389,0.190904,0.203501,-0.552082;-5.44201,-1.0835,0.655296,0.884529
17;0.497596,0.86954,0.188727,0.0541493,-0.00738011,0.799876,-0.0703647,0.0208789,0.494337,-0.454534;-4.85258,-6.39485,1.29539,1.537
18;-0.110542,0.717984,-0.123071,0.4905,0.516669,0.918013,0.420908,-0.358749,0.542066,-0.690953;-5.63766,-1.61669,0.682703,1.46159
19;0.488074,0.758939,-0.103995,0.682228,0.479013,0.782623,1.18634e-05,0.0862835,0.336794,-0.341423;-6.74741,-4.11478,0.74502,0.79794
