Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.219626,0.0114819,0.534915,-0.412664,-0.0155517,0.488599,-0.056725,0.317906,0.462106,0.331617;-0.876083,-1.54554,-0.407248,3.47164
1;-0.219626,0.0114819,0.5328,-0.412664,-0.0155517,0.488599,-0.056725,0.423403,0.467079,0.331617;-0.882071,-1.60815,-0.53687,3.48358
2;-0.219626,0.0114819,0.5328,-0.412664,-0.0155517,0.488599,-0.056725,0.422992,0.467079,0.331617;-0.88203,-1.6079,-0.5364,3.48355
3;-0.219626,0.0114819,0.5328,-0.412664,-0.0155517,0.488599,-0.056725,0.422992,0.467079,0.331617;-0.88203,-1.6079,-0.5364,3.48355
4;-0.219626,0.0114819,0.5328,-0.412664,-0.0155517,0.488599,-0.056725,0.422992,0.467079,0.331617;-0.88203,-1.6079,-0.5364,3.48355
5;-0.219626,0.0114819,0.5328,-0.412664,-0.0155517,0.488599,-0.056725,0.422992,0.467079,0.331617;-0.88203,-1.6079,-0.5364,3.48355
6;0.00728508,0.480714,0.596227,-0.751612,0.0383266,-0.0160395,-0.131062,0.251553,0.0708877,0.599034;-0.83891,-2.48456,2.24152,3.29144
7;0.00728508,0.480714,0.537002,-0.751612,0.0383266,-0.0160395,-0.131062,0.101735,0.318669,0.599034;-0.718056,-2.38963,1.84896,3.53131
8;-0.75104,0.104326,0.653482,-0.836374,0.122848,-0.267104,-0.43559,-0.342786,0.0311711,0.269122;1.23383,-2.03075,1.85277,2.2608
9;-0.75104,0.104326,0.695031,-0.836374,0.122848,-0.267104,-0.43559,-0.190926,-0.174882,0.269122;1.14953,-2.12227,2.16575,2.05524
10;-0.647741,-0.16616,0.324408,-0.523791,-0.431499,0.247714,-0.28776,0.487034,0.794732,0.610482;0.297331,-1.90358,-1.24057,4.2634
11;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.494797,0.732804,0.610482;0.252184,-1.91309,-1.12527,4.20892
12;-0.493631,0.33168,0.425738,-0.807354,-0.386636,-0.288824,-0.355003,0.339355,0.461674,0.784392;0.44523,-2.75122,0.967936,3.94982
13;-0.493631,0.33168,0.346462,-0.807354,-0.386636,-0.288824,-0.355003,0.189446,0.649478,0.784392;0.624743,-2.64076,0.790721,4.09263
14;-0.75104,0.104326,0.657984,-0.836374,0.122848,-0.267104,-0.43559,-0.334933,-0.0510858,0.269122;1.23501,-2.02981,2.06565,2.16205
15;-0.75104,0.104326,0.695031,-0.836374,0.122848,-0.267104,-0.43559,-0.189899,-0.174882,0.269122;1.14943,-2.12289,2.16457,2.05531
16;-0.647741,-0.16616,0.324408,-0.523791,-0.431499,0.247714,-0.28776,0.487034,0.794732,0.610482;0.297331,-1.90358,-1.24057,4.2634
17;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.494797,0.732804,0.610482;0.252184,-1.91309,-1.12527,4.20892
18;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
19;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
20;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
21;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
22;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
23;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
24;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
25;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
26;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
27;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
28;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
29;-0.647741,-0.16616,0.346495,-0.523791,-0.431499,0.247714,-0.28776,0.498737,0.732804,0.610482;0.251796,-1.91545,-1.12977,4.20921
30;-0.493631,0.33168,0.425738,-0.807354,-0.386636,-0.288824,-0.355003,0.339355,0.461674,0.784392;0.44523,-2.75122,0.967936,3.94982
31;-0.493631,0.33168,0.346462,-0.807354,-0.386636,-0.288824,-0.355003,0.189446,0.649478,0.784392;0.624743,-2.64076,0.790721,4.09263
32;-0.75104,0.104326,0.657984,-0.836374,0.122848,-0.267104,-0.43559,-0.334933,-0.0510858,0.269122;1.23501,-2.02981,2.06565,2.16205
