Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;4
9;4
10;4
11;0
12;3
13;4
14;4
15;0
16;3
17;3
18;3
19;3
20;4
21;0
22;0
23;3
24;2
25;3
26;0
27;0
28;3
29;0
30;4
31;0
32;3
33;4
34;0
35;4
36;0
37;3
38;2
39;3
40;0
41;0
42;3
43;0
44;4
45;0
46;3
47;4
48;0
49;4
50;0
51;3
52;2
53;3
54;0
55;0
56;3
57;0
58;4
59;0
60;3
61;4
62;0
63;4
64;0
65;3
66;2
67;3
68;0
69;0
70;3
71;0
72;4
73;0
74;3
75;4
76;0
77;4
78;0
79;3
80;2
81;3
82;0
83;0
84;3
85;0
86;4
87;0
88;3
89;4
90;0
91;4
92;0
93;3
94;2
95;3
96;0
97;0
98;3
99;0
100;4
101;0
102;3
103;4
104;0
105;4
106;0
107;3
108;2
109;3
110;0
111;0
112;3
113;0
114;4
115;0
116;3
117;4
118;0
119;4
120;0
121;3
122;2
123;3
124;0
125;0
126;3
127;0
128;4
129;0
130;3
131;4
132;0
133;4
134;0
135;3
136;2
137;3
138;0
139;0
140;3
141;0
142;4
143;0
144;3
145;4
146;0
147;4
148;0
149;3
150;2
151;3
152;0
153;0
154;3
155;0
156;4
157;0
158;3
159;4
160;0
161;4
162;0
163;3
164;2
165;3
166;0
167;0
168;3
169;0
170;4
171;0
172;3
173;4
174;0
175;4
176;0
177;3
178;2
179;3
180;0
181;0
182;3
183;0
184;4
185;0
186;3
187;4
188;0
189;4
190;0
191;3
192;2
193;3
194;0
195;0
196;3
197;0
198;4
199;0
200;3
201;4
202;0
203;4
204;0
205;3
206;2
207;3
208;0
209;0
210;3
211;0
212;4
213;0
214;3
215;4
216;0
217;4
218;0
219;3
220;2
221;3
222;0
223;0
224;3
225;0
226;4
227;0
228;3
229;4
230;0
231;4
232;0
233;3
234;2
235;3
236;0
237;0
238;3
239;0
240;4
241;0
242;3
243;4
244;0
245;4
246;0
247;3
248;2
249;3
250;0
251;0
252;3
253;0
254;4
255;0
256;3
257;4
258;0
259;4
260;0
261;3
262;2
263;3
264;0
265;0
266;3
267;0
268;4
269;0
270;3
271;4
272;0
273;4
274;0
275;3
276;2
277;3
278;0
279;0
280;3
281;0
282;4
283;0
284;3
285;4
286;0
287;4
288;0
289;3
290;2
291;3
292;0
293;0
294;3
295;0
296;4
297;0
298;3
299;4
300;-0.446583
