Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.350679,-0.482752,0.143353,-0.148805,0.514268,0.383953,0.288457,0.223705,0.314897,0.389984,0.0937348,0.212494;-0.281056,-4.05095,-0.635776,-0.0651001
1;0.350679,-0.518578,-0.111175,-0.0585202,0.315414,0.383953,0.190227,0.495666,0.420236,0.214572,0.140612,0.397625;-0.104097,-4.04565,-1.09022,1.25484
2;0.350679,-0.530178,-0.0522733,0.0528612,0.275088,0.383953,0.25042,0.409906,0.534414,-0.0176714,-0.216356,0.328851;-0.246796,-3.36512,-0.452703,0.962556
3;0.350679,-0.54253,-0.0884364,0.0175022,0.233619,0.383953,0.322054,0.131275,0.500169,0.0565704,-0.3486,0.314437;-0.306527,-3.12359,0.0979931,0.100791
4;0.350679,-0.538849,-0.131164,-0.0965497,0.245673,0.383953,0.299665,0.133928,0.377867,0.28952,-0.0998105,0.299461;-0.258007,-3.72625,-0.326897,0.0281043
5;0.350679,-0.525536,-0.117854,-0.0952673,0.291022,0.383953,0.225272,0.377631,0.379106,0.287412,0.1031,0.30383;-0.21134,-4.09706,-0.972799,0.779682
6;0.0957683,-0.539516,-0.351944,0.328151,-0.147395,0.566352,0.0195236,0.603647,0.460232,0.388584,-0.0387853,0.548675;-0.212302,-4.23802,-0.627171,3.67781
7;0.0957683,-0.548193,-0.181912,0.408181,-0.089397,0.566352,0.306189,0.615183,0.551735,0.211085,-0.258885,0.415039;-0.438964,-4.23805,-0.549205,3.06924
8;0.418846,-0.851606,0.700641,-0.274381,0.191409,0.761116,-0.285092,0.499145,0.713424,-0.598028,-0.356757,0.0450092;-2.66329,-1.06117,-0.545172,0.177666
9;0.418846,-0.858214,0.817833,-0.318084,-0.0892783,0.761116,-0.647905,-0.0703358,0.680925,-0.52956,-0.627989,0.155722;-3.29091,0.800922,0.849386,-0.465693
10;0.0251499,-0.772698,0.558571,-0.0420036,0.189682,0.460994,-0.455337,-0.666905,-0.0463243,-0.126472,-0.169989,0.0974612;-1.70359,1.36557,1.59977,-0.330435
11;0.350679,-0.477337,0.391384,-0.400033,0.527983,0.383953,0.26124,0.0715173,-0.0377323,0.757191,0.297549,0.283431;-0.161335,-4.29895,-0.388324,-0.81933
12;0.350679,-0.478344,-0.094915,-0.119909,0.452508,0.383953,0.0164649,0.709073,0.349591,0.336213,0.535643,0.402218;-0.000991051,-4.51251,-1.91023,2.03014
13;0.350679,-0.52242,0.0525556,0.139738,0.30205,0.383953,0.209672,0.587663,0.612363,-0.199846,-0.251522,0.376693;-0.265977,-3.0795,-0.54784,1.59022
14;0.350679,-0.550831,-0.0639754,0.0901197,0.207525,0.383953,0.375522,-0.0122732,0.569294,-0.0970745,-0.571674,0.324091;-0.404395,-2.47268,0.64039,-0.250317
15;0.715896,-0.35497,0.262906,-0.601725,0.385917,0.502686,0.437883,0.422416,0.335045,0.475385,0.0994439,0.216034;-0.643857,-5.19429,-1.36122,-1.51627
16;0.0957683,-0.534755,-0.523564,0.344525,-0.247731,0.566352,-0.323447,0.681805,0.479265,0.355154,0.259583,0.574571;-0.438768,-3.783,-1.27597,4.786
17;0.280254,-0.649119,0.571303,0.0633804,0.225862,0.70853,-0.127262,0.719751,0.344113,-0.344063,0.0634198,0.235716;-1.46153,-1.8082,-0.843954,2.32419
18;0.418846,-0.842706,0.795876,-0.233898,0.232759,0.761116,-0.489129,0.266235,0.740304,-0.653091,-0.646327,0.169096;-2.50973,-0.00215851,0.731082,-0.00607908
19;0.0251499,-0.776307,0.489101,0.095782,0.174046,0.460994,-0.407325,-0.716733,0.13635,-0.395889,-0.483518,0.222391;-1.58046,2.05218,2.2354,-0.285513
20;0.350679,-0.498475,0.366558,-0.41733,0.466657,0.383953,0.348753,-0.237283,-0.0648351,0.775018,0.103175,0.277688;-0.241509,-3.83953,0.314281,-1.75495
21;0.715896,-0.26809,0.277888,-0.656808,0.593112,0.502686,0.113406,0.870552,0.222023,0.611903,0.788314,0.312045;-0.350117,-5.84077,-2.7905,0.282631
22;0.557378,-0.325423,0.048097,0.00348822,-0.0129388,0.658602,-0.258546,0.93614,0.661604,0.0774909,0.301267,0.576963;-1.12656,-3.6823,-1.95701,3.40493
23;0.280254,-0.664857,0.464149,0.166045,0.0228243,0.70853,-0.35138,0.619165,0.460119,-0.521978,-0.16225,0.321973;-1.63168,-0.7599,-0.279891,2.82062
24;0.418846,-0.847737,0.840417,-0.272726,0.187064,0.761116,-0.432485,0.0585634,0.714489,-0.600239,-0.696842,0.0895426;-2.81381,0.217816,0.907103,-0.724923
25;0.418846,-0.858257,0.845238,-0.47028,-0.0895281,0.761116,-0.647231,-0.199515,0.53029,-0.204865,-0.396974,0.154031;-3.37116,0.256555,0.632425,-0.963805
26;0.0251499,-0.763315,0.558291,-0.0945371,0.244105,0.460994,-0.535695,-0.449041,-0.116282,-0.0152282,0.202192,0.0973626;-1.69329,0.785039,0.689097,0.355348
27;0.193887,-0.865157,0.651103,0.228739,0.551872,0.549851,-0.729269,0.199999,-0.314535,0.567942,0.401497,0.734165;0.547949,-1.42269,2.1008,3.59593
28;0.340543,-0.942567,0.89649,0.180133,0.6792,0.624778,-0.721341,0.565503,0.537132,-0.297669,-0.10483,0.665203;-0.847652,-0.583758,1.32799,2.9514
29;0.340543,-0.955367,0.888561,0.31922,0.259957,0.624778,-0.737286,-0.172918,0.663734,-0.553657,-0.762426,0.692559;-1.68397,1.84981,3.119,1.63516
30;0.350679,-0.556243,0.470036,-0.218456,0.22088,0.383953,0.478201,-0.431696,0.227608,0.509163,-0.477031,0.30899;-0.846707,-2.90583,1.24911,-2.14662
31;0.557378,-0.326182,-0.0867343,-0.486341,0.0981806,0.658602,0.0427012,0.816992,0.0852211,0.835457,0.749321,0.469545;-0.311459,-6.03986,-2.42899,1.62442
32;0.791698,-0.0468054,-0.201092,0.393329,0.425742,0.853381,-0.294809,0.869044,0.786022,0.327942,0.230872,0.294877;-0.366901,-4.64669,-1.01882,4.08572
33;0.843822,-0.558375,0.496447,0.1178,0.224045,0.881643,0.102565,0.610148,0.930356,-0.0934047,-0.625189,0.174377;-1.67684,-3.53946,0.423329,0.870193
34;0.843822,-0.573277,0.284406,0.0117981,0.0625145,0.881643,-0.0899705,0.0786515,0.908669,0.129896,-0.712587,0.0954682;-2.06055,-2.93005,1.08563,-0.18006
35;0.710238,-0.935962,0.874015,-0.388211,0.16269,0.706925,-0.741117,0.389676,0.510316,-0.106822,0.0372338,0.483811;-2.26388,-0.999402,0.223063,0.847497
36;0.710238,-0.928022,0.944067,-0.274118,0.305768,0.706925,-0.843549,0.48418,0.624767,-0.359846,-0.313865,0.513806;-1.85416,-0.422847,1.08907,1.17574
37;0.710238,-0.930395,0.950414,-0.238041,0.265541,0.706925,-0.818869,0.209157,0.655184,-0.428933,-0.544494,0.554554;-1.93614,0.337775,1.88263,0.544529
38;-0.240213,-0.778837,0.3556,0.387644,-0.214704,0.626735,-0.568889,-0.442632,0.0716284,-0.043746,-0.301484,0.480712;-1.61992,1.20856,1.94556,2.49359
39;0.193887,-0.872161,0.695822,0.230934,0.55565,0.549851,-0.529294,-0.0105626,-0.311382,0.564169,0.240784,0.637988;0.373049,-1.31688,2.44762,2.62024
40;0.340543,-0.94262,0.870051,0.0953624,0.678415,0.624778,-0.720602,0.520229,0.450461,-0.123886,0.0421485,0.666042;-0.829509,-0.954006,1.13743,2.75446
41;0.340543,-0.954203,0.888467,0.302558,0.291007,0.624778,-0.76324,0.00641279,0.649692,-0.525866,-0.67324,0.692396;-1.54087,1.41732,2.78581,2.05667
42;0.350679,-0.554768,0.482155,-0.147294,0.225323,0.383953,0.469142,-0.386668,0.318045,0.385262,-0.553493,0.320145;-0.906489,-2.66701,1.28751,-1.91598
43;0.557378,-0.3384,-0.0813027,-0.472216,0.0588279,0.658602,0.0923467,0.773684,0.109544,0.823284,0.67888,0.470925;-0.387688,-5.99577,-2.31556,1.45873
44;0.791698,-0.050491,-0.229677,0.378158,0.415894,0.853381,-0.285742,0.860027,0.776827,0.361007,0.245117,0.280485;-0.362901,-4.76486,-1.06454,4.02439
45;0.843822,-0.557413,0.49231,0.114163,0.225891,0.881643,0.0920307,0.628153,0.929692,-0.0856556,-0.603818,0.170568;-1.67847,-3.58819,0.357717,0.927493
46;0.843822,-0.573209,0.290242,0.0191908,0.06199,0.881643,-0.0924989,0.0922975,0.910365,0.114529,-0.715551,0.0961974;-2.05754,-2.90339,1.08078,-0.129051
47;0.710238,-0.935994,0.874375,-0.383445,0.163514,0.706925,-0.738772,0.379303,0.515799,-0.118495,0.0139234,0.48365;-2.25839,-0.953999,0.280943,0.816362
48;0.710238,-0.928137,0.943913,-0.278061,0.303698,0.706925,-0.842582,0.470819,0.621306,-0.351997,-0.316073,0.514048;-1.85888,-0.416654,1.11015,1.13615
49;0.710238,-0.930325,0.950357,-0.243204,0.266652,0.706925,-0.819777,0.213735,0.651005,-0.41944,-0.532727,0.553982;-1.9351,0.303741,1.8554,0.549213
50;-0.240213,-0.778587,0.356079,0.389246,-0.213427,0.626735,-0.571332,-0.433482,0.0741119,-0.0477041,-0.296748,0.481053;-1.62095,1.20378,1.92395,2.52283
51;0.193887,-0.872251,0.696582,0.234484,0.554834,0.549851,-0.528485,-0.0115927,-0.306869,0.55874,0.231399,0.638289;0.371724,-1.30297,2.46452,2.61975
52;0.340543,-0.942697,0.869933,0.0949357,0.677347,0.624778,-0.719404,0.514744,0.450013,-0.123007,0.0378322,0.665861;-0.830256,-0.946991,1.15199,2.7376
53;0.340543,-0.954197,0.888315,0.300511,0.291169,0.624778,-0.763364,0.00539181,0.64796,-0.522419,-0.670647,0.692174;-1.54088,1.41025,2.78255,2.05093
54;0.350679,-0.554586,0.482213,-0.147701,0.225873,0.383953,0.468022,-0.383715,0.317544,0.386015,-0.550795,0.320203;-0.904918,-2.6733,1.27999,-1.90728
55;0.557378,-0.338333,-0.0806309,-0.471272,0.0590429,0.658602,0.0920636,0.774315,0.111136,0.822458,0.678113,0.471095;-0.389635,-5.99468,-2.31576,1.4621
56;0.791698,-0.0507321,-0.229515,0.378378,0.415251,0.853381,-0.285135,0.859796,0.776963,0.360532,0.243863,0.280564;-0.363189,-4.76382,-1.06232,4.02301
57;0.843822,-0.557427,0.492032,0.114069,0.225862,0.881643,0.0921834,0.627655,0.929675,-0.0854568,-0.604012,0.170319;-1.67859,-3.58837,0.358279,0.925693
58;0.843822,-0.573208,0.290158,0.0189864,0.0619764,0.881643,-0.0925642,0.0923653,0.910319,0.114955,-0.715292,0.096186;-2.05756,-2.90479,1.0801,-0.129158
59;0.710238,-0.935993,0.874384,-0.383421,0.163491,0.706925,-0.738837,0.37965,0.515826,-0.118553,0.0142473,0.483646;-2.25857,-0.954404,0.279769,0.81748
60;0.710238,-0.928138,0.943917,-0.277929,0.303688,0.706925,-0.842578,0.470883,0.621422,-0.35226,-0.316343,0.514042;-1.8588,-0.416121,1.11056,1.13643
61;0.710238,-0.930327,0.950357,-0.24318,0.266615,0.706925,-0.819747,0.213456,0.651025,-0.419486,-0.532926,0.55398;-1.93523,0.304413,1.85608,0.548523
62;-0.240213,-0.778588,0.356063,0.389149,-0.213434,0.626735,-0.571321,-0.433571,0.0739605,-0.0474628,-0.296602,0.481041;-1.62085,1.20334,1.92391,2.52251
63;0.193887,-0.872245,0.696578,0.234449,0.554884,0.549851,-0.528534,-0.0113633,-0.306913,0.558793,0.231654,0.638288;0.371813,-1.3035,2.46381,2.62037
64;0.340543,-0.942696,0.86994,0.0950291,0.677357,0.624778,-0.719415,0.514843,0.450113,-0.123203,0.0377166,0.665872;-0.830236,-0.946672,1.15206,2.73797
65;0.340543,-0.954199,0.888316,0.300548,0.291133,0.624778,-0.763337,0.00520698,0.647992,-0.522481,-0.670781,0.692176;-1.54102,1.41079,2.78297,2.05052
66;0.350679,-0.554589,0.4822,-0.147776,0.225863,0.383953,0.468043,-0.383797,0.317453,0.386152,-0.550742,0.32019;-0.904872,-2.67352,1.28003,-1.90763
67;0.557378,-0.338321,-0.0806431,-0.471298,0.0590817,0.658602,0.092012,0.774362,0.111091,0.822481,0.678211,0.471092;-0.389542,-5.99476,-2.31592,1.46227
68;0.791698,-0.0507254,-0.229486,0.378394,0.415268,0.853381,-0.285151,0.85981,0.776973,0.360496,0.243857,0.280579;-0.363188,-4.76369,-1.06228,4.0231
69;0.843822,-0.557428,0.49204,0.114074,0.22586,0.881643,0.092195,0.627638,0.929676,-0.0854689,-0.604037,0.170326;-1.67859,-3.5883,0.358356,0.92564
70;0.843822,-0.573208,0.290151,0.0189795,0.0619773,0.881643,-0.0925602,0.0923472,0.910317,0.11497,-0.715291,0.0961852;-2.05756,-2.90481,1.08012,-0.129222
71;0.710238,-0.935993,0.874384,-0.383427,0.16349,0.706925,-0.738839,0.379659,0.515819,-0.118538,0.0142731,0.483646;-2.25858,-0.954457,0.279709,0.817506
72;0.710238,-0.928137,0.943917,-0.277926,0.30369,0.706925,-0.842579,0.4709,0.621425,-0.352267,-0.316337,0.514041;-1.85879,-0.416135,1.11053,1.13647
73;0.710238,-0.930327,0.950357,-0.243174,0.266614,0.706925,-0.819746,0.213454,0.65103,-0.419498,-0.532939,0.55398;-1.93523,0.304448,1.85611,0.548525
74;-0.240213,-0.778588,0.356063,0.389148,-0.213435,0.626735,-0.571318,-0.433582,0.0739591,-0.0474606,-0.29661,0.481041;-1.62085,1.20335,1.92393,2.52248
75;0.193887,-0.872245,0.696578,0.234445,0.554885,0.549851,-0.528535,-0.0113647,-0.306918,0.558799,0.231663,0.638287;0.371813,-1.30351,2.46379,2.62037
76;0.340543,-0.942696,0.86994,0.0950285,0.677359,0.624778,-0.719417,0.514849,0.450112,-0.123202,0.0377236,0.665872;-0.830236,-0.946685,1.15204,2.73799
77;0.340543,-0.954199,0.888316,0.30055,0.291133,0.624778,-0.763337,0.00521052,0.647994,-0.522485,-0.670783,0.692176;-1.54102,1.41079,2.78297,2.05054
78;0.350679,-0.554589,0.4822,-0.147774,0.225862,0.383953,0.468044,-0.3838,0.317455,0.386149,-0.550746,0.32019;-0.904875,-2.67351,1.28004,-1.90764
79;0.557378,-0.338321,-0.0806438,-0.471299,0.0590809,0.658602,0.092013,0.774361,0.11109,0.822481,0.678211,0.471092;-0.389541,-5.99476,-2.31592,1.46226
80;0.791698,-0.0507251,-0.229486,0.378394,0.415269,0.853381,-0.285152,0.859811,0.776973,0.360497,0.243858,0.280578;-0.363188,-4.76369,-1.06229,4.0231
81;0.843822,-0.557428,0.49204,0.114074,0.22586,0.881643,0.0921947,0.627639,0.929676,-0.0854691,-0.604037,0.170326;-1.67859,-3.58831,0.358354,0.925643
82;0.843822,-0.573208,0.290151,0.0189798,0.0619773,0.881643,-0.0925602,0.0923473,0.910317,0.114969,-0.715292,0.0961852;-2.05756,-2.9048,1.08012,-0.129221
83;0.710238,-0.935993,0.874384,-0.383427,0.16349,0.706925,-0.738839,0.379659,0.515819,-0.118538,0.0142724,0.483646;-2.25858,-0.954456,0.279711,0.817505
84;0.710238,-0.928137,0.943917,-0.277926,0.30369,0.706925,-0.842579,0.470899,0.621425,-0.352267,-0.316337,0.514041;-1.85879,-0.416136,1.11053,1.13647
85;0.710238,-0.930327,0.950357,-0.243174,0.266614,0.706925,-0.819746,0.213454,0.65103,-0.419498,-0.532938,0.55398;-1.93523,0.304447,1.85611,0.548526
86;-0.240213,-0.778588,0.356063,0.389148,-0.213435,0.626735,-0.571318,-0.433581,0.0739593,-0.0474609,-0.29661,0.481041;-1.62085,1.20335,1.92393,2.52248
87;0.193887,-0.872245,0.696578,0.234445,0.554885,0.549851,-0.528535,-0.011365,-0.306918,0.558799,0.231663,0.638287;0.371813,-1.30351,2.46379,2.62036
88;0.340543,-0.942696,0.86994,0.0950284,0.677359,0.624778,-0.719417,0.514849,0.450112,-0.123201,0.0377237,0.665872;-0.830236,-0.946686,1.15204,2.73799
89;0.340543,-0.954199,0.888316,0.30055,0.291133,0.624778,-0.763337,0.00521072,0.647994,-0.522485,-0.670783,0.692176;-1.54102,1.41079,2.78297,2.05054
90;0.350679,-0.554589,0.4822,-0.147774,0.225862,0.383953,0.468044,-0.3838,0.317455,0.386149,-0.550746,0.32019;-0.904875,-2.67351,1.28004,-1.90764
91;0.557378,-0.338321,-0.0806438,-0.471299,0.0590809,0.658602,0.092013,0.774361,0.11109,0.822481,0.678211,0.471092;-0.389541,-5.99476,-2.31592,1.46226
92;0.791698,-0.0507251,-0.229486,0.378394,0.415269,0.853381,-0.285152,0.85981,0.776973,0.360497,0.243858,0.280578;-0.363188,-4.76369,-1.06229,4.0231
93;0.843822,-0.557428,0.49204,0.114074,0.22586,0.881643,0.0921947,0.627639,0.929676,-0.085469,-0.604037,0.170326;-1.67859,-3.58831,0.358354,0.925643
94;0.843822,-0.573208,0.290151,0.0189798,0.0619773,0.881643,-0.0925602,0.0923473,0.910317,0.114969,-0.715292,0.0961852;-2.05756,-2.9048,1.08012,-0.129221
95;0.710238,-0.935993,0.874384,-0.383427,0.16349,0.706925,-0.738839,0.379659,0.515819,-0.118538,0.0142723,0.483646;-2.25858,-0.954456,0.279711,0.817505
96;0.710238,-0.928137,0.943917,-0.277926,0.30369,0.706925,-0.842579,0.470899,0.621425,-0.352267,-0.316337,0.514041;-1.85879,-0.416136,1.11053,1.13647
97;0.710238,-0.930327,0.950357,-0.243174,0.266614,0.706925,-0.819746,0.213454,0.65103,-0.419498,-0.532938,0.55398;-1.93523,0.304447,1.85611,0.548526
98;-0.240213,-0.778588,0.356063,0.389148,-0.213435,0.626735,-0.571318,-0.433581,0.0739593,-0.0474609,-0.29661,0.481041;-1.62085,1.20335,1.92393,2.52248
99;0.193887,-0.872245,0.696578,0.234445,0.554885,0.549851,-0.528535,-0.011365,-0.306918,0.558799,0.231663,0.638287;0.371813,-1.30351,2.46379,2.62036
100;0.340543,-0.942696,0.86994,0.0950284,0.677359,0.624778,-0.719417,0.514849,0.450112,-0.123201,0.0377237,0.665872;-0.830236,-0.946686,1.15204,2.73799
101;0.340543,-0.954199,0.888316,0.30055,0.291133,0.624778,-0.763337,0.00521071,0.647994,-0.522485,-0.670783,0.692176;-1.54102,1.41079,2.78297,2.05054
102;0.350679,-0.554589,0.4822,-0.147774,0.225862,0.383953,0.468044,-0.3838,0.317455,0.386149,-0.550746,0.32019;-0.904875,-2.67351,1.28004,-1.90764
103;0.557378,-0.338321,-0.0806438,-0.471299,0.0590809,0.658602,0.092013,0.774361,0.11109,0.822481,0.678211,0.471092;-0.389541,-5.99476,-2.31592,1.46226
104;0.791698,-0.0507251,-0.229486,0.378394,0.415269,0.853381,-0.285152,0.85981,0.776973,0.360497,0.243858,0.280578;-0.363188,-4.76369,-1.06229,4.0231
