Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;4
9;1
10;1
11;1
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;2
20;0
21;0
22;3
23;3
24;3
25;3
26;3
27;3
28;3
29;3
30;4
31;0
32;0
33;3
34;3
35;3
36;3
37;3
38;3
39;4
40;0
41;0
42;3
43;3
44;3
45;3
46;3
47;3
48;3
49;3
50;3
51;3
52;3
53;3
54;3
55;3
56;4
57;1
58;1
59;3
60;3
61;3
62;3
63;3
64;2
65;0
66;0
67;3
68;3
69;3
70;3
71;3
72;4
73;0
74;0
75;2
76;3
77;3
78;3
79;3
80;3
81;2
82;0
83;0
84;3
85;3
86;3
87;3
88;3
89;4
90;0
91;0
92;2
93;3
94;3
95;3
96;3
97;3
98;2
99;0
100;0
101;3
102;3
103;3
104;3
105;3
106;4
107;0
108;0
109;2
110;3
111;3
112;3
113;3
114;3
115;2
116;0
117;0
118;3
119;3
120;3
121;3
122;3
123;4
124;0
125;0
126;2
127;3
128;3
129;3
130;3
131;3
132;2
133;0
134;0
135;3
136;3
137;3
138;3
139;3
140;4
141;0
142;0
143;2
144;3
145;3
146;3
147;3
148;3
149;2
150;0
151;0
152;3
153;3
154;3
155;3
156;3
157;4
158;0
159;0
160;2
161;3
162;3
163;3
164;3
165;3
166;2
167;0
168;0
169;3
170;3
171;3
172;3
173;3
174;4
175;0
176;0
177;2
178;3
179;3
180;3
181;3
182;3
183;2
184;0
185;0
186;3
187;3
188;3
189;3
190;3
191;4
192;0
193;0
194;2
195;3
196;3
197;3
198;3
199;3
200;2
201;0
202;0
203;3
204;3
205;3
206;3
207;3
208;4
209;0
210;0
211;2
212;3
213;3
214;3
215;3
216;3
217;2
218;0
219;0
220;3
221;3
222;3
223;3
224;3
225;4
226;0
227;0
228;2
229;3
230;3
231;3
232;3
233;3
234;2
235;0
236;0
237;3
238;3
239;3
240;3
241;3
242;4
243;0
244;0
245;2
246;3
247;3
248;3
249;3
250;3
251;2
252;0
253;0
254;3
255;3
256;3
257;3
258;3
259;4
260;0
261;0
262;2
263;3
264;3
265;3
266;3
267;3
268;2
269;0
270;0
271;3
272;3
273;3
274;3
275;3
276;4
277;0
278;0
279;2
280;3
281;3
282;3
283;3
284;3
285;2
286;0
287;0
288;3
289;3
290;3
291;3
292;3
293;4
294;0
295;0
296;2
297;3
298;3
299;3
300;-1.83255e-06
