Passo;A  o
0;3
1;3
2;3
3;1
4;3
5;3
6;3
7;1
8;3
9;3
10;4
11;1
12;3
13;4
14;1
15;2
16;2
17;0
18;3
19;3
20;3
21;1
22;3
23;3
24;4
25;4
26;1
27;3
28;4
29;1
30;1
31;3
32;3
33;4
34;2
35;0
36;0
37;3
38;3
39;4
40;1
41;4
42;1
43;1
44;1
45;3
46;3
47;4
48;2
49;0
50;0
51;3
52;3
53;4
54;1
55;4
56;1
57;1
58;1
59;3
60;3
61;4
62;2
63;0
64;0
65;3
66;3
67;4
68;1
69;4
70;1
71;1
72;1
73;3
74;3
75;4
76;2
77;0
78;0
79;3
80;3
81;4
82;1
83;4
84;1
85;1
86;1
87;3
88;3
89;4
90;2
91;0
92;0
93;3
94;3
95;4
96;1
97;4
98;1
99;1
100;1
101;3
102;3
103;4
104;2
105;0
106;0
107;3
108;3
109;4
110;1
111;4
112;1
113;1
114;1
115;3
116;3
117;4
118;2
119;0
120;0
121;3
122;3
123;4
124;1
125;4
126;1
127;1
128;1
129;3
130;3
131;4
132;2
133;0
134;0
135;3
136;3
137;4
138;1
139;4
140;1
141;1
142;1
143;3
144;3
145;4
146;2
147;0
148;0
149;3
150;3
151;4
152;1
153;4
154;1
155;1
156;1
157;3
158;3
159;4
160;2
161;0
162;0
163;3
164;3
165;4
166;1
167;4
168;1
169;1
170;1
171;3
172;3
173;4
174;2
175;0
176;0
177;3
178;3
179;4
180;1
181;4
182;1
183;1
184;1
185;3
186;3
187;4
188;2
189;0
190;0
191;3
192;3
193;4
194;1
195;4
196;1
197;1
198;1
199;3
200;3
201;4
202;2
203;0
204;0
205;3
206;3
207;4
208;1
209;4
210;1
211;1
212;1
213;3
214;3
215;4
216;2
217;0
218;0
219;3
220;3
221;4
222;1
223;4
224;1
225;1
226;1
227;3
228;3
229;4
230;2
231;0
232;0
233;3
234;3
235;4
236;1
237;4
238;1
239;1
240;1
241;3
242;3
243;4
244;2
245;0
246;0
247;3
248;3
249;4
250;1
251;4
252;1
253;1
254;1
255;3
256;3
257;4
258;2
259;0
260;0
261;3
262;3
263;4
264;1
265;4
266;1
267;1
268;1
269;3
270;3
271;4
272;2
273;0
274;0
275;3
276;3
277;4
278;1
279;4
280;1
281;1
282;1
283;3
284;3
285;4
286;2
287;0
288;0
289;3
290;3
291;4
292;1
293;4
294;1
295;1
296;1
297;3
298;3
299;4
300;-1.83255e-06
