Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.372725,-0.0802927,0.0702716,-0.0884931,-0.415001,0.324177,-0.421939,0.314551,-0.108282,-0.397648,0.392521,0.216064,-0.213697,-0.515408,0.428899,-0.484518,0.223693,-0.416237,-0.0880725,-0.251605,-0.254096,-0.0225936,0.36678,-0.228645,0.411647,-0.499805,0.391813,-0.249855,0.236478,-0.424174,-0.230176,0.245087,-0.534735,-0.069062,-0.133303,0.372121,0.500455,-0.0252179,-0.205356,-0.531286,0.0577244,0.248402,0.0351555,-0.338354,-0.367558,-0.231058,0.476371,0.115143,0.0116725,0.188183;-5.71084,1.49743,-2.73432,0.338285
1;-0.320546,-0.0105453,0.131036,0.216989,-0.0126232,0.492279,0.149976,0.683449,0.231685,-0.550204,0.667374,0.0780289,0.0140981,-0.634394,0.196871,-0.49625,-0.277807,-0.384595,0.422272,-0.154989,0.167416,-0.0884073,0.319331,0.0470718,0.455739,-0.514222,0.241852,-0.0106634,0.320057,-0.531423,-0.701069,0.229952,-0.802679,-0.039805,-0.0329908,0.40497,0.618914,-0.13223,0.167881,-0.0268073,0.159513,-0.0872179,0.303115,0.117579,-0.136158,-0.254114,0.486389,-0.120905,-0.244773,-0.042285;-6.29214,-0.432774,-2.28835,0.895334
2;-0.432103,-0.173226,0.406799,0.366595,-0.122648,0.389234,-0.575965,0.570047,-0.250756,-0.321368,0.383376,-0.0390668,-0.260211,-0.672844,0.156471,-0.528747,-0.320458,-0.489612,0.556791,-0.328631,-0.118982,-0.29737,0.0586409,-0.0322738,0.539224,-0.650533,0.197035,0.0704522,0.362977,-0.463695,-0.780572,0.0419101,-0.706259,0.274218,-0.0390064,0.228888,0.849685,-0.213375,-0.476259,-0.345931,-0.108849,-0.143277,0.14419,0.206571,-0.345702,0.149572,0.564084,0.197329,-0.503821,-0.203358;-10.2572,-1.02967,-0.967406,2.04864
3;-0.437283,-0.145957,0.391629,0.206176,0.301286,0.388163,-0.491878,0.795826,0.170614,-0.0668321,0.666267,0.233993,-0.537125,-0.449363,-0.0444628,-0.563637,-0.361767,-0.536529,0.550014,-0.0213063,-0.0739679,-0.358209,0.0899513,-0.144101,0.552397,-0.486392,0.189034,0.102096,0.411979,-0.764606,-0.830748,0.557968,-0.704878,0.149106,0.169471,0.215955,0.780127,-0.335751,-0.550624,-0.293811,-0.0327834,-0.241338,0.0768398,-0.156957,-0.228394,0.0470918,0.584351,-0.205119,-0.348561,-0.167037;-6.93075,-0.860186,0.395803,1.32963
4;-0.545068,-0.609586,0.302374,0.42816,0.198599,-0.052071,-0.713562,0.458462,0.369028,0.247755,0.263203,0.116727,-0.563618,-0.819143,0.407704,-0.638585,-0.307759,-0.582398,0.608062,0.437997,0.167984,-0.435932,0.599196,0.391778,0.397433,-0.540484,0.158831,0.415473,0.638646,-0.401107,-0.874117,0.0350903,-0.703134,0.138929,0.155287,0.437335,0.947017,0.0507502,-0.654557,0.0653931,0.401131,-0.0665666,0.598818,0.060503,-0.339015,-0.27021,0.819081,-0.496082,-0.29774,-0.65633;-2.51932,4.53609,1.48735,2.90086
5;0.11928,-0.34751,0.851253,0.0579521,0.241487,-0.506379,-0.867634,0.935962,-0.199222,0.0497839,-0.10242,0.801648,-0.468032,0.160662,-0.369342,-0.147136,0.260194,-0.7919,0.711534,-0.364289,-0.60467,-0.143478,0.226824,-0.159211,0.391095,-0.0523983,-0.43339,-0.284964,-0.0263493,-0.0930237,-0.760653,-0.406512,-0.219778,0.619149,-0.284212,0.0499436,0.96583,0.149059,-0.646556,-0.130459,-0.528735,-0.643085,0.534972,-0.262853,-0.545936,0.612013,0.85589,0.151682,-0.170607,-0.0677478;-2.88128,-0.143639,-2.11865,7.52157
6;0.18669,0.342524,0.90333,0.0328042,0.606567,-0.500259,-0.665707,0.952379,0.180192,0.33007,0.272038,0.783946,-0.575297,0.0656475,-0.491952,-0.169758,-0.22731,-0.725343,0.021413,-0.321518,-0.449274,-0.0205074,0.438451,-0.296615,0.368177,-0.100315,-0.179129,-0.0237321,0.033056,-0.409266,-0.540615,0.562155,-0.74396,0.678675,-0.0803176,0.404576,0.909069,0.470099,-0.420789,-0.285939,-0.563534,-0.765017,0.629267,-0.834086,-0.528193,-0.364904,0.814532,0.0661672,0.142279,0.219309;-3.0187,2.74343,-2.79392,6.03087
7;-0.0775387,0.00225885,0.959823,0.113935,0.883628,-0.489358,-0.725261,0.75415,0.735506,0.0255648,0.466403,0.785489,0.52963,-0.952872,-0.0267072,-0.674141,0.601547,-0.950673,0.0539545,-0.173084,0.243493,0.64845,0.580585,0.720548,-0.718414,-0.828653,0.579863,-0.0248628,0.0810415,0.670092,-0.077428,-0.163314,-0.634737,0.925667,-0.207757,0.595506,0.899287,0.916968,-0.697933,-0.619271,0.192853,-0.900267,0.863957,-0.20333,-0.778941,-0.4529,0.846748,-0.309091,-0.59445,0.124768;-4.85037,7.62903,-2.62543,6.01825
8;0.543881,0.573553,0.794163,-0.529597,0.450615,-0.793191,0.732427,0.910706,0.635234,-0.224341,0.299232,0.855609,0.111611,-0.904797,0.0729448,-0.367039,0.353526,-0.915418,-0.311285,-0.815923,0.760213,0.56566,0.362841,0.438031,-0.57273,-0.821129,0.0871939,-0.106799,0.330903,-0.604277,-0.917087,0.198297,-0.747529,0.812376,0.270467,0.545635,0.984974,0.888235,-0.339524,-0.587243,-0.679562,-0.843979,0.81715,-0.944598,-0.388933,-0.438127,0.820745,-0.0709158,-0.564179,0.850027;-8.29407,3.60479,-7.65087,5.66715
9;0.326013,0.634486,0.960844,-0.354022,0.631966,-0.0748583,0.176351,0.678009,0.622058,-0.1769,0.592924,0.907164,0.859848,-0.982588,-0.301239,-0.577193,0.313037,-0.954247,-0.170398,-0.905776,0.609068,0.835853,-0.0090232,0.372653,-0.771745,-0.971264,0.564535,-0.304368,-0.228468,-0.516645,-0.742358,0.520187,-0.721344,0.973254,0.0521362,0.586263,0.900927,0.948531,0.106532,-0.481235,-0.394703,-0.931703,0.932046,-0.469809,-0.47908,0.0847254,0.832168,0.837579,-0.555569,0.6886;-10.4668,3.13849,-6.68813,4.94026
