Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.385881,0.374762,-0.0182629,-0.36215,0.0205092,-0.037341,0.288184,-0.152394,-0.301771,0.369861,-0.274914,0.432324,0.202674,-0.0266056,0.0363989,-0.469534,0.267855,0.376765,0.343428,0.218539;-2.49179,-0.753822,1.11302,0.343243
1;0.0436973,0.323243,-0.201342,-0.170648,0.350188,0.181051,0.288184,0.209785,-0.224651,0.56611,-0.0973678,0.601209,0.0288218,-0.0266056,0.159394,-0.562865,-0.0438828,0.588503,-0.049193,0.381831;-2.65539,-1.34268,0.522408,0.963684
2;0.0145695,0.497514,-0.0992853,-0.300322,0.460197,0.299304,0.288184,0.386289,-0.247144,0.627062,-0.0879333,0.828918,0.0288218,-0.0266056,0.182775,-0.458649,-0.166745,0.588503,-0.249733,0.167814;-3.31401,-1.24789,0.789976,1.22038
3;0.0660226,0.446441,-0.153362,-0.142828,0.667289,0.453621,0.544021,0.709635,0.295357,0.816405,0.42057,0.759101,0.0788725,0.223047,0.0930949,-0.744577,-0.340889,0.758299,-0.323122,0.537467;-3.85618,-2.38678,-0.498364,1.36357
4;0.166404,0.599106,-0.169092,-0.48335,0.741977,0.497748,0.544021,0.790996,0.326328,0.801836,0.467251,0.893954,0.011058,0.223047,0.145183,-0.724896,-0.294666,0.845445,-0.522306,0.203996;-4.42229,-2.03098,-0.505981,1.97292
5;0.836974,0.689717,-0.36909,-0.533874,0.977974,0.430238,0.852686,0.863499,-0.028679,0.908663,-0.338967,0.925789,0.195747,0.382273,0.420068,-0.845403,-0.892848,0.962791,-0.711656,0.405943;-3.93294,-2.81742,1.09786,1.77113
6;0.743721,0.719818,-0.15572,0.00402058,0.986143,0.53507,0.852686,0.888089,-0.308774,0.911914,-0.381098,0.947602,0.0699996,0.382273,0.410858,-0.811013,-0.897506,0.979362,-0.776461,0.549254;-3.31156,-3.28694,1.30713,0.893734
7;-0.376052,0.838972,0.546883,-0.280818,0.852074,0.02634,0.371817,0.839318,0.0904319,0.569284,-0.0925108,0.983919,-0.124838,-0.293975,0.563525,0.277058,-0.584351,0.850051,-0.12394,-0.650837;-5.84429,-0.386318,0.751514,1.16595
8;-0.535709,0.78808,0.656297,-0.464359,0.532376,0.0438909,0.371817,0.706075,0.234086,0.585644,0.2197,0.951453,-0.0649558,-0.293975,0.59699,0.181116,-0.601693,0.658773,0.359927,-0.528262;-6.51342,-0.735602,0.645022,0.927251
9;-0.517211,0.764885,0.642085,-0.625208,0.590356,0.0898888,0.371817,0.714112,0.175038,0.574802,0.182186,0.939018,-0.0649558,-0.293975,0.617273,0.119256,-0.586216,0.658773,0.448997,-0.404279;-6.9015,-0.965991,0.803258,1.08365
10;-0.510916,0.771945,0.61763,-0.60796,0.624381,0.0895573,0.371817,0.708806,0.186081,0.571374,0.174689,0.938502,-0.0649558,-0.293975,0.612792,0.101507,-0.580172,0.658773,0.422473,-0.394876;-6.80812,-0.949175,0.769111,1.09353
11;-0.513608,0.771194,0.614284,-0.604378,0.63035,0.0807103,0.371817,0.707112,0.187178,0.571025,0.161741,0.938273,-0.0649558,-0.293975,0.608338,0.104087,-0.579919,0.658773,0.418533,-0.394105;-6.80256,-0.918706,0.772481,1.10584
12;-0.511074,0.770859,0.614081,-0.598204,0.627799,0.077926,0.371817,0.706939,0.186665,0.570906,0.159965,0.938105,-0.0649558,-0.293975,0.607752,0.104793,-0.579808,0.658773,0.418796,-0.396236;-6.78178,-0.915301,0.774966,1.09434
13;-0.326649,0.708578,0.496978,-0.47256,0.802162,0.190362,0.606771,0.861603,0.630217,0.728404,0.566378,0.874204,-0.0148394,-0.0493997,0.51381,-0.394512,-0.592229,0.803165,0.301037,0.157793;-7.23268,-1.8814,-0.370208,1.20113
14;-0.22071,0.77184,0.38241,-0.67419,0.885167,0.213619,0.606771,0.896798,0.661781,0.709872,0.573608,0.933256,-0.0721674,-0.0493997,0.533075,-0.38551,-0.560815,0.870468,0.0154521,-0.0765957;-7.24245,-1.49524,-0.49232,1.74637
15;0.671935,0.703759,-0.183598,-0.589123,0.976949,0.597318,0.852686,0.838412,-0.128307,0.912934,-0.0394732,0.907133,0.0729768,0.382273,0.499775,-0.848318,-0.89857,0.966979,-0.664174,0.598408;-4.85563,-3.25213,0.918666,1.74382
16;0.714706,0.723019,-0.202942,-0.215311,0.987343,0.586432,0.852686,0.88898,-0.320413,0.910208,-0.289579,0.945594,0.0699996,0.382273,0.4486,-0.810037,-0.8948,0.979362,-0.790957,0.6142;-3.83787,-3.27364,1.27865,1.2085
17;-0.398348,0.841107,0.533662,-0.34236,0.857451,0.0318347,0.371817,0.838818,0.0922105,0.570396,-0.117956,0.983932,-0.124838,-0.293975,0.555278,0.280137,-0.583376,0.850051,-0.135016,-0.630617;-6.02629,-0.34115,0.776944,1.30802
18;-0.533457,0.788778,0.652938,-0.449355,0.527599,0.0382519,0.371817,0.706627,0.234392,0.586165,0.212832,0.951579,-0.0649558,-0.293975,0.59518,0.183795,-0.601699,0.658773,0.357297,-0.533436;-6.46267,-0.725029,0.648624,0.906545
19;-0.516856,0.764783,0.6429,-0.622086,0.588499,0.0887206,0.371817,0.714365,0.175246,0.574722,0.180416,0.939107,-0.0649558,-0.293975,0.616883,0.119539,-0.586277,0.658773,0.450101,-0.406131;-6.89325,-0.965854,0.805019,1.07806
20;-0.510669,0.771921,0.617955,-0.607131,0.624131,0.0895134,0.371817,0.708767,0.186145,0.571382,0.175119,0.938497,-0.0649558,-0.293975,0.612897,0.101329,-0.580215,0.658773,0.422782,-0.395388;-6.80562,-0.950027,0.768598,1.09158
21;-0.51364,0.771163,0.614383,-0.604581,0.630459,0.0808264,0.371817,0.707116,0.187141,0.571016,0.161913,0.938269,-0.0649558,-0.293975,0.608389,0.104034,-0.579917,0.658773,0.418582,-0.39399;-6.8034,-0.918997,0.772373,1.10605
22;-0.511077,0.770865,0.614061,-0.598286,0.627838,0.0779629,0.371817,0.706935,0.186668,0.570906,0.160017,0.938104,-0.0649558,-0.293975,0.607764,0.104787,-0.579806,0.658773,0.418772,-0.396199;-6.78198,-0.915329,0.774919,1.09447
23;-0.326661,0.708579,0.496969,-0.47259,0.802166,0.190364,0.606771,0.861603,0.630216,0.728405,0.56637,0.874204,-0.0148394,-0.0493997,0.513807,-0.394509,-0.592229,0.803165,0.30103,0.157809;-7.23277,-1.88137,-0.370198,1.2012
24;-0.220709,0.771841,0.382407,-0.674187,0.885166,0.213616,0.606771,0.896798,0.661781,0.709873,0.573605,0.933256,-0.0721674,-0.0493997,0.533073,-0.385509,-0.560815,0.870468,0.0154499,-0.076599;-7.24243,-1.49523,-0.492318,1.74637
25;0.671935,0.703759,-0.183597,-0.589122,0.976949,0.597317,0.852686,0.838412,-0.128307,0.912934,-0.0394752,0.907133,0.0729768,0.382273,0.499774,-0.848318,-0.89857,0.966979,-0.664173,0.598408;-4.85563,-3.25213,0.918667,1.74382
26;0.714706,0.723018,-0.202942,-0.21531,0.987343,0.586432,0.852686,0.88898,-0.320413,0.910208,-0.289579,0.945594,0.0699996,0.382273,0.4486,-0.810037,-0.8948,0.979362,-0.790957,0.6142;-3.83786,-3.27364,1.27865,1.20849
27;-0.398348,0.841107,0.533662,-0.342361,0.857451,0.0318349,0.371817,0.838818,0.0922105,0.570396,-0.117956,0.983932,-0.124838,-0.293975,0.555278,0.280137,-0.583376,0.850051,-0.135016,-0.630617;-6.02629,-0.341151,0.776944,1.30802
28;-0.533457,0.788778,0.652938,-0.449355,0.527599,0.038252,0.371817,0.706627,0.234392,0.586165,0.212832,0.951579,-0.0649558,-0.293975,0.59518,0.183795,-0.601699,0.658773,0.357297,-0.533436;-6.46267,-0.725029,0.648624,0.906545
29;-0.516856,0.764783,0.6429,-0.622086,0.588499,0.0887206,0.371817,0.714365,0.175245,0.574722,0.180416,0.939107,-0.0649558,-0.293975,0.616883,0.119539,-0.586277,0.658773,0.450101,-0.406131;-6.89325,-0.965854,0.805019,1.07806
30;-0.510669,0.771921,0.617955,-0.607131,0.624131,0.0895134,0.371817,0.708767,0.186145,0.571382,0.175119,0.938497,-0.0649558,-0.293975,0.612897,0.101329,-0.580215,0.658773,0.422782,-0.395388;-6.80562,-0.950027,0.768598,1.09158
31;-0.51364,0.771163,0.614383,-0.604581,0.630459,0.0808264,0.371817,0.707116,0.187141,0.571016,0.161913,0.938269,-0.0649558,-0.293975,0.608389,0.104034,-0.579917,0.658773,0.418582,-0.39399;-6.8034,-0.918997,0.772373,1.10605
32;-0.511077,0.770865,0.614061,-0.598286,0.627838,0.0779629,0.371817,0.706935,0.186668,0.570906,0.160017,0.938104,-0.0649558,-0.293975,0.607764,0.104787,-0.579806,0.658773,0.418772,-0.396199;-6.78198,-0.915329,0.774919,1.09447
33;-0.510591,0.770732,0.614396,-0.597377,0.627315,0.0775686,0.371817,0.70688,0.186656,0.570788,0.159846,0.938064,-0.0649558,-0.293975,0.607691,0.104596,-0.579725,0.658773,0.419202,-0.396542;-6.77945,-0.915447,0.77531,1.09233
34;-0.510469,0.770705,0.61443,-0.597295,0.627371,0.0775399,0.371817,0.706821,0.186677,0.570764,0.160024,0.938045,-0.0649558,-0.293975,0.607716,0.104487,-0.579705,0.658773,0.419224,-0.396556;-6.77911,-0.915496,0.77508,1.09208
35;-0.510462,0.770692,0.614426,-0.597379,0.627425,0.0775444,0.371817,0.70681,0.186665,0.570756,0.160042,0.938039,-0.0649558,-0.293975,0.607716,0.104473,-0.579696,0.658773,0.419211,-0.396488;-6.77939,-0.91545,0.775074,1.09222
36;-0.510453,0.770692,0.614412,-0.597388,0.627431,0.077539,0.371817,0.706806,0.186665,0.570755,0.16004,0.938038,-0.0649558,-0.293975,0.607714,0.104473,-0.579693,0.658773,0.419199,-0.396479;-6.77939,-0.915418,0.775076,1.09224
37;-0.510453,0.770692,0.61441,-0.597387,0.62743,0.0775343,0.371817,0.706805,0.186665,0.570754,0.160032,0.938037,-0.0649558,-0.293975,0.607712,0.104474,-0.579692,0.658773,0.419197,-0.396478;-6.77939,-0.915403,0.775083,1.09225
38;-0.510451,0.770692,0.614409,-0.597383,0.627429,0.0775324,0.371817,0.706805,0.186665,0.570754,0.160031,0.938037,-0.0649558,-0.293975,0.607711,0.104474,-0.579692,0.658773,0.419197,-0.396479;-6.77937,-0.9154,0.775084,1.09224
39;-0.510451,0.770692,0.61441,-0.597383,0.627429,0.0775321,0.371817,0.706805,0.186665,0.570754,0.160031,0.938037,-0.0649558,-0.293975,0.607711,0.104474,-0.579692,0.658773,0.419198,-0.396479;-6.77937,-0.9154,0.775084,1.09224
40;-0.510451,0.770692,0.61441,-0.597383,0.627429,0.077532,0.371817,0.706805,0.186665,0.570754,0.160031,0.938037,-0.0649558,-0.293975,0.607711,0.104474,-0.579692,0.658773,0.419198,-0.396479;-6.77937,-0.9154,0.775084,1.09224
41;-0.510451,0.770692,0.61441,-0.597383,0.627429,0.077532,0.371817,0.706805,0.186665,0.570754,0.160031,0.938037,-0.0649558,-0.293975,0.607711,0.104474,-0.579692,0.658773,0.419198,-0.396479;-6.77937,-0.9154,0.775084,1.09224
42;-0.326491,0.70853,0.496985,-0.472597,0.802233,0.190328,0.606771,0.861564,0.630222,0.728381,0.566499,0.874151,-0.0148394,-0.0493997,0.51383,-0.394613,-0.592197,0.803165,0.301024,0.157882;-7.23271,-1.88141,-0.370336,1.20108
43;0.346124,0.483938,0.283547,-0.704743,0.944327,0.338188,0.77293,0.924868,0.320752,0.759229,0.332486,0.967982,0.130063,0.0630305,0.745648,-0.631609,-0.696185,0.898875,-0.41028,0.187011;-6.90871,-2.11687,-0.0279687,1.49291
44;0.671807,0.609871,-0.0296841,-0.586233,0.979179,0.490285,0.908945,0.703579,0.112661,0.927015,-0.702729,0.916847,-0.0455497,0.165933,0.678672,-0.712189,-0.956527,0.886492,-0.816739,0.90533;-6.59543,-2.98281,1.4869,1.77053
45;0.629696,0.581913,-0.0978782,0.102179,0.979956,0.491128,0.908945,0.778137,-0.112252,0.922535,-0.781707,0.923251,-0.0911682,0.165933,0.669249,-0.66128,-0.953205,0.911619,-0.85602,0.928975;-4.60216,-3.29799,1.54856,0.676277
46;-0.470157,0.837132,0.575374,0.32536,0.845032,0.146387,0.747699,0.648075,0.0120038,0.740587,-0.295516,0.987323,-0.653327,-0.29113,0.526838,0.0576623,-0.737169,0.630342,-0.142363,-0.103611;-5.45915,-1.21576,1.03497,0.170028
47;-0.0940151,0.228855,0.243681,-0.223007,0.568975,0.696572,0.551375,0.633014,-0.72268,0.785666,0.0493611,0.959108,-0.121443,0.0857313,0.665104,-0.574435,-0.590619,0.848763,-0.495487,0.342844;-4.6671,-2.87968,0.755324,1.09818
48;0.356895,0.265046,0.0594169,-0.449065,0.820864,0.704868,0.551375,0.659034,-0.686338,0.782105,-0.0186122,0.971109,0.114496,0.0857313,0.627612,-0.5707,-0.576919,0.786268,-0.715891,0.462573;-4.56833,-2.72312,1.06441,1.18153
49;0.348368,0.289426,0.0209186,-0.408049,0.813188,0.67546,0.551375,0.657033,-0.676949,0.785881,-0.150131,0.973142,0.114496,0.0857313,0.599077,-0.56612,-0.582787,0.786268,-0.702474,0.414217;-4.30715,-2.68166,1.17445,1.18935
50;0.344376,0.283811,0.0366398,-0.323239,0.806731,0.665504,0.551375,0.659154,-0.679065,0.786128,-0.170569,0.973083,0.114496,0.0857313,0.593932,-0.56644,-0.583775,0.786268,-0.69772,0.393576;-4.10709,-2.708,1.16423,1.06326
51;0.839766,0.662186,-0.291907,-0.11791,0.983162,0.59584,0.852686,0.859486,-0.230502,0.915955,-0.264891,0.910603,0.148257,0.382273,0.455812,-0.822838,-0.904073,0.963307,-0.691624,0.751023;-3.35681,-3.61519,1.26032,0.867511
52;-0.354717,0.84067,0.510225,-0.358119,0.860806,0.0197998,0.371817,0.840498,0.075783,0.55579,-0.173498,0.983205,-0.124838,-0.293975,0.541649,0.261035,-0.566117,0.850051,-0.1489,-0.609064;-5.98838,-0.303288,0.869607,1.32534
