Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.170861,0.248745,-0.042616,-0.480135,0.52021,0.280368,0.378049,0.144609,-0.533014,-0.490603,0.423008,-0.178227,0.0256548,-0.259763,-0.0984346,-0.497595,-0.0988289,-0.496472,0.260083,-0.103255;-0.677007,-2.4325,-0.0283558,0.58274
1;-0.170861,0.667995,-0.350371,-0.480135,0.312577,-0.144857,0.580662,0.185243,0.203959,-0.651503,0.880674,-0.180477,-0.357941,-0.259763,-0.78991,-0.384082,-0.182262,-0.483744,0.224926,-0.453859;2.17071,-3.63291,-0.310246,1.31771
2;-0.170861,0.647139,-0.614161,-0.480135,0.269402,-0.37976,0.582881,0.36707,0.26855,-0.964742,-0.246609,-0.234663,-0.900179,-0.259763,-0.906394,-0.939305,-0.218107,-0.743146,0.186221,-0.453859;-0.82714,-2.74836,0.545173,1.65898
3;-0.170861,0.666545,0.14477,-0.480135,0.380032,-0.386126,0.633708,0.728526,-0.0934614,-0.349718,-0.246001,-0.328383,-0.928348,-0.259763,-0.95129,-0.96817,-0.379534,-0.791466,0.280272,-0.453859;-1.06394,-2.64066,0.866726,2.72687
4;-0.170861,0.780527,0.144316,-0.480135,0.057874,-0.428754,0.710055,0.737501,-0.0714316,-0.0979989,0.252626,-0.314094,-0.938296,-0.259763,-0.958959,-0.990239,-0.10552,-0.794421,0.280222,-0.453859;-0.0923865,-2.94597,0.846226,3.41735
5;-0.223919,0.924676,-0.345824,-0.694155,0.511804,-0.747989,0.65455,0.504997,-0.160968,-0.824277,-0.356545,-0.138881,-0.93036,-0.615257,-0.99306,-0.995045,-0.0151256,-0.71184,0.162472,-0.0654409;-0.697733,-0.292271,1.60525,1.92913
6;-0.223919,0.843622,0.1044,-0.694155,0.776436,-0.723226,0.479267,0.764061,-0.367842,-0.186784,-0.446871,-0.304221,-0.962695,-0.615257,-0.983767,-0.9902,-0.553427,-0.659678,0.214348,-0.53254;-0.634788,-1.35984,0.593564,1.9259
7;-0.677824,0.925778,-0.00336444,-0.680016,0.318894,-0.593295,0.407203,0.858763,-0.560918,0.240054,-0.161478,-0.543345,-0.961167,-0.840828,-0.919655,-0.99758,0.503893,-0.532943,-0.194544,-0.582293;0.104106,-0.602171,0.824009,1.58386
8;-0.61822,0.94134,-0.577932,-0.609337,0.448311,-0.605468,0.495897,0.896144,0.259935,0.300681,0.224067,-0.879024,-0.961608,-0.890988,-0.946235,-0.999229,0.890543,-0.849773,-0.574904,-0.78211;0.280048,-1.93076,0.473786,1.15019
9;-0.675005,0.876112,-0.899304,-0.178152,0.868649,-0.763952,0.552941,0.931311,0.277259,-0.828197,-0.699398,-0.951232,-0.93368,-0.7726,-0.984252,-0.99994,0.800821,-0.848786,-0.339499,-0.834731;-2.37416,-1.59691,1.39669,0.888189
10;-0.656363,0.914014,-0.641423,0.500887,0.553643,-0.297996,0.122544,0.947013,-0.114404,0.695507,-0.864981,-0.979252,-0.992066,-0.00789406,-0.675262,-0.999954,0.568788,-0.910437,0.668779,-0.843629;-4.13606,-4.05632,2.89067,3.86782
11;-0.656363,0.991679,-0.560845,0.500887,-0.2921,0.332844,0.163451,0.958163,0.545201,0.884669,-0.141252,-0.745696,-0.961922,-0.00789406,-0.314274,-0.999955,0.902541,-0.558765,0.676784,-0.0972144;-3.71578,-1.57469,1.64272,3.03095
12;-0.656363,0.984031,-0.829669,0.500887,0.0549941,0.288204,-0.181203,0.927642,0.92712,-0.175931,-0.773491,-0.742567,-0.771683,-0.00789406,-0.385461,-0.999111,0.832234,-0.130428,0.640628,-0.0972144;-5.37438,0.536851,0.204063,0.934098
13;-0.656363,0.982518,-0.606884,0.500887,0.176711,0.614909,-0.18571,0.960202,0.915649,0.453592,-0.959652,-0.758882,-0.861655,-0.00789406,0.703054,-0.997677,0.593371,-0.187446,0.67238,-0.0972144;-6.44617,2.12174,-0.317354,0.133242
14;-0.628337,0.997065,-0.809182,0.32658,0.36777,0.24719,-0.455173,0.964445,0.983484,0.676085,-0.866243,-0.205975,0.610961,-0.579749,0.0292517,-0.976068,0.956489,0.291097,0.3086,0.269907;-6.06978,5.48938,-1.9216,-1.1772
15;-0.675005,0.883821,-0.561792,-0.178152,0.843038,0.267243,-0.363309,0.978797,0.920463,-0.0799609,-0.944436,-0.636743,0.0689015,-0.7726,0.485225,-0.960523,0.671775,0.507204,-0.251707,-0.629833;-5.50336,5.92965,-3.92213,-3.75069
16;-0.124176,0.93817,0.115563,-0.625905,0.744849,0.227092,0.769591,0.901437,0.918633,0.240502,-0.900797,-0.829954,0.265515,-0.725919,0.615086,-0.7442,0.872861,-0.799701,-0.161486,-0.705001;-6.30994,3.29462,-0.911551,-0.176359
