Passo;A  o
0;0
1;3
2;3
3;3
4;3
5;1
6;3
7;3
8;3
9;3
10;3
11;3
12;4
13;0
14;4
15;2
16;3
17;3
18;3
19;4
20;2
21;2
22;3
23;3
24;3
25;4
26;0
27;4
28;0
29;4
30;2
31;3
32;3
33;3
34;4
35;2
36;2
37;3
38;3
39;3
40;4
41;0
42;4
43;0
44;4
45;2
46;3
47;3
48;3
49;4
50;2
51;2
52;3
53;3
54;3
55;4
56;0
57;4
58;0
59;4
60;2
61;3
62;3
63;3
64;4
65;2
66;2
67;3
68;3
69;3
70;4
71;0
72;4
73;0
74;4
75;2
76;3
77;3
78;3
79;4
80;2
81;2
82;3
83;3
84;3
85;4
86;0
87;4
88;0
89;4
90;2
91;3
92;3
93;3
94;4
95;2
96;2
97;3
98;3
99;3
100;4
101;0
102;4
103;0
104;4
105;2
106;3
107;3
108;3
109;4
110;2
111;2
112;3
113;3
114;3
115;4
116;0
117;4
118;0
119;4
120;2
121;3
122;3
123;3
124;4
125;2
126;2
127;3
128;3
129;3
130;4
131;0
132;4
133;0
134;4
135;2
136;3
137;3
138;3
139;4
140;2
141;2
142;3
143;3
144;3
145;4
146;0
147;4
148;0
149;4
150;2
151;3
152;3
153;3
154;4
155;2
156;2
157;3
158;3
159;3
160;4
161;0
162;4
163;0
164;4
165;2
166;3
167;3
168;3
169;4
170;2
171;2
172;3
173;3
174;3
175;4
176;0
177;4
178;0
179;4
180;2
181;3
182;3
183;3
184;4
185;2
186;2
187;3
188;3
189;3
190;4
191;0
192;4
193;0
194;4
195;2
196;3
197;3
198;3
199;4
200;2
201;2
202;3
203;3
204;3
205;4
206;0
207;4
208;0
209;4
210;2
211;3
212;3
213;3
214;4
215;2
216;2
217;3
218;3
219;3
220;4
221;0
222;4
223;0
224;4
225;2
226;3
227;3
228;3
229;4
230;2
231;2
232;3
233;3
234;3
235;4
236;0
237;4
238;0
239;4
240;2
241;3
242;3
243;3
244;4
245;2
246;2
247;3
248;3
249;3
250;4
251;0
252;4
253;0
254;4
255;2
256;3
257;3
258;3
259;4
260;2
261;2
262;3
263;3
264;3
265;4
266;0
267;4
268;0
269;4
270;2
271;3
272;3
273;3
274;4
275;2
276;2
277;3
278;3
279;3
280;4
281;0
282;4
283;0
284;4
285;2
286;3
287;3
288;3
289;4
290;2
291;2
292;3
293;3
294;3
295;4
296;0
297;4
298;0
299;4
300;0
