Passo;A  o
0;3
1;2
2;3
3;3
4;3
5;3
6;4
7;1
8;3
9;4
10;1
11;3
12;2
13;4
14;1
15;4
16;1
17;3
18;3
19;2
20;4
21;1
22;4
23;1
24;3
25;3
26;3
27;2
28;4
29;1
30;1
31;1
32;3
33;3
34;4
35;1
36;3
37;2
38;4
39;1
40;4
41;1
42;3
43;3
44;2
45;4
46;1
47;4
48;1
49;3
50;3
51;2
52;4
53;1
54;4
55;1
56;3
57;3
58;1
59;3
60;3
61;4
62;1
63;3
64;2
65;4
66;1
67;4
68;1
69;3
70;3
71;2
72;4
73;1
74;4
75;1
76;3
77;3
78;2
79;4
80;1
81;4
82;1
83;3
84;3
85;2
86;4
87;1
88;4
89;1
90;3
91;3
92;2
93;4
94;1
95;4
96;1
97;3
98;3
99;2
100;4
101;1
102;4
103;1
104;3
105;3
106;2
107;4
108;1
109;4
110;1
111;3
112;3
113;1
114;3
115;3
116;4
117;1
118;3
119;2
120;4
121;1
122;4
123;1
124;3
125;3
126;2
127;4
128;1
129;4
130;1
131;3
132;3
133;2
134;4
135;1
136;4
137;1
138;3
139;3
140;1
141;3
142;3
143;4
144;1
145;3
146;2
147;4
148;1
149;4
150;1
151;3
152;3
153;2
154;4
155;1
156;4
157;1
158;3
159;3
160;2
161;4
162;1
163;4
164;1
165;3
166;3
167;2
168;4
169;1
170;4
171;1
172;3
173;3
174;2
175;4
176;1
177;4
178;1
179;3
180;3
181;2
182;4
183;1
184;4
185;1
186;3
187;3
188;2
189;4
190;1
191;4
192;1
193;3
194;3
195;1
196;3
197;3
198;4
199;1
200;3
201;2
202;4
203;1
204;4
205;1
206;3
207;3
208;2
209;4
210;1
211;4
212;1
213;3
214;3
215;2
216;4
217;1
218;4
219;1
220;3
221;3
222;1
223;3
224;3
225;4
226;1
227;3
228;2
229;4
230;1
231;4
232;1
233;3
234;3
235;2
236;4
237;1
238;4
239;1
240;3
241;3
242;2
243;4
244;1
245;4
246;1
247;3
248;3
249;2
250;4
251;1
252;4
253;1
254;3
255;3
256;2
257;4
258;1
259;4
260;1
261;3
262;3
263;2
264;4
265;1
266;4
267;1
268;3
269;3
270;2
271;4
272;1
273;4
274;1
275;3
276;3
277;1
278;3
279;3
280;4
281;1
282;3
283;2
284;4
285;1
286;4
287;1
288;3
289;3
290;2
291;4
292;1
293;4
294;1
295;3
296;3
297;2
298;4
299;1
300;0
