Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;4
8;0
9;3
10;3
11;3
12;4
13;4
14;4
15;0
16;3
17;4
18;0
19;3
20;0
21;3
22;2
23;3
24;3
25;3
26;2
27;3
28;4
29;0
30;3
31;4
32;0
33;3
34;4
35;0
36;3
37;0
38;3
39;2
40;3
41;3
42;2
43;3
44;4
45;0
46;3
47;4
48;0
49;3
50;4
51;0
52;3
53;0
54;3
55;2
56;3
57;3
58;3
59;2
60;3
61;4
62;0
63;3
64;4
65;0
66;3
67;4
68;0
69;3
70;0
71;3
72;2
73;3
74;3
75;2
76;3
77;4
78;0
79;3
80;4
81;0
82;3
83;4
84;0
85;3
86;0
87;3
88;2
89;3
90;3
91;2
92;3
93;4
94;0
95;3
96;0
97;0
98;3
99;0
100;3
101;2
102;3
103;3
104;2
105;3
106;4
107;0
108;3
109;4
110;0
111;3
112;4
113;0
114;3
115;0
116;3
117;2
118;3
119;3
120;2
121;3
122;4
123;0
124;3
125;4
126;0
127;3
128;4
129;0
130;3
131;0
132;3
133;2
134;3
135;3
136;3
137;2
138;3
139;4
140;0
141;3
142;4
143;0
144;3
145;4
146;0
147;3
148;0
149;3
150;2
151;3
152;3
153;2
154;3
155;4
156;0
157;3
158;4
159;0
160;3
161;4
162;0
163;3
164;0
165;3
166;2
167;3
168;3
169;2
170;3
171;4
172;0
173;3
174;0
175;0
176;3
177;0
178;3
179;2
180;3
181;3
182;2
183;3
184;4
185;0
186;3
187;4
188;0
189;3
190;4
191;0
192;3
193;0
194;3
195;2
196;3
197;3
198;2
199;3
200;4
201;0
202;3
203;4
204;0
205;3
206;4
207;0
208;3
209;0
210;3
211;2
212;3
213;3
214;3
215;2
216;3
217;4
218;0
219;3
220;4
221;0
222;3
223;4
224;0
225;3
226;0
227;3
228;2
229;3
230;3
231;2
232;3
233;4
234;0
235;3
236;4
237;0
238;3
239;4
240;0
241;3
242;0
243;3
244;2
245;3
246;3
247;2
248;3
249;4
250;0
251;3
252;0
253;0
254;3
255;0
256;3
257;2
258;3
259;3
260;2
261;3
262;4
263;0
264;3
265;4
266;0
267;3
268;4
269;0
270;3
271;0
272;3
273;2
274;3
275;3
276;2
277;3
278;4
279;0
280;3
281;4
282;0
283;3
284;4
285;0
286;3
287;0
288;3
289;2
290;3
291;3
292;3
293;2
294;3
295;4
296;0
297;3
298;4
299;0
300;-1.83255e-06
