Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.144679,-0.0500025,0.225095,0.454584,0.360297,-0.364306,0.234219,0.125516,-0.276219,0.224296,-0.505916,-0.0305151,0.518932,0.295488,0.237366,0.53166,0.118373,0.185922,0.459913,0.395048,0.0325639,0.258435,-0.371841,-0.452227,-0.169182,-0.14769,-0.496841,-0.316926,-0.48121,0.155097,-0.160953,-0.287076,0.453508,-0.273138,-0.44365,-0.163556,0.0734233,0.15034,0.114724,-0.263895,-0.147081,-0.218375,-0.161737,0.435614,-0.233561,0.207186,-0.308733,-0.239784,-0.122235,-0.154632;11.9904,1.21577,7.06791,13.1893
1;0.334332,-0.152623,0.228804,0.354654,0.672848,-0.402976,0.404445,-0.383746,-0.563882,0.121966,-0.574293,0.341791,0.54353,0.238515,0.295129,0.438985,0.0636321,0.193802,0.25327,0.161792,-0.206107,0.204555,0.0295155,-0.61926,-0.187593,-0.422469,-0.733148,-0.519465,-0.381161,0.211195,-0.158592,-0.143846,-0.298115,-0.079349,-0.43073,-0.303013,0.180323,0.463507,-0.294973,-0.172257,0.29224,-0.324163,-0.0023509,0.514325,-0.0242308,0.270736,0.21374,-0.125974,0.148002,0.0309786;2.83878,-1.82335,-3.87074,26.0855
2;0.293716,-0.106489,0.108577,0.0377511,0.592248,-0.347651,0.397251,-0.480622,-0.621211,0.0688751,-0.650586,0.484296,0.62131,0.260044,0.112762,0.521221,0.221987,0.0827435,0.312449,0.284939,-0.208315,0.607556,0.0371857,-0.694831,-0.0394809,-0.366062,-0.642381,-0.174432,-0.413916,0.138938,-0.116425,-0.085422,-0.360558,0.288929,-0.305964,-0.484352,0.229274,0.447664,0.0374524,-0.117616,0.403242,-0.539543,-0.239,0.680137,-0.0474031,0.314626,0.269665,-0.0909255,0.023469,-0.189154;4.55172,-4.72402,-15.735,24.6308
3;0.457506,-0.0854076,0.0985493,-0.320956,0.707513,-0.33392,0.405317,-0.410811,-0.722806,-0.0634888,-0.650324,0.402062,0.600708,0.178295,0.0808932,0.530798,0.277881,0.207908,0.397326,0.350893,-0.168266,0.612514,0.129948,-0.709522,0.220009,-0.432495,-0.750969,0.124438,-0.423715,0.0855288,-0.131215,-0.0050712,-0.245546,0.259188,-0.304092,-0.445885,0.264143,0.561543,0.155234,-0.0528789,0.514287,-0.653739,-0.238828,0.690543,-0.0621201,0.185262,0.326294,-0.165011,-0.0246543,-0.323441;6.41019,-6.53365,-22.932,25.9137
4;0.455571,-0.0605842,0.102625,-0.355101,0.716339,-0.219994,0.489665,-0.443057,-0.76828,-0.0474395,-0.681165,0.258097,0.584439,0.243323,0.147537,0.661379,0.309513,0.271167,0.307414,0.231884,-0.143613,0.608511,0.14547,-0.753759,0.404136,-0.349872,-0.698516,0.253182,-0.439247,-0.106067,-0.196121,-0.00136863,-0.265948,0.296968,-0.342331,-0.492682,0.285913,0.586179,0.109532,-0.0655718,0.629417,-0.733795,-0.254852,0.673123,-0.0366194,0.110994,0.443637,-0.103392,-0.206689,-0.346243;7.0445,-6.38074,-24.2058,27.6343
5;0.462912,-0.0621027,0.107094,-0.38358,0.687623,-0.209019,0.508324,-0.47051,-0.755693,-0.0672285,-0.683593,0.266139,0.56193,0.296919,0.14737,0.718984,0.383687,0.224935,0.284843,0.202845,-0.185299,0.579722,0.176556,-0.748408,0.484877,-0.298457,-0.718049,0.23946,-0.464078,-0.0176324,-0.279727,0.000749469,-0.27467,0.298012,-0.432722,-0.500413,0.308812,0.556316,0.199757,-0.0345494,0.645651,-0.803346,-0.281907,0.707628,-0.0811795,0.104145,0.480829,-0.0761866,-0.241441,-0.432283;7.85122,-5.94892,-25.0146,28.7587
6;0.301821,-0.0215187,0.197624,-0.464639,0.615272,0.0963164,0.314484,-0.320411,-0.438591,0.146472,-0.874157,0.22095,0.800718,0.313995,-0.152154,0.779707,0.654177,-0.233749,0.00954158,0.545269,-0.233319,0.828974,0.260818,-0.572485,0.029951,-0.607684,-0.905323,0.200951,-0.349545,-0.0672804,0.0399722,-0.00257942,-0.502337,0.526061,-0.34604,-0.0987496,0.499455,0.581431,-0.29276,-0.517829,0.489454,-0.533282,-0.588267,0.665174,-0.275012,-0.400894,0.458051,0.309085,-0.414408,-0.558933;20.2413,-1.93722,-27.5286,26.1485
7;0.411862,-0.533606,-0.344171,-0.8497,-0.00545513,0.529026,0.0678799,-0.630588,-0.366068,0.29343,-0.862147,-0.667386,0.870885,-0.61712,-0.761205,0.600678,0.848642,-0.556241,0.243642,0.676916,0.349456,0.780547,0.650398,-0.629275,-0.735411,-0.406232,-0.969959,0.659054,-0.796082,0.298773,-0.138017,-0.0982678,-0.523788,0.832386,0.0141206,0.392935,0.431157,0.465851,-0.101122,-0.887589,0.891298,-0.682868,-0.700705,0.693284,-0.201231,0.147399,0.455768,0.352071,-0.857504,-0.212804;19.5149,-3.56062,-30.9012,14.4184
8;0.69872,-0.463117,-0.0782897,-0.923209,0.70663,0.424629,0.575765,-0.381151,0.548018,0.604134,-0.898753,-0.729108,0.580643,-0.443758,-0.553524,0.907043,0.896539,-0.63623,0.484045,0.901852,-0.0509286,0.849524,-0.0134696,-0.169272,0.346557,-0.528831,-0.959641,0.348419,-0.654282,0.702372,-0.347029,0.306766,-0.20803,0.917351,0.00681749,0.488306,0.470075,0.385255,-0.305075,-0.896702,0.502735,-0.77122,-0.210625,0.6366,-0.225741,-0.0613882,0.529138,0.437574,-0.806865,-0.564527;26.3955,5.64418,-25.8627,33.5439
9;0.666474,-0.459894,-0.509531,-0.944272,0.413398,0.112853,0.499125,-0.407184,0.822761,0.801225,-0.857574,-0.867035,0.307489,-0.0138339,-0.73897,0.72618,0.540021,-0.711815,0.795899,0.973755,-0.352536,0.589961,-0.120038,-0.321701,-0.250052,-0.818543,-0.979195,-0.00827216,-0.704768,0.830643,-0.395185,-0.335444,-0.63803,0.926383,-0.446297,-0.00308335,0.493588,0.648191,0.268267,-0.826879,0.825646,-0.812331,-0.139741,0.901107,0.00558235,-0.411523,-0.0146379,0.734432,-0.888915,-0.834;28.648,-2.97435,-30.1895,31.4389
10;0.832092,-0.787956,-0.426943,-0.948313,0.528489,0.151719,-0.0161049,-0.799001,0.470488,0.621867,-0.949975,-0.755334,0.427477,-0.336554,-0.885623,0.870262,0.808504,-0.870788,0.612909,0.945148,-0.744453,0.758909,-0.27372,-0.588876,-0.187697,-0.454326,-0.989505,-0.0456309,-0.394503,0.700804,0.165544,-0.153241,-0.908042,0.935228,0.46715,0.191461,0.141893,0.525416,0.22806,-0.797768,0.739848,-0.825783,0.253047,0.884838,-0.163738,-0.296923,-0.208254,0.869287,-0.390762,-0.518224;28.8147,-6.86826,-29.3467,27.4003
11;0.711789,-0.469231,-0.615627,-0.938344,0.381047,-0.151861,0.578474,-0.309892,0.125858,0.64713,-0.674799,-0.859743,0.0429038,-0.0965608,-0.706044,0.556412,0.0193708,-0.323636,0.922263,0.968646,-0.0582986,0.384319,-0.293515,-0.630425,0.294732,-0.681984,-0.925057,0.203972,-0.706007,0.82221,-0.719946,-0.181014,-0.542173,0.812374,-0.199572,-0.331225,0.353374,0.775868,0.819824,-0.535081,0.835602,-0.822602,0.451187,0.973075,0.272533,0.124012,-0.110973,0.451206,-0.781773,-0.411812;17.0348,-5.54346,-25.4984,22.578
12;0.646926,-0.389566,-0.578157,-0.923109,0.753251,-0.222129,0.566008,-0.548041,-0.180324,0.531639,-0.723884,-0.83887,0.002654,0.289736,-0.505317,0.712928,0.339681,-0.71798,0.808339,0.895779,-0.502629,0.380355,0.100105,-0.716476,0.579919,-0.610037,-0.946084,-0.0679005,-0.662662,0.838682,-0.618109,-0.280932,-0.788346,0.825037,-0.253967,-0.341845,0.292621,0.826943,0.704625,-0.216158,0.866046,-0.843789,0.271121,0.830632,0.453423,0.193792,-0.139813,0.599211,-0.586127,-0.550912;11.3513,-10.5437,-28.1739,33.2211
13;0.600484,-0.288023,-0.599815,-0.933117,0.70403,-0.0674701,0.476145,-0.660192,-0.317754,0.528691,-0.729587,-0.688476,0.164696,0.343967,-0.599139,0.556815,0.198167,-0.591196,0.879767,0.924354,-0.462842,0.418504,0.263869,-0.79222,0.540239,-0.635842,-0.942221,-0.00200979,-0.637317,0.799012,-0.56773,-0.326681,-0.740446,0.815704,-0.388098,-0.536086,0.290001,0.778432,0.800251,-0.230303,0.879788,-0.863059,0.31777,0.904486,0.432809,0.161998,0.0940591,0.421779,-0.511609,-0.407095;10.9475,-13.0941,-30.8946,32.222
14;0.623884,-0.287101,-0.614336,-0.935265,0.728981,-0.0114569,0.42604,-0.696728,-0.268333,0.461045,-0.720183,-0.696038,0.210867,0.386404,-0.622304,0.594586,0.328242,-0.658032,0.86033,0.915692,-0.438155,0.421068,0.274023,-0.803529,0.658682,-0.582452,-0.94582,-0.00582719,-0.677066,0.760209,-0.476845,-0.309949,-0.7145,0.850568,-0.374973,-0.513363,0.266095,0.802326,0.753636,-0.164116,0.905469,-0.857532,0.264525,0.858729,0.409586,0.155001,0.0659365,0.45352,-0.373979,-0.441091;10.5117,-13.4621,-31.6861,32.5589
