Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.251621,-0.314783,0.425381,0.260928,-0.0781569,-0.40798,-0.385923,-0.190938,-0.178132,-0.199568,0.4264,0.360711,0.0292711,-0.486036,0.14493,-0.292946,-0.165124,-0.458382,0.0839052,0.111905,-0.0712375,-0.0306615,-0.19122,0.0702537,0.299894,-0.124074,0.303289,0.293079,-0.515203,-0.509151,0.518745,-0.249562,0.15724,0.496952,0.205012,0.0924444,-0.16904,0.53326,0.325498,0.0200114,-0.0852505,-0.480394,0.0527785,0.340314,-0.522482,0.421022,-0.317322,0.0513906,0.312538,-0.47952;-0.379542,-1.71601,-1.18146,0.370794
1;-0.466322,-0.133522,0.487663,0.398319,-0.0683494,0.00506767,-0.627294,-0.566492,-0.290908,-0.59116,0.553967,0.362205,-0.0620064,-0.798707,-0.0527698,0.0240008,-0.0962031,-0.679979,0.530593,0.134772,-0.276622,-0.149991,-0.0922225,0.226209,0.439335,-0.10552,0.469131,-0.258002,-0.605993,-0.460028,0.393522,-0.385984,0.229008,0.450028,0.0587505,0.202837,-0.397192,0.140337,0.471369,0.0260586,-0.378969,-0.532862,-0.382419,0.24416,-0.503581,0.712457,-0.621423,0.368738,0.428085,-0.323384;-2.23315,-1.35068,-1.34157,1.17704
2;-0.474878,-0.176044,0.494418,0.424746,-0.0629808,0.0925107,-0.677412,-0.345959,-0.485542,-0.551373,0.351815,0.497046,0.439297,-0.90325,-0.1236,-0.245915,0.103756,-0.728759,0.387458,0.274703,-0.142214,-0.267914,-0.00483506,0.390446,0.468351,-0.118765,0.365224,-0.242787,-0.678961,-0.203168,0.416428,-0.540833,0.583243,0.513058,0.0208991,0.742185,-0.685399,-0.319283,0.572911,-0.0922085,-0.511945,-0.337132,0.113777,0.261174,-0.566088,0.898335,-0.614536,0.469236,0.302831,-0.453963;-2.62866,-2.44122,-0.434642,0.20485
3;-0.490126,0.132873,0.569037,0.43418,-0.0663449,0.119412,-0.725332,-0.091862,-0.220001,-0.628678,-0.00581006,0.498393,0.11128,-0.91985,-0.179884,-0.302324,0.256705,-0.758696,0.43811,0.409583,0.0732189,-0.347732,-0.00665646,0.427308,0.624644,-0.122187,0.22016,0.154522,-0.786305,-0.257207,0.377042,-0.60587,0.540445,0.475204,0.0219995,0.661241,-0.650905,-0.206463,0.64714,-0.0340066,-0.491662,-0.158886,0.513198,0.0189079,-0.591702,0.900815,-0.631596,0.567166,0.253525,-0.539113;-2.62534,-1.60975,-0.798116,1.85905
4;-0.467299,0.0287856,0.579777,0.620207,-0.0710389,0.236059,-0.712575,-0.0534853,-0.289285,-0.660269,0.177329,0.542783,0.0426458,-0.909139,-0.207646,-0.161915,0.380938,-0.76424,0.596681,0.451717,-0.0154841,-0.352459,-0.00132768,0.356677,0.605639,-0.122087,0.173277,-0.065227,-0.58466,-0.333784,0.360789,-0.625914,0.292606,0.490397,-0.0213569,0.540676,-0.419822,0.0686399,0.685779,0.0488826,-0.516727,0.147846,0.523987,0.143672,-0.605069,0.900731,-0.495281,0.617743,0.288892,-0.549334;-2.81237,-0.677245,-0.328102,1.86762
5;-0.478699,0.0419069,0.555663,0.692247,-0.0725553,0.161874,-0.666337,-0.264398,-0.358921,-0.676222,0.199844,0.522354,-0.0476122,-0.919765,-0.217018,-0.37028,0.389274,-0.777482,0.520307,0.414326,-0.193005,-0.377925,-0.054822,0.359129,0.483918,-0.126002,0.320732,-0.216751,-0.531778,-0.23427,0.361324,-0.700959,0.493487,0.473403,-0.0360375,0.749687,-0.398657,0.0498853,0.657601,0.188532,-0.54225,0.0562711,0.403171,0.296825,-0.612596,0.899036,-0.565944,0.604701,0.0733468,-0.579314;-2.34176,-1.57294,-0.700312,0.898066
6;-0.740468,-0.552051,0.28716,0.658467,-0.0367984,0.14788,-0.270437,-0.290989,0.0248977,-0.435338,0.186631,0.416613,0.272345,-0.798596,0.00949835,-0.667018,0.349978,-0.920106,0.177686,-0.120343,-0.498937,-0.0326427,0.283151,0.611366,0.686705,0.118635,-0.176044,-0.395567,-0.668998,0.255217,0.164741,-0.858527,0.6463,0.287462,-0.327095,0.635389,-0.382741,0.0906273,0.432157,0.355064,-0.742157,-0.057928,-0.0780152,-0.190577,-0.454526,0.81736,-0.583027,0.705193,0.412209,-0.730965;-3.66839,-2.05228,-2.00116,2.35506
7;-0.372737,-0.0868103,0.420087,0.684367,-0.0204428,-0.73703,0.00741167,-0.0371333,-0.594178,0.759679,0.334483,-0.058641,0.479733,-0.885757,-0.0224899,-0.829016,0.752835,-0.834098,0.350999,0.0568659,-0.635652,-0.773754,0.613288,0.267191,0.660272,-0.0700228,-0.304259,0.274216,-0.941458,0.446588,0.369438,-0.842339,0.400108,-0.27176,-0.647576,0.875716,-0.2128,-0.0788675,0.754065,0.510786,-0.527615,0.0316744,-0.364394,-0.487271,0.0995258,0.78772,-0.12412,0.302094,0.461544,-0.500647;-0.861039,-8.5401,-4.19274,3.19349
8;-0.817955,-0.0837966,0.678078,0.589411,0.0995884,-0.569984,0.157118,-0.144131,-0.387677,0.932855,0.6071,-0.87863,0.819628,-0.816257,0.168722,-0.377987,0.923221,-0.611179,0.20496,-0.058051,-0.394117,-0.571271,0.468112,-0.159398,0.173431,-0.569162,-0.634559,0.518929,-0.948062,-0.494975,0.589695,-0.913192,-0.56912,-0.873249,0.053201,0.772679,0.150764,0.0802597,0.73115,0.130816,-0.588924,0.154923,-0.568293,-0.309099,-0.254523,0.818584,0.06925,0.253733,0.733756,-0.881995;0.294872,-10.0972,-3.78726,2.84407
9;-0.685437,0.168523,0.592077,0.633364,0.0889453,-0.646299,0.0188656,-0.320408,-0.264644,0.965368,0.659615,-0.893559,0.920028,-0.966347,0.182239,-0.30122,0.978988,-0.319733,0.340881,-0.452737,-0.253283,-0.585322,0.259799,0.123238,-0.546954,-0.524125,-0.307554,0.315631,-0.972019,-0.754972,0.522669,-0.894744,-0.734745,-0.878581,-0.0286644,0.769862,0.496327,0.23329,0.410392,0.333339,-0.654208,0.0140608,-0.821385,0.216843,-0.218301,0.562245,0.563139,0.226656,0.76315,-0.906325;2.13557,-9.66647,-2.75152,-0.260203
