Passo;A  o
0;1
1;3
2;2
3;3
4;3
5;1
6;1
7;3
8;1
9;3
10;3
11;2
12;3
13;3
14;4
15;1
16;1
17;3
18;3
19;3
20;2
21;3
22;3
23;3
24;4
25;1
26;3
27;1
28;3
29;3
30;2
31;3
32;3
33;4
34;1
35;3
36;1
37;3
38;3
39;3
40;3
41;4
42;1
43;3
44;1
45;3
46;3
47;2
48;3
49;3
50;4
51;1
52;3
53;1
54;3
55;3
56;3
57;4
58;1
59;3
60;1
61;3
62;3
63;2
64;3
65;3
66;4
67;1
68;3
69;1
70;3
71;3
72;2
73;3
74;3
75;4
76;1
77;3
78;1
79;3
80;3
81;2
82;3
83;3
84;4
85;1
86;3
87;1
88;3
89;3
90;3
91;3
92;4
93;1
94;3
95;1
96;3
97;3
98;2
99;3
100;3
101;4
102;1
103;3
104;1
105;3
106;3
107;3
108;4
109;1
110;3
111;1
112;3
113;3
114;2
115;3
116;3
117;4
118;1
119;3
120;1
121;3
122;3
123;2
124;3
125;3
126;4
127;1
128;3
129;1
130;3
131;3
132;2
133;3
134;3
135;4
136;1
137;3
138;1
139;3
140;3
141;3
142;3
143;4
144;1
145;3
146;1
147;3
148;3
149;2
150;3
151;3
152;4
153;1
154;3
155;1
156;3
157;3
158;3
159;4
160;1
161;3
162;1
163;3
164;3
165;2
166;3
167;3
168;4
169;1
170;3
171;1
172;3
173;3
174;2
175;3
176;3
177;4
178;1
179;3
180;1
181;3
182;3
183;2
184;3
185;3
186;4
187;1
188;3
189;1
190;3
191;3
192;3
193;3
194;4
195;1
196;3
197;1
198;3
199;3
200;2
201;3
202;3
203;4
204;1
205;3
206;1
207;3
208;3
209;3
210;4
211;1
212;3
213;1
214;3
215;3
216;2
217;3
218;3
219;4
220;1
221;3
222;1
223;3
224;3
225;2
226;3
227;3
228;4
229;1
230;3
231;1
232;3
233;3
234;2
235;3
236;3
237;4
238;1
239;3
240;1
241;3
242;3
243;3
244;3
245;4
246;1
247;3
248;1
249;3
250;3
251;2
252;3
253;3
254;4
255;1
256;3
257;1
258;3
259;3
260;3
261;4
262;1
263;3
264;1
265;3
266;3
267;2
268;3
269;3
270;4
271;1
272;3
273;1
274;3
275;3
276;2
277;3
278;3
279;4
280;1
281;3
282;1
283;3
284;3
285;2
286;3
287;3
288;4
289;1
290;3
291;1
292;3
293;3
294;3
295;3
296;4
297;1
298;3
299;1
300;-1.83255e-06
