Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.230391,-0.228205,0.764443,0.134068,-0.397564,-0.0962374,0.617857,-0.17854,0.680931,0.433817,-0.652317,0.537115,-0.464191,-0.280729,0.801242,0.370183,-0.627742,-0.250266,0.153291,0.422512,0.377303,0.058857,0.177086,-0.556419,-0.481168;-0.114908,-9.47007,5.46925,8.00859
1;-0.612698,0.849877,0.890792,0.626926,0.105842,-0.551563,0.708198,0.571367,0.278664,-0.284845,-0.297503,0.968727,-0.696366,-0.470833,-0.0314502,0.404222,-0.744642,-0.0373373,-0.174298,0.474549,-0.281666,0.888879,0.236639,-0.803317,-0.663164;-1.5476,-4.92404,-4.02962,10.6981
2;-0.524675,-0.353739,0.774221,0.174984,0.500581,0.63896,0.924231,0.0707445,0.808808,-0.679689,-0.790461,0.917208,-0.526339,-0.319323,0.432578,-0.488742,-0.00364414,-0.333041,-0.429989,0.903245,-0.244293,0.603217,-0.0527176,-0.792031,-0.779016;-0.0196131,-9.11679,-4.01566,9.91568
3;-0.206756,0.237109,0.811823,0.474703,0.808736,0.588971,0.942493,-0.335354,0.764639,0.287033,-0.546576,0.911544,-0.746432,0.196151,0.410039,-0.228954,-0.379853,-0.35248,-0.399306,0.98326,0.449237,0.369657,-0.209857,-0.764275,-0.904577;-1.57796,-13.9189,0.727338,5.65186
4;-0.349211,0.0582368,0.65737,0.692485,0.776889,0.442772,0.958735,0.485758,0.759271,0.176439,-0.574443,0.908555,-0.773002,0.504746,-0.0766078,0.494639,-0.709606,-0.35248,-0.416814,0.819587,0.673908,0.334201,-0.154584,-0.764275,-0.903948;4.00772,-11.5095,-2.06902,4.61371
5;-0.443837,-0.346105,0.517535,-0.082852,0.78075,0.65895,0.960362,0.404102,0.788945,-0.105437,-0.594085,0.815574,-0.785681,0.438908,-0.192729,0.655073,0.106249,-0.35248,-0.419446,0.934898,0.826166,0.371744,-0.399968,-0.764275,-0.879539;8.56387,-8.60705,-1.36627,5.99337
6;-0.212956,-0.725897,0.326499,0.487827,0.574711,0.884498,0.933678,0.563322,0.735658,0.562541,-0.731952,0.895024,-0.652021,-0.309415,-0.115782,0.603463,-0.172532,-0.333041,-0.467131,0.863799,0.624872,-0.165434,0.452773,-0.792031,-0.868487;5.62667,-13.2101,-1.21324,5.29767
7;-0.632528,-0.742459,0.130388,0.0166925,-0.374055,0.385519,0.557248,0.543939,0.349448,-0.507807,-0.630875,0.672607,-0.606534,0.482247,0.555378,-0.000530364,-0.491587,0.128939,0.0497726,0.524692,0.231731,0.0185736,0.339535,-0.479858,-0.51672;3.63429,-8.98402,1.41292,5.4352
8;-0.116851,-0.0879377,0.286796,0.452112,0.139162,-0.0698696,0.817081,-0.479636,0.784296,-0.592045,-0.834417,0.900813,-0.0489639,-0.326201,0.415182,-0.104941,0.0896028,-0.177334,-0.284045,0.970935,0.852294,0.888629,-0.0666771,-0.455615,-0.577012;-3.81523,-13.0994,-0.743526,10.3027
9;-0.199873,-0.167385,0.620558,0.85478,0.545133,0.36215,0.757816,-0.542786,0.771356,-0.600518,-0.735716,0.751088,-0.515668,0.663088,-0.198719,0.684372,-0.77483,-0.198583,-0.149931,0.912562,0.789084,0.437879,0.0181519,-0.398042,-0.580907;0.620807,-13.2526,1.55365,2.84495
