Passo;A  o
0;3
1;1
2;1
3;1
4;3
5;3
6;3
7;4
8;1
9;1
10;3
11;2
12;3
13;4
14;1
15;1
16;3
17;2
18;3
19;4
20;1
21;1
22;3
23;2
24;3
25;4
26;1
27;1
28;3
29;2
30;3
31;4
32;4
33;1
34;1
35;3
36;3
37;3
38;4
39;1
40;1
41;3
42;2
43;3
44;4
45;1
46;1
47;3
48;2
49;3
50;4
51;1
52;1
53;3
54;2
55;3
56;4
57;1
58;1
59;3
60;2
61;3
62;4
63;1
64;1
65;3
66;2
67;3
68;4
69;1
70;1
71;3
72;2
73;3
74;4
75;1
76;1
77;3
78;2
79;3
80;4
81;1
82;1
83;3
84;2
85;3
86;4
87;1
88;1
89;3
90;2
91;3
92;4
93;1
94;1
95;3
96;3
97;3
98;3
99;4
100;1
101;1
102;3
103;2
104;3
105;4
106;1
107;1
108;3
109;2
110;3
111;4
112;1
113;1
114;3
115;2
116;3
117;4
118;1
119;1
120;3
121;2
122;3
123;4
124;4
125;1
126;1
127;3
128;3
129;4
130;1
131;1
132;3
133;2
134;3
135;4
136;1
137;1
138;3
139;2
140;3
141;4
142;1
143;1
144;3
145;2
146;3
147;4
148;1
149;1
150;3
151;2
152;3
153;4
154;1
155;1
156;3
157;2
158;3
159;4
160;1
161;1
162;3
163;2
164;3
165;4
166;1
167;1
168;3
169;2
170;3
171;4
172;1
173;1
174;3
175;2
176;3
177;4
178;1
179;1
180;3
181;2
182;3
183;4
184;1
185;1
186;3
187;2
188;3
189;4
190;1
191;1
192;3
193;3
194;3
195;4
196;1
197;1
198;3
199;2
200;3
201;4
202;1
203;1
204;3
205;2
206;3
207;4
208;1
209;1
210;3
211;2
212;3
213;4
214;1
215;1
216;3
217;2
218;3
219;4
220;4
221;1
222;1
223;3
224;3
225;3
226;4
227;1
228;1
229;3
230;2
231;3
232;4
233;1
234;1
235;3
236;2
237;3
238;4
239;1
240;1
241;3
242;2
243;3
244;4
245;1
246;1
247;3
248;2
249;3
250;4
251;1
252;1
253;3
254;2
255;3
256;4
257;1
258;1
259;3
260;2
261;3
262;4
263;1
264;1
265;3
266;2
267;3
268;4
269;1
270;1
271;3
272;2
273;3
274;4
275;1
276;1
277;3
278;2
279;3
280;4
281;1
282;1
283;3
284;3
285;3
286;3
287;4
288;1
289;1
290;3
291;2
292;3
293;4
294;1
295;1
296;3
297;2
298;3
299;4
300;0
