Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;3
9;1
10;3
11;3
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;4
20;1
21;3
22;4
23;4
24;1
25;3
26;3
27;3
28;3
29;3
30;3
31;3
32;3
33;3
34;4
35;1
36;3
37;4
38;4
39;1
40;3
41;3
42;3
43;3
44;3
45;3
46;3
47;3
48;3
49;3
50;3
51;3
52;3
53;3
54;3
55;3
56;3
57;4
58;1
59;3
60;4
61;4
62;1
63;3
64;3
65;3
66;3
67;3
68;3
69;3
70;3
71;3
72;4
73;1
74;3
75;4
76;4
77;1
78;3
79;3
80;3
81;3
82;3
83;3
84;3
85;3
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;4
96;1
97;3
98;4
99;4
100;1
101;3
102;3
103;3
104;3
105;3
106;3
107;3
108;3
109;3
110;4
111;1
112;3
113;4
114;4
115;1
116;3
117;3
118;3
119;3
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;4
134;1
135;3
136;4
137;4
138;1
139;3
140;3
141;3
142;3
143;3
144;3
145;3
146;3
147;3
148;4
149;1
150;3
151;4
152;4
153;1
154;3
155;3
156;3
157;3
158;3
159;3
160;3
161;3
162;3
163;3
164;3
165;3
166;3
167;3
168;3
169;3
170;3
171;4
172;1
173;3
174;4
175;4
176;1
177;3
178;3
179;3
180;3
181;3
182;3
183;3
184;3
185;3
186;4
187;1
188;3
189;4
190;4
191;1
192;3
193;3
194;3
195;3
196;3
197;3
198;3
199;3
200;3
201;3
202;3
203;3
204;3
205;3
206;3
207;3
208;3
209;4
210;1
211;3
212;4
213;4
214;1
215;3
216;3
217;3
218;3
219;3
220;3
221;3
222;3
223;3
224;4
225;1
226;3
227;4
228;4
229;1
230;3
231;3
232;3
233;3
234;3
235;3
236;3
237;3
238;3
239;3
240;3
241;3
242;3
243;3
244;3
245;3
246;3
247;4
248;1
249;3
250;4
251;4
252;1
253;3
254;3
255;3
256;3
257;3
258;3
259;3
260;3
261;3
262;4
263;1
264;3
265;4
266;4
267;1
268;3
269;3
270;3
271;3
272;3
273;3
274;3
275;3
276;3
277;3
278;3
279;3
280;3
281;3
282;3
283;3
284;3
285;4
286;1
287;3
288;4
289;4
290;1
291;3
292;3
293;3
294;3
295;3
296;3
297;3
298;3
299;3
300;0
