Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;0.0813773,-0.463903,-0.113369,-0.413081,0.234652,0.4101,-0.165925,-0.234894,-0.160578,0.627165,0.520389,0.196806,-0.200535,0.0155632,-0.189897,-0.0315944,-0.164607,0.317733,-0.21752,-0.257324,-0.303705,-0.706875,-0.545297,0.277183,-0.719064,-0.661703,0.580265,-0.0283014,0.484062,0.798697,0.55259,0.214413,0.560652,-0.599579,-0.464478,0.436963,-0.40714,0.635425,-0.121098,0.121171,-0.194587,-0.628983,0.167883,-0.29921,-0.403008,-0.0394217,0.118933,-0.477812,-0.581284,0.80718;-2.09596,0.325306,-4.93665,0.956998
1;0.534526,-0.783898,0.0722989,-0.932347,0.951185,0.78277,-0.178467,-0.741487,-0.603276,0.614816,0.185065,0.763438,0.549829,-0.370754,-0.0963825,-0.213335,-0.417811,0.700465,-0.9246,-0.158526,-0.633421,-0.0237367,-0.851686,-0.484609,-0.229944,-0.86095,0.816475,-0.112488,0.801861,-0.100498,0.686079,-0.666537,0.96143,0.602026,-0.0600665,0.963812,-0.42916,0.929198,-0.416274,-0.434827,-0.011081,-0.513383,-0.0480954,0.0831133,-0.519002,0.821531,0.427596,-0.472089,0.100026,0.949484;0.245477,4.07981,-4.9224,9.7087
2;-0.774477,-0.891533,-0.357478,-0.95531,0.951793,0.939614,0.0707104,-0.78531,-0.269746,0.31054,0.141898,0.797963,0.945789,-0.951734,0.486332,-0.750215,-0.587779,0.849045,-0.815346,-0.287127,-0.831495,0.669625,-0.934521,-0.505094,-0.409035,-0.891082,0.0989472,0.00202841,0.856738,0.462996,0.865065,-0.754995,0.812002,0.544348,0.428428,0.980081,-0.775455,0.939523,0.231092,-0.559163,-0.0338931,-0.398257,0.0156832,0.668349,-0.533844,0.863144,0.683882,0.40037,-0.654759,0.987546;-3.24216,8.06461,-7.89704,11.0309
3;-0.803785,-0.787536,-0.701088,-0.977277,0.959717,0.915032,0.126566,-0.388956,-0.301812,0.368452,0.450551,0.911515,0.914749,-0.968319,0.742664,-0.44554,-0.864589,0.901009,-0.826582,-0.25441,-0.751171,0.655518,-0.846354,0.109703,-0.15122,-0.862824,-0.0405074,-0.0637331,0.895982,0.811509,0.979795,-0.579629,0.733145,0.559921,0.326177,0.912065,-0.814855,0.972393,0.574465,-0.478734,-0.103946,-0.811343,0.0774197,0.966684,-0.412298,0.778038,0.704359,0.297355,-0.759815,0.990137;-2.56138,8.65895,-7.0138,7.47276
4;-0.223169,-0.667154,-0.638103,-0.94081,0.572227,0.732691,-0.0802177,0.449177,-0.271372,-0.059752,0.771195,0.725148,0.489922,-0.584783,0.204485,-0.795649,-0.394489,0.987762,-0.965418,0.157407,-0.191711,0.0411401,-0.520935,-0.701922,-0.650226,-0.858718,0.0917081,-0.618538,0.505571,0.207098,0.97884,-0.261712,0.478938,0.662089,-0.752276,0.936132,-0.787938,0.832589,-0.000290461,0.254863,-0.130283,-0.617361,0.376436,0.97493,0.245042,0.408734,-0.158322,-0.832166,-0.263076,0.955718;1.54734,3.56375,-4.87403,6.65229
5;-0.783928,-0.484971,-0.896422,-0.990939,0.541232,0.740433,-0.156482,0.490961,0.459754,-0.323655,0.298127,0.110216,0.889118,-0.317766,0.314115,-0.931315,-0.412965,0.917661,-0.863574,-0.309851,0.151464,-0.140483,-0.935285,-0.867617,-0.676967,-0.808503,0.431149,0.26603,0.38135,0.0194849,0.962043,-0.412384,0.551199,0.265904,-0.15816,0.992002,-0.921827,0.959314,-0.00381031,-0.0243807,-0.128548,-0.660471,0.0833753,0.569952,-0.294751,0.160869,0.243563,-0.605632,-0.599246,0.959145;5.66883,1.05582,-7.72534,5.65033
6;-0.476515,-0.870409,-0.692853,-0.994333,0.817244,0.618829,0.545064,0.705456,0.130787,0.580333,0.397995,0.67916,0.96848,-0.589777,0.257475,-0.349621,0.0736952,0.878858,-0.972848,-0.103637,-0.777714,0.772988,-0.87655,-0.155281,-0.773805,-0.788329,0.101391,0.612543,0.57,-0.00071415,0.98584,-0.0454059,0.819251,-0.682942,0.715051,0.999327,-0.942403,0.994172,0.0557285,-0.0429115,-0.266375,-0.620876,0.0966314,0.776498,-0.536359,0.490353,0.501384,0.354728,-0.282584,0.990716;-0.173327,3.23157,-10.2702,3.73175
7;-0.220635,-0.851686,-0.622607,-0.992121,0.637009,0.432603,0.744657,0.688556,-0.188473,0.605926,0.706301,0.698983,0.949348,-0.714977,0.562474,-0.418625,-0.454553,0.536596,-0.984318,0.237188,-0.83206,0.86018,-0.82394,0.255897,-0.848587,-0.860968,0.658396,0.813637,0.530031,0.536858,0.995461,-0.532526,0.801821,-0.652498,0.530981,0.995025,-0.868325,0.9834,0.490582,-0.0523054,-0.164951,-0.388777,0.173954,0.961948,-0.863671,0.763244,0.527116,0.378204,0.717651,0.98455;-0.0485767,6.02966,-9.60881,3.59676
8;-0.670312,-0.862595,-0.858405,-0.978059,0.0645647,0.0645332,0.0681305,0.453038,-0.169573,0.0270068,0.670467,0.533752,0.898914,0.244617,0.410023,-0.912977,-0.749129,0.86248,-0.98189,0.210865,-0.268667,0.247353,-0.83955,-0.727109,-0.895604,-0.793147,0.790954,0.27672,0.308431,0.427222,0.987855,-0.269326,0.645737,-0.530601,-0.309567,0.938465,-0.766119,0.923032,0.679583,0.0186976,0.123613,-0.524567,0.338073,0.966313,-0.657231,0.356877,0.27563,-0.769746,0.741729,0.965312;2.8296,3.26315,-8.93561,5.04709
9;-0.862286,-0.84326,-0.949332,-0.992122,0.295651,0.253573,-0.127667,0.576531,0.0650286,-0.136838,0.380015,0.236469,0.90272,0.490627,0.418025,-0.833868,-0.0697574,0.890477,-0.948104,0.10344,0.240255,0.195828,-0.95317,-0.813987,-0.911166,-0.782273,0.828046,0.284631,0.434873,-0.230387,0.978903,-0.0267219,0.663691,-0.372685,-0.119747,0.992791,-0.924851,0.965055,0.359553,0.0400314,0.0566754,-0.762179,0.212221,0.582346,-0.294013,0.165665,0.315951,-0.878747,0.600399,0.973752;7.03528,-0.179735,-9.3901,5.16608
10;-0.52254,-0.927099,-0.749193,-0.997169,0.740987,0.520896,0.52473,0.720156,-0.0327177,0.60946,0.358388,0.446792,0.965454,0.180602,0.462821,-0.129341,0.40603,0.54338,-0.975335,0.0659859,-0.544036,0.807215,-0.970925,-0.359617,-0.948471,-0.807105,0.761386,0.836966,0.526923,-0.234193,0.984427,-0.253568,0.864643,-0.586694,0.764833,0.999652,-0.939584,0.994067,0.0432776,-0.0376458,-0.262876,-0.721646,0.0232887,0.694503,-0.786527,0.662022,0.544318,0.0368571,0.416277,0.986009;3.61433,1.65788,-10.6045,4.52718
11;-0.329036,-0.939902,-0.294085,-0.991723,0.569879,0.390791,0.703915,0.669092,-0.357021,0.683764,0.66199,0.572003,0.954652,-0.296644,0.553173,-0.367765,-0.128708,0.577372,-0.985604,0.343123,-0.823395,0.851329,-0.891059,0.0310182,-0.929569,-0.833927,0.700422,0.876979,0.627461,0.265141,0.993541,-0.516156,0.855089,-0.736926,0.616768,0.997655,-0.896336,0.982087,0.510171,-0.0509962,-0.201457,-0.465176,0.159794,0.950446,-0.932272,0.799753,0.529634,0.10846,0.759105,0.977387;0.331157,5.1626,-10.6146,4.68988
12;-0.732966,-0.869948,-0.864021,-0.980388,0.0571323,0.00037775,0.0719169,0.216144,-0.218779,-0.010509,0.68825,0.413754,0.895212,0.18652,0.450446,-0.90175,-0.650044,0.824546,-0.979617,0.257024,-0.20934,0.31077,-0.842543,-0.73351,-0.903994,-0.768061,0.846831,0.396941,0.398619,0.223858,0.988864,-0.342999,0.68131,-0.491474,-0.304331,0.966935,-0.817912,0.926899,0.673636,0.0254171,0.112147,-0.623274,0.317386,0.948203,-0.798084,0.449463,0.279163,-0.796261,0.79705,0.950155;3.10649,2.73724,-9.54675,5.5886
13;-0.862915,-0.854227,-0.944387,-0.99323,0.326002,0.202235,-0.150475,0.561775,-0.000431621,-0.146154,0.374364,0.227239,0.903921,0.516816,0.412813,-0.816886,-0.125702,0.906208,-0.960259,0.177952,0.269586,0.162517,-0.947733,-0.832133,-0.919175,-0.753246,0.831649,0.310057,0.428542,-0.283437,0.978395,-0.000401986,0.67256,-0.39334,-0.0955188,0.994815,-0.925505,0.969034,0.314461,0.0430251,0.0448137,-0.793677,0.247132,0.653383,-0.424274,0.181304,0.321187,-0.835487,0.622504,0.970671;7.00928,-0.371798,-9.67672,5.01927
