Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;4
9;4
10;1
11;3
12;4
13;4
14;1
15;3
16;2
17;4
18;1
19;4
20;1
21;3
22;3
23;1
24;3
25;3
26;4
27;1
28;3
29;2
30;4
31;1
32;4
33;1
34;3
35;2
36;4
37;1
38;4
39;1
40;3
41;2
42;4
43;1
44;4
45;1
46;3
47;2
48;4
49;1
50;4
51;1
52;3
53;2
54;4
55;1
56;4
57;1
58;3
59;2
60;4
61;1
62;4
63;1
64;3
65;2
66;4
67;1
68;4
69;1
70;3
71;2
72;4
73;1
74;4
75;1
76;3
77;2
78;4
79;1
80;4
81;1
82;3
83;2
84;4
85;1
86;4
87;1
88;3
89;2
90;4
91;1
92;4
93;1
94;3
95;2
96;4
97;1
98;4
99;1
100;3
101;2
102;4
103;1
104;4
105;1
106;3
107;3
108;1
109;3
110;3
111;4
112;1
113;3
114;2
115;4
116;1
117;4
118;1
119;3
120;2
121;4
122;1
123;4
124;1
125;3
126;2
127;4
128;1
129;4
130;1
131;3
132;2
133;4
134;1
135;4
136;1
137;3
138;2
139;4
140;1
141;4
142;1
143;3
144;3
145;1
146;3
147;3
148;4
149;1
150;3
151;2
152;4
153;1
154;4
155;1
156;3
157;2
158;4
159;1
160;4
161;1
162;3
163;2
164;4
165;1
166;4
167;1
168;3
169;2
170;4
171;1
172;4
173;1
174;3
175;2
176;4
177;1
178;4
179;1
180;3
181;2
182;4
183;1
184;4
185;1
186;3
187;2
188;4
189;1
190;4
191;1
192;3
193;2
194;4
195;1
196;4
197;1
198;3
199;2
200;4
201;1
202;4
203;1
204;3
205;2
206;4
207;1
208;4
209;1
210;3
211;2
212;4
213;1
214;4
215;1
216;3
217;2
218;4
219;1
220;4
221;1
222;3
223;2
224;4
225;1
226;4
227;1
228;3
229;3
230;1
231;3
232;3
233;4
234;1
235;3
236;2
237;4
238;1
239;4
240;1
241;3
242;2
243;4
244;1
245;4
246;1
247;3
248;2
249;4
250;1
251;4
252;1
253;3
254;2
255;4
256;1
257;4
258;1
259;3
260;2
261;4
262;1
263;4
264;1
265;3
266;3
267;1
268;3
269;3
270;4
271;1
272;3
273;2
274;4
275;1
276;4
277;1
278;3
279;2
280;4
281;1
282;4
283;1
284;3
285;2
286;4
287;1
288;4
289;1
290;3
291;2
292;4
293;1
294;4
295;1
296;3
297;2
298;4
299;1
300;0
