Passo;A  o
0;3
1;3
2;3
3;3
4;3
5;3
6;1
7;3
8;3
9;3
10;3
11;4
12;1
13;3
14;3
15;4
16;1
17;4
18;1
19;3
20;3
21;0
22;4
23;1
24;3
25;0
26;4
27;1
28;3
29;0
30;4
31;1
32;3
33;0
34;4
35;1
36;3
37;0
38;4
39;1
40;3
41;0
42;4
43;1
44;3
45;0
46;4
47;1
48;3
49;0
50;4
51;1
52;3
53;0
54;4
55;1
56;3
57;0
58;4
59;1
60;3
61;0
62;4
63;1
64;3
65;0
66;4
67;1
68;3
69;0
70;4
71;1
72;3
73;3
74;3
75;4
76;1
77;3
78;4
79;1
80;3
81;0
82;4
83;1
84;3
85;0
86;4
87;1
88;3
89;0
90;4
91;1
92;3
93;0
94;4
95;1
96;3
97;0
98;4
99;1
100;3
101;0
102;4
103;1
104;3
105;3
106;3
107;4
108;1
109;4
110;1
111;3
112;3
113;0
114;4
115;1
116;3
117;0
118;4
119;1
120;3
121;0
122;4
123;1
124;3
125;0
126;4
127;1
128;3
129;0
130;4
131;1
132;3
133;0
134;4
135;1
136;3
137;0
138;4
139;1
140;3
141;0
142;4
143;1
144;3
145;0
146;4
147;1
148;3
149;0
150;4
151;1
152;3
153;0
154;4
155;1
156;3
157;0
158;4
159;1
160;3
161;0
162;4
163;1
164;3
165;3
166;3
167;1
168;3
169;4
170;1
171;3
172;0
173;4
174;1
175;3
176;0
177;4
178;1
179;3
180;0
181;4
182;1
183;3
184;0
185;4
186;1
187;3
188;0
189;4
190;1
191;3
192;0
193;4
194;1
195;3
196;3
197;3
198;4
199;1
200;4
201;1
202;3
203;3
204;0
205;4
206;1
207;3
208;0
209;4
210;1
211;3
212;0
213;4
214;1
215;3
216;0
217;4
218;1
219;3
220;0
221;4
222;1
223;3
224;0
225;4
226;1
227;3
228;0
229;4
230;1
231;3
232;0
233;4
234;1
235;3
236;0
237;4
238;1
239;3
240;0
241;4
242;1
243;3
244;0
245;4
246;1
247;3
248;0
249;4
250;1
251;3
252;0
253;4
254;1
255;3
256;3
257;3
258;4
259;1
260;3
261;4
262;1
263;3
264;0
265;4
266;1
267;3
268;0
269;4
270;1
271;3
272;0
273;4
274;1
275;3
276;0
277;4
278;1
279;3
280;0
281;4
282;1
283;3
284;0
285;4
286;1
287;3
288;3
289;3
290;4
291;1
292;4
293;1
294;3
295;3
296;0
297;4
298;1
299;3
300;-1.83255e-06
