Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.160992,0.178356,-0.419334,-0.0319656,0.0147197,-0.36526,0.416511,0.269076,0.496086,0.150757,0.31648,-0.233564;-1.15892,0.219988,-1.30158,0.55767
1;-0.160992,0.251253,-0.406292,0.151236,-0.16364,0.225678,0.888403,0.269076,0.546421,0.0862003,0.31648,-0.255648;-1.52317,0.166738,-1.09646,1.63526
2;-0.160992,0.544282,-0.552277,0.151236,-0.133417,0.517958,0.884101,0.269076,0.546421,0.208672,0.31648,0.0231927;-1.73551,0.922473,-1.22829,1.66362
3;-0.160992,0.541842,-0.529445,0.151236,-0.294803,0.542096,0.924434,0.269076,0.546421,0.169916,0.31648,-0.0250304;-1.72445,0.753727,-1.35621,1.97859
4;-0.160992,0.564364,-0.642098,0.151236,-0.290084,0.55564,0.919161,0.269076,0.546421,0.278884,0.31648,0.228418;-1.63479,1.0919,-1.47802,1.79219
5;-0.160992,0.561465,-0.639126,0.151236,-0.30312,0.575202,0.942144,0.269076,0.546421,0.262084,0.31648,0.221267;-1.69882,1.07059,-1.47961,1.85481
6;0.115545,0.840608,-0.731183,0.516813,-0.375144,0.172423,0.971223,0.536128,0.624585,-0.18886,0.476334,0.528402;-3.27158,2.22926,-3.23353,1.36956
7;-0.268503,0.332752,-0.463287,-0.580422,-0.335815,-0.0116763,0.931899,0.160556,0.45663,0.447747,0.458573,0.0425131;-1.68386,-0.237136,-1.54473,1.61939
8;-0.268503,0.381538,-0.429664,-0.219616,-0.00994454,0.627754,0.846152,0.160556,0.376957,0.45417,0.458573,-0.0202235;-1.67418,0.0707546,-0.63383,1.71109
9;0.00321839,0.737138,-0.265578,0.193839,-0.0411174,0.177957,0.914105,0.450077,0.474399,-0.197821,0.595409,-0.195597;-3.03989,0.831331,-2.28066,1.55267
10;0.163774,0.634397,-0.430591,-0.657715,0.4707,0.11925,0.90257,0.370401,0.70732,-0.1617,0.515778,-0.506682;-6.39133,0.305645,-1.28869,0.509922
11;-0.0529012,0.0207164,-0.309333,-0.544144,0.108107,-0.551422,0.949292,0.739373,0.690348,-0.804832,-0.00592925,-0.758697;-4.28509,0.23715,-2.02678,1.91632
12;-0.0529012,0.0670639,-0.60883,-0.34686,0.426376,-0.418983,0.800694,0.739373,0.736808,-0.688356,-0.00592925,-0.392267;-4.64558,1.22127,-1.75836,1.14011
13;0.351621,0.652593,-0.186329,-0.387116,0.454046,-0.131198,0.959955,0.127981,0.553443,-0.156305,0.694811,-0.896983;-6.2174,-0.778479,-0.909742,-0.252883
14;0.163774,0.631806,0.068111,-0.829894,0.483996,-0.350241,0.898908,0.370401,0.663482,-0.458929,0.515778,-0.873696;-5.82926,-0.339449,-1.85583,0.566997
15;0.173937,-0.0488899,0.260853,-0.500795,-0.349976,-0.807773,0.488327,0.500247,0.757803,-0.925015,-0.352762,-0.786682;-2.44778,-0.323736,-2.60336,1.45992
16;0.173937,-0.404064,-0.553675,-0.509464,0.059722,-0.920558,-0.576671,0.500247,0.771657,-0.769514,-0.352762,0.262013;-4.36401,1.40162,-2.48405,-0.636831
17;0.147985,-0.737045,-0.755622,-0.296397,0.282065,-0.968073,0.931572,0.597271,0.499897,-0.437078,0.27355,-0.453814;-5.20255,-0.797143,-1.00061,0.113319
18;0.147985,0.389639,-0.634234,-0.269053,0.479854,-0.640771,0.989581,0.597271,0.518369,-0.571254,0.27355,-0.688095;-5.45264,0.611571,-1.57099,0.406102
19;0.0885905,0.442973,0.0292233,-0.784917,0.302896,0.230737,0.957186,-0.191749,0.436244,0.26447,0.582802,-0.95485;-4.38709,-1.89346,0.16901,0.388813
