Passo;A  o
0;2
1;3
2;3
3;3
4;3
5;4
6;1
7;3
8;4
9;4
10;1
11;1
12;3
13;3
14;2
15;3
16;3
17;4
18;1
19;1
20;3
21;3
22;2
23;3
24;3
25;4
26;1
27;3
28;3
29;4
30;1
31;3
32;4
33;1
34;1
35;3
36;3
37;2
38;3
39;3
40;4
41;1
42;1
43;3
44;3
45;2
46;3
47;3
48;4
49;1
50;1
51;3
52;3
53;3
54;3
55;3
56;4
57;1
58;1
59;3
60;3
61;2
62;3
63;3
64;4
65;1
66;1
67;3
68;3
69;2
70;3
71;3
72;4
73;1
74;1
75;3
76;3
77;2
78;3
79;3
80;4
81;1
82;1
83;3
84;3
85;2
86;3
87;3
88;4
89;1
90;1
91;3
92;3
93;3
94;3
95;4
96;1
97;1
98;3
99;3
100;2
101;3
102;3
103;4
104;4
105;1
106;1
107;3
108;3
109;2
110;3
111;3
112;4
113;1
114;3
115;1
116;3
117;4
118;1
119;1
120;3
121;3
122;2
123;3
124;3
125;4
126;1
127;1
128;3
129;3
130;2
131;3
132;3
133;4
134;1
135;1
136;3
137;3
138;2
139;3
140;3
141;4
142;1
143;1
144;3
145;3
146;2
147;3
148;3
149;4
150;1
151;1
152;3
153;3
154;2
155;3
156;3
157;4
158;1
159;3
160;3
161;4
162;1
163;3
164;4
165;1
166;1
167;3
168;3
169;2
170;3
171;3
172;4
173;1
174;1
175;3
176;3
177;2
178;3
179;3
180;4
181;1
182;1
183;3
184;3
185;3
186;3
187;3
188;4
189;1
190;1
191;3
192;3
193;2
194;3
195;3
196;4
197;1
198;1
199;3
200;3
201;2
202;3
203;3
204;4
205;1
206;1
207;3
208;3
209;2
210;3
211;3
212;4
213;1
214;1
215;3
216;3
217;2
218;3
219;3
220;4
221;1
222;1
223;3
224;3
225;3
226;3
227;4
228;1
229;1
230;3
231;3
232;2
233;3
234;3
235;4
236;1
237;1
238;3
239;3
240;2
241;3
242;3
243;4
244;1
245;1
246;3
247;3
248;4
249;1
250;1
251;3
252;3
253;2
254;3
255;3
256;4
257;1
258;1
259;3
260;3
261;2
262;3
263;3
264;4
265;1
266;1
267;3
268;3
269;2
270;3
271;3
272;4
273;1
274;1
275;3
276;3
277;2
278;3
279;3
280;4
281;1
282;1
283;3
284;3
285;2
286;3
287;3
288;4
289;1
290;3
291;3
292;4
293;1
294;1
295;3
296;3
297;3
298;3
299;3
300;0
