Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
0;-0.219874,0.271103,0.379045,0.368048,0.248566,-0.465956,0.342902,0.310322,0.106839,-0.497282,-0.303688,-0.413217,-0.528024,-0.185356,-0.372882,0.276693,-0.529238,-0.363638,-0.0783025,-0.156419,0.332911,0.0375384,0.270153,0.478758,-0.437511,-0.486679,-0.412306,0.209324,-0.0475912,-0.353875,0.382833,-0.337235,-0.438429,-0.227736,0.0103088,0.0745524,0.136243,-0.0519385,-0.417611,-0.534308,0.464837,0.195979,0.118481,0.325793,0.102275,-0.320973,-0.533234,0.100136,-0.249218,0.499897;-5.83728,3.60479,-4.41279,3.38956
1;-0.0778474,0.608803,-0.115725,-0.374413,0.12981,-0.73901,0.16841,0.308262,-0.0915435,-0.659853,0.342352,-0.515248,-0.428189,-0.328528,-0.0346593,-0.19194,-0.550935,-0.217579,-0.319617,0.0758769,0.0264682,-0.0119604,0.568724,0.717241,-0.365675,-0.455133,-0.182322,0.264805,0.0486861,-0.140932,0.3388,-0.054421,0.242953,0.0818564,-0.281953,0.552375,0.205297,-0.00849634,-0.431607,-0.695255,0.504796,-0.221079,0.114248,0.639335,-0.0829794,-0.0804792,-0.66848,-0.309787,-0.0544774,0.563198;-5.98471,0.0303118,-4.35471,6.43369
2;-0.222414,0.356635,-0.172752,-0.0873926,0.218848,-0.52789,0.159966,0.283206,-0.0848479,-0.587775,0.628176,-0.549587,-0.483826,-0.239768,-0.621751,0.297599,-0.260552,-0.623865,-0.385431,-0.109186,0.58329,-0.257758,0.664058,0.422271,-0.230148,-0.573561,-0.289334,0.170005,-0.244081,-0.625002,0.375837,0.0272106,0.247931,0.253163,-0.0493006,0.631969,0.198189,-0.011315,-0.36184,-0.639295,0.770197,0.0180201,0.053014,0.0769455,-0.31085,-0.271701,-0.642714,0.0617545,-0.347694,0.306281;-7.56486,-1.16076,-4.45419,5.9125
3;-0.0738695,0.288962,-0.36589,-0.258238,0.14629,-0.719856,0.258556,0.201098,-0.211043,-0.656104,0.643224,-0.312937,-0.47905,-0.435864,-0.435954,-0.051356,-0.327664,-0.321085,-0.393554,0.234768,0.673212,-0.691697,0.598838,0.565375,-0.113296,-0.195216,0.0697012,0.268931,-0.225443,-0.376132,0.386315,-0.343817,0.563,-0.0873412,-0.436187,0.653081,0.403211,-0.000732999,-0.197315,-0.678544,0.791031,0.260917,0.222536,0.262185,-0.234094,-0.144218,-0.593091,0.0889699,-0.588928,0.387819;-7.60202,1.16729,-2.8654,5.20357
4;0.21477,0.496751,0.113531,-0.573227,0.17382,-0.824022,0.686213,0.146267,0.334371,-0.79713,0.351583,-0.313824,-0.589078,-0.275681,-0.780852,0.0203906,-0.157222,-0.772543,-0.058066,0.627327,0.847901,-0.816093,0.837543,0.336576,-0.366771,-0.643507,0.403489,-0.187178,0.102117,-0.565857,0.313785,0.308645,0.628487,0.500525,-0.351017,0.0340116,0.763179,-0.352021,0.150861,-0.867296,0.628236,-0.00732043,0.0460969,0.607752,-0.249968,0.253843,-0.695851,0.820994,-0.354186,-0.200423;-4.0023,-4.69563,-5.95791,6.13654
5;0.187971,0.434854,-0.0594499,-0.655076,-0.0573234,-0.92247,0.709375,0.175095,0.351797,-0.660971,0.582721,-0.515608,-0.370012,-0.407069,-0.686447,-0.597419,-0.114444,-0.817071,-0.0865702,0.71329,0.7029,-0.823379,0.794958,0.438788,-0.554235,-0.577914,0.513237,-0.172423,0.0195894,-0.418942,0.399213,0.249563,0.545108,0.402586,-0.7044,0.165347,0.425959,-0.316444,0.333253,-0.91244,0.2079,0.066306,-0.416702,0.594794,-0.20057,0.552411,-0.746898,0.687806,-0.2224,-0.181092;-2.71669,-4.96774,-5.73155,6.4599
6;0.454214,0.181539,0.202867,-0.312074,-0.248148,-0.902236,0.881483,-0.224045,0.256018,-0.0766558,0.387139,-0.605585,-0.163997,-0.360834,-0.532881,-0.790718,0.110046,-0.910166,0.156886,0.732688,0.737033,-0.576097,0.832865,0.228575,-0.629875,-0.809096,0.450008,-0.219559,0.540762,-0.573939,0.301335,0.453064,-0.0841662,0.146829,-0.925779,-0.432902,-0.1452,0.207085,0.598419,-0.774298,0.544234,0.129743,-0.731487,-0.291654,-0.399377,0.647154,-0.478868,0.814021,-0.40926,-0.221799;-0.493895,-5.53804,-6.02429,4.41875
7;0.785293,0.401739,0.270642,-0.326935,-0.199673,-0.762774,0.77703,-0.688782,-0.145838,0.0599817,0.0426261,-0.601833,-0.242381,0.161795,-0.0988917,-0.65924,-0.269083,-0.953574,0.368751,0.535263,0.310947,-0.620487,0.834394,0.573307,-0.0776703,-0.763,0.146359,-0.100905,0.892039,-0.397365,0.45856,0.550534,0.556596,-0.405841,-0.971818,-0.044615,-0.555089,0.674978,0.626721,-0.883607,0.600613,-0.400143,-0.870749,-0.408906,0.303168,0.927545,-0.725399,0.538438,-0.644848,0.329719;-1.81482,-3.05766,-4.01633,4.26118
8;0.465864,-0.434699,0.80472,-0.396884,0.160175,-0.733594,0.824451,-0.341783,0.2999,0.145253,-0.398788,-0.00335706,-0.0321871,0.22429,-0.38668,0.0845478,-0.074934,-0.907788,0.0750398,0.0500157,-0.404338,-0.627932,0.777554,0.529365,-0.279071,-0.831426,-0.382475,-0.177838,0.927638,-0.633799,0.603571,0.615457,0.764055,-0.430792,-0.804019,0.310096,0.206925,0.795132,0.14667,-0.897025,0.618538,-0.718624,-0.552283,-0.521743,0.315456,0.926309,-0.352571,0.8009,-0.657383,-0.651613;-0.807036,-5.20948,-9.62365,3.82347
9;0.351625,-0.545819,0.781745,-0.258449,0.230537,-0.823734,0.856218,-0.338276,0.415747,-0.00179913,-0.205914,0.39338,0.252537,0.28633,0.0470098,-0.146049,-0.0551716,-0.664967,-0.115068,-0.524592,-0.833219,-0.786609,0.721199,0.394286,-0.272513,-0.845342,-0.235885,-0.0216715,0.91688,-0.3881,0.609732,0.638937,0.825381,-0.509379,-0.880639,-0.275844,-0.485493,0.79737,0.190799,-0.938683,0.302464,-0.550023,-0.63585,0.10038,0.220281,0.945157,-0.447588,0.3329,-0.471743,-0.829243;1.82799,-6.88306,-9.85861,-0.739979
10;0.0149069,0.234102,0.503235,-0.0583914,0.429995,-0.71235,0.425788,-0.264918,0.0725354,-0.447889,0.538078,0.488441,-0.396907,0.220182,-0.162385,0.282182,-0.779773,-0.876197,0.227934,-0.654915,-0.748999,-0.600255,0.936291,0.400679,0.301752,-0.473601,0.173228,-0.0464786,0.424275,-0.648827,0.555465,0.659363,0.723231,-0.278606,-0.757995,0.00682249,-0.638718,0.272346,0.28926,-0.952933,0.165336,-0.384187,-0.579258,0.595058,-0.091228,0.912545,-0.855293,-0.00348276,-0.187353,-0.404932;-2.70565,-7.89127,-7.71288,1.82266
11;-0.197955,0.260497,0.124215,-0.573734,0.104273,-0.605352,0.184507,-0.308939,-0.00656886,-0.319335,0.153464,0.549935,-0.600999,0.188427,-0.294584,0.280174,-0.774243,-0.71282,0.132762,-0.388011,-0.484736,-0.717424,0.924469,0.248471,-0.0776736,-0.433784,0.248818,0.044469,0.447712,-0.823679,0.557583,0.555071,0.728533,-0.0818147,-0.71905,0.383887,-0.594188,0.241322,0.461039,-0.921918,0.648976,-0.66368,-0.553051,0.577405,0.157074,0.791735,-0.74715,0.360048,-0.22712,-0.120032;-1.71135,-6.35554,-4.32454,1.73643
